time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.4180,4.8499,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.4180,4.8499,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.107,598.0446,4.5306,250.4748,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.208,597.5942,4.1497,250.4829,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.332,596.9623,3.6194,250.4916,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.457,596.2416,3.0179,250.4993,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.571,595.4422,2.3534,250.5062,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.693,594.5731,1.6330,250.5138,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.819,593.4824,0.7305,250.5282,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.931,592.6585,0.0496,250.5435,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.042,591.6407,-0.7911,250.5679,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.153,590.9918,-1.3668,250.5960,0.2510,3.8000,-0.4500,358.8280,180.0000,0.0046,0.0000,0.0000,0.0000
1.278,590.3648,-1.8015,250.6452,0.2510,3.8000,-0.4500,356.7561,179.9996,0.0125,0.0000,0.0000,0.0000
1.390,590.0278,-1.8901,250.6847,0.2510,3.8000,-0.4500,355.9464,179.9995,0.0148,0.0000,0.0000,0.0000
1.501,589.6882,-1.8593,250.7367,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0150,0.0000,0.0000,0.0000
1.626,589.3877,-1.7809,250.7923,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0150,0.0000,0.0000,0.0000
1.726,589.1539,-1.7318,250.8395,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0150,0.0000,0.0000,0.0000
1.835,588.9288,-1.7188,250.8872,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0150,0.0000,0.0000,0.0000
1.946,588.6655,-1.7552,250.9451,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0150,0.0000,0.0000,0.0000
2.056,588.4495,-1.8209,250.9937,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0150,0.0000,0.0000,0.0000
2.181,588.1498,-1.9451,251.0631,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0150,0.0000,0.0000,0.0000
2.292,587.9369,-2.0427,251.1139,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0150,0.0000,0.0000,0.0000
2.418,587.6395,-2.1766,251.1871,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0150,0.0000,0.0000,0.0000
2.532,587.4273,-2.2656,251.2397,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0150,0.0000,0.0000,0.0000
2.655,587.1724,-2.3641,251.3019,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0151,0.0000,0.0000,0.0000
2.765,586.9174,-2.4557,251.3629,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0150,0.0000,0.0000,0.0000
2.877,586.7046,-2.5288,251.4117,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0150,0.0000,0.0000,0.0000
2.977,586.4487,-2.6150,251.4670,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0150,0.0000,0.0000,0.0000
3.099,586.1924,-2.7014,251.5188,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0150,0.0000,0.0000,0.0000
3.210,585.9781,-2.7740,251.5566,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0150,0.0000,0.0000,0.0000
3.311,585.7630,-2.8472,251.5860,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0151,0.0000,0.0000,0.0000
3.419,585.5036,-2.9351,251.6102,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0150,0.0000,0.0000,0.0000
3.530,585.2869,-3.0085,251.6242,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0151,0.0000,0.0000,0.0000
3.641,585.0269,-3.0967,251.6445,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0151,0.0000,0.0000,0.0000
3.752,584.8107,-3.1704,251.6684,0.2510,3.8000,-0.4500,355.6580,179.9994,0.0151,0.0000,0.0000,0.0000
3.882,584.5078,-3.2760,251.7118,0.2510,3.8000,-0.4500,355.7113,179.9993,359.8545,0.0000,0.0000,0.0000
3.991,584.2911,-3.3524,251.7477,0.2510,3.8000,-0.4500,355.8236,179.9988,359.6320,0.0000,0.0000,0.0000
4.101,584.0330,-3.4397,251.7958,0.2510,3.8000,-0.4500,355.8236,179.9988,359.6320,0.0000,0.0000,0.0000
4.211,583.8170,-3.5129,251.8369,0.2510,3.8000,-0.4500,355.9324,179.9980,359.4991,0.0000,0.0000,0.0000
4.335,583.5588,-3.5981,251.8865,0.2510,3.8000,-0.4500,355.9874,179.9975,359.4350,0.0000,0.0000,0.0000
4.447,583.3003,-3.6807,251.9324,0.2510,3.8000,-0.4500,356.0503,179.9968,359.3803,0.0000,0.0000,0.0000
4.557,583.0838,-3.7479,251.9670,0.2510,3.8000,-0.4500,356.2566,179.9943,359.2303,0.0000,0.0000,0.0000
4.671,582.8250,-3.8245,252.0078,0.2510,3.8000,-0.4500,356.3273,179.9933,359.1928,0.0000,0.0000,0.0000
4.781,582.5656,-3.8968,252.0462,0.2510,3.8000,-0.4500,356.5589,179.9899,359.1036,0.0000,0.0000,0.0000
4.890,582.3498,-3.9536,252.0787,0.2510,3.8000,-0.4500,356.6409,179.9886,359.0846,0.0000,0.0000,0.0000
5.001,582.0911,-4.0170,252.1176,0.2510,3.8000,-0.4500,356.8063,179.9859,359.0513,0.0000,0.0000,0.0000
5.126,581.8325,-4.0739,252.1574,0.2510,3.8000,-0.4500,357.0628,179.9816,359.0391,0.0000,0.0000,0.0000
5.252,581.5745,-4.1243,252.1988,0.2510,3.8000,-0.4500,357.3152,179.9774,359.0557,0.0000,0.0000,0.0000
5.377,581.2743,-4.1736,252.2487,0.2510,3.8000,-0.4500,357.6432,179.9721,359.1183,0.0000,0.0000,0.0000
5.488,581.0603,-4.2012,252.2851,0.2510,3.8000,-0.4500,357.9633,179.9675,359.2138,0.0000,0.0000,0.0000
5.613,580.8040,-4.2287,252.3304,0.2510,3.8000,-0.4500,358.1953,179.9644,359.3064,0.0000,0.0000,0.0000
5.738,580.5057,-4.2481,252.3826,0.2510,3.8000,-0.4500,358.5775,179.9604,359.4888,0.0000,0.0000,0.0000
5.851,580.2930,-4.2552,252.4197,0.2510,3.8000,-0.4500,358.7938,179.9587,359.6080,0.0000,0.0000,0.0000
5.963,580.0384,-4.2545,252.4632,0.2510,3.8000,-0.4500,359.0851,179.9572,359.7855,0.0000,0.0000,0.0000
6.071,579.8268,-4.2470,252.4986,0.2510,3.8000,-0.4500,359.2932,179.9566,359.9204,0.0000,0.0000,0.0000
6.183,579.5742,-4.2271,252.5398,0.2510,3.8000,-0.4500,359.6318,179.9568,0.1566,0.0000,0.0000,0.0000
6.308,579.3226,-4.1981,252.5809,0.2510,3.8000,-0.4500,359.9108,179.9581,0.3666,0.0000,0.0000,0.0000
6.419,579.0721,-4.1591,252.6219,0.2510,3.8000,-0.4500,0.1781,179.9603,0.5745,0.0000,0.0000,0.0000
6.531,578.8647,-4.1174,252.6568,0.2510,3.8000,-0.4500,0.4488,179.9635,0.7967,0.0000,0.0000,0.0000
6.643,578.6178,-4.0564,252.7006,0.2510,3.8000,-0.4500,0.8325,179.9700,1.1214,0.0000,0.0000,0.0000
6.751,578.4118,-4.0034,252.7410,0.2510,3.8000,-0.4500,0.8975,179.9713,1.1789,0.0000,0.0000,0.0000
6.877,578.1685,-3.9226,252.7898,0.2510,3.8000,-0.4500,1.2991,179.9808,1.5397,0.0000,0.0000,0.0000
7.004,577.8858,-3.8207,252.8528,0.2510,3.8000,-0.4500,1.5426,179.9878,1.7647,0.0000,0.0000,0.0000
7.114,577.6866,-3.7362,252.8995,0.2510,3.8000,-0.4500,1.8520,179.9982,2.0587,0.0000,0.0000,0.0000
7.225,577.4482,-3.6305,252.9599,0.2510,3.8000,-0.4500,2.0309,180.0049,2.2331,0.0000,0.0000,0.0000
7.336,577.2520,-3.5329,253.0116,0.2510,3.8000,-0.4500,2.2704,180.0147,2.4708,0.0000,0.0000,0.0000
7.449,577.0181,-3.4087,253.0767,0.2510,3.8000,-0.4500,2.5058,180.0254,2.7114,0.0000,0.0000,0.0000
7.557,576.8247,-3.2993,253.1333,0.2510,3.8000,-0.4500,2.6784,180.0338,2.8918,0.0000,0.0000,0.0000
7.682,576.5563,-3.1371,253.2160,0.2510,3.8000,-0.4500,2.9022,180.0456,3.1320,0.0000,0.0000,0.0000
7.794,576.3656,-3.0178,253.2785,0.2510,3.8000,-0.4500,2.9569,180.0486,3.1917,0.0000,0.0000,0.0000
7.918,576.1021,-2.8391,253.3675,0.2510,3.8000,-0.4500,3.1790,180.0615,3.4427,0.0000,0.0000,0.0000
8.029,575.9150,-2.7077,253.4333,0.2510,3.8000,-0.4500,3.2867,180.0681,3.5698,0.0000,0.0000,0.0000
8.154,575.6919,-2.5459,253.5143,0.2510,3.8000,-0.4500,3.3926,180.0749,3.6974,0.0000,0.0000,0.0000
8.266,575.4702,-2.3797,253.5962,0.2510,3.8000,-0.4500,3.4941,180.0815,3.8262,0.0000,0.0000,0.0000
8.366,575.2864,-2.2384,253.6529,0.2510,3.8000,-0.4500,3.5892,180.0880,3.9537,0.0000,0.0000,0.0000
8.488,575.0652,-2.0747,253.6423,0.2510,3.8000,-0.4500,3.5892,180.0880,3.9537,0.0000,0.0000,0.0000
8.613,574.8451,-1.9123,253.5737,0.2510,3.8000,-0.4500,3.6332,180.0911,4.0193,0.0000,0.0000,0.0000
8.738,574.5880,-1.7264,253.4561,0.2510,3.8000,-0.4500,3.6332,180.0911,4.0194,0.0000,0.0000,0.0000
8.851,574.4050,-1.5932,253.3587,0.2510,3.8000,-0.4500,3.6707,180.0938,4.0910,0.0000,0.0000,0.0000
8.961,574.1858,-1.4347,253.2332,0.2510,3.8000,-0.4500,3.7070,180.0964,4.1617,0.0000,0.0000,0.0000
9.073,574.0029,-1.3050,253.1244,0.2510,3.8000,-0.4500,3.7070,180.0964,4.1617,0.0000,0.0000,0.0000
9.195,573.7834,-1.1507,253.0020,0.2510,3.8000,-0.4500,3.7070,180.0964,4.1617,0.0000,0.0000,0.0000
9.307,573.5640,-0.9938,252.9640,0.2510,3.8000,-0.4500,3.7070,180.0964,4.1617,0.0000,0.0000,0.0000
9.432,573.3444,-0.8358,252.9855,0.2510,3.8000,-0.4500,3.7070,180.0964,4.1617,0.0000,0.0000,0.0000
9.558,573.0880,-0.6538,253.0500,0.2510,3.8000,-0.4500,3.7070,180.0964,4.1617,0.0000,0.0000,0.0000
9.671,572.9042,-0.5268,253.1103,0.2510,3.8000,-0.4500,3.7070,180.0964,4.1617,0.0000,0.0000,0.0000
