time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.4220,4.4699,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.4220,4.4699,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.107,599.0486,4.1506,250.0248,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.208,598.5982,3.7697,250.0329,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.332,597.9664,3.2394,250.0416,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.457,597.2457,2.6379,250.0493,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.571,596.4462,1.9734,250.0562,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.693,595.5771,1.2530,250.0638,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.819,594.4864,0.3505,250.0782,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.931,593.6625,-0.3304,250.0936,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.042,592.6447,-1.1711,250.1179,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.153,591.9958,-1.7376,250.1384,358.8280,180.0000,0.0046,358.8280,180.0000,0.0046
1.278,591.3687,-2.1557,250.1745,356.7561,179.9996,0.0125,356.7561,179.9996,0.0125
1.390,591.0317,-2.2376,250.2089,355.9464,179.9995,0.0148,355.9464,179.9995,0.0148
1.501,590.6921,-2.2044,250.2592,355.6580,179.9994,0.0150,355.6580,179.9994,0.0150
1.626,590.3916,-2.1260,250.3148,355.6580,179.9994,0.0150,355.6580,179.9994,0.0150
1.726,590.1578,-2.0769,250.3620,355.6580,179.9994,0.0150,355.6580,179.9994,0.0150
1.835,589.9327,-2.0639,250.4097,355.6580,179.9994,0.0150,355.6580,179.9994,0.0150
1.946,589.6694,-2.1003,250.4676,355.6580,179.9994,0.0150,355.6580,179.9994,0.0150
2.056,589.4534,-2.1661,250.5163,355.6580,179.9994,0.0150,355.6580,179.9994,0.0150
2.181,589.1537,-2.2902,250.5856,355.6580,179.9994,0.0150,355.6580,179.9994,0.0150
2.292,588.9408,-2.3878,250.6364,355.6580,179.9994,0.0150,355.6580,179.9994,0.0150
2.418,588.6434,-2.5217,250.7096,355.6580,179.9994,0.0150,355.6580,179.9994,0.0150
2.532,588.4312,-2.6107,250.7622,355.6580,179.9994,0.0150,355.6580,179.9994,0.0150
2.655,588.1763,-2.7092,250.8244,355.6580,179.9994,0.0151,355.6580,179.9994,0.0151
2.765,587.9213,-2.8008,250.8854,355.6580,179.9994,0.0150,355.6580,179.9994,0.0150
2.877,587.7085,-2.8739,250.9342,355.6580,179.9994,0.0150,355.6580,179.9994,0.0150
2.977,587.4526,-2.9601,250.9895,355.6580,179.9994,0.0150,355.6580,179.9994,0.0150
3.099,587.1963,-3.0465,251.0413,355.6580,179.9994,0.0150,355.6580,179.9994,0.0150
3.210,586.9821,-3.1192,251.0791,355.6580,179.9994,0.0150,355.6580,179.9994,0.0150
3.311,586.7669,-3.1923,251.1086,355.6580,179.9994,0.0151,355.6580,179.9994,0.0151
3.419,586.5075,-3.2802,251.1327,355.6580,179.9994,0.0150,355.6580,179.9994,0.0150
3.530,586.2908,-3.3536,251.1467,355.6580,179.9994,0.0151,355.6580,179.9994,0.0151
3.641,586.0308,-3.4418,251.1670,355.6580,179.9994,0.0151,355.6580,179.9994,0.0151
3.752,585.8146,-3.5155,251.1909,355.6580,179.9994,0.0151,355.6580,179.9994,0.0151
3.882,585.5127,-3.6187,251.2349,355.7113,179.9993,359.8545,355.7113,179.9993,359.8545
3.991,585.2975,-3.6921,251.2717,355.8236,179.9988,359.6320,355.8236,179.9988,359.6320
4.101,585.0394,-3.7794,251.3198,355.8236,179.9988,359.6320,355.8236,179.9988,359.6320
4.211,584.8243,-3.8512,251.3618,355.9324,179.9980,359.4991,355.9324,179.9980,359.4991
4.335,584.5665,-3.9358,251.4118,355.9874,179.9975,359.4350,355.9874,179.9975,359.4350
4.447,584.3083,-4.0180,251.4581,356.0503,179.9968,359.3803,356.0503,179.9968,359.3803
4.557,584.0928,-4.0842,251.4942,356.2566,179.9943,359.2303,356.2566,179.9943,359.2303
4.671,583.8343,-4.1607,251.5354,356.3273,179.9933,359.1928,356.3273,179.9933,359.1928
4.781,583.5754,-4.2333,251.5754,356.5589,179.9899,359.1036,356.5589,179.9899,359.1036
4.890,583.3598,-4.2906,251.6084,356.6409,179.9886,359.0846,356.6409,179.9886,359.0846
5.001,583.1013,-4.3547,251.6483,356.8063,179.9859,359.0513,356.8063,179.9859,359.0513
5.126,582.8428,-4.4135,251.6897,357.0628,179.9816,359.0391,357.0628,179.9816,359.0391
5.252,582.5848,-4.4662,251.7327,357.3152,179.9774,359.0557,357.3152,179.9774,359.0557
5.377,582.2842,-4.5193,251.7846,357.6432,179.9721,359.1183,357.6432,179.9721,359.1183
5.488,582.0697,-4.5511,251.8229,357.9633,179.9675,359.2138,357.9633,179.9675,359.2138
5.613,581.8127,-4.5822,251.8696,358.1953,179.9644,359.3064,358.1953,179.9644,359.3064
5.738,581.5134,-4.6078,251.9242,358.5775,179.9604,359.4888,358.5775,179.9604,359.4888
5.851,581.2999,-4.6188,251.9627,358.7938,179.9587,359.6080,358.7938,179.9587,359.6080
5.963,581.0441,-4.6235,252.0079,359.0851,179.9572,359.7855,359.0851,179.9572,359.7855
6.071,580.8317,-4.6201,252.0447,359.2932,179.9566,359.9204,359.2932,179.9566,359.9204
6.183,580.5775,-4.6070,252.0881,359.6318,179.9568,0.1566,359.6318,179.9568,0.1566
6.308,580.3245,-4.5839,252.1310,359.9108,179.9581,0.3666,359.9108,179.9581,0.3666
6.419,580.0726,-4.5505,252.1738,0.1781,179.9603,0.5745,0.1781,179.9603,0.5745
6.531,579.8636,-4.5149,252.2106,0.4488,179.9635,0.7967,0.4488,179.9635,0.7967
