time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.119,599.6055,4.6292,250.0089,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.234,599.2069,4.2861,250.0138,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.345,598.7859,3.9291,250.0174,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.457,598.1857,3.4245,250.0214,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.570,597.6146,2.9470,250.0270,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.679,596.8542,2.3130,250.0431,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.789,596.1647,1.7391,250.0667,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.901,595.2776,1.0016,250.1084,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.012,594.3326,0.2166,250.1643,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.123,593.5057,-0.4699,250.2216,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.234,592.4717,-1.3284,250.3048,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.346,591.5789,-2.0697,250.3871,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.456,590.5591,-2.9429,250.4923,359.4200,180.0000,0.0019,359.4200,180.0000,0.0019
1.568,589.9675,-3.5262,250.5632,356.1111,179.9996,0.0112,356.1111,179.9996,0.0112
1.678,589.4567,-3.9203,250.6475,352.9627,179.9988,0.0152,352.9627,179.9988,0.0152
1.789,589.1252,-4.0608,250.7166,351.5501,179.9985,0.0106,351.5501,179.9985,0.0106
1.903,588.7902,-4.1035,250.7642,350.7356,179.9984,-0.0027,350.7356,179.9984,-0.0027
2.014,588.4952,-4.1025,250.7604,350.7356,179.9984,-0.0027,350.7356,179.9984,-0.0027
2.123,588.2672,-4.1165,250.7195,350.7356,179.9984,-0.0027,350.7356,179.9984,-0.0027
2.234,588.0060,-4.1772,250.6326,350.7356,179.9984,-0.0027,350.7356,179.9984,-0.0027
2.345,587.7944,-4.2665,250.5360,350.7356,179.9984,-0.0027,350.7356,179.9984,-0.0027
2.457,587.5450,-4.4095,250.3959,350.7356,179.9984,-0.0027,350.7356,179.9984,-0.0027
2.568,587.3398,-4.5455,250.2601,350.7356,179.9984,-0.0027,350.7356,179.9984,-0.0027
2.679,587.0957,-4.7146,250.0801,350.7356,179.9984,-0.0027,350.7356,179.9984,-0.0027
2.791,586.8532,-4.8800,249.8879,350.7356,179.9984,-0.0027,350.7356,179.9984,-0.0027
2.903,586.6517,-5.0114,249.7220,350.7356,179.9984,-0.0028,350.7356,179.9984,-0.0028
3.012,586.4094,-5.1617,249.5262,350.7356,179.9984,-0.0028,350.7356,179.9984,-0.0028
3.123,586.2048,-5.2864,249.3940,350.7356,179.9984,-0.0028,350.7356,179.9984,-0.0028
3.234,585.9542,-5.4415,249.2885,350.7356,179.9984,-0.0028,350.7356,179.9984,-0.0028
3.346,585.7417,-5.5771,249.2397,350.7058,179.9984,359.9226,350.7058,179.9984,359.9226
3.458,585.4847,-5.7475,249.2170,350.6635,179.9986,359.7699,350.6635,179.9986,359.7699
3.568,585.2698,-5.8952,249.2191,350.6635,179.9986,359.7699,350.6635,179.9986,359.7699
3.679,585.0120,-6.0777,249.2390,350.6801,179.9984,359.5189,350.6801,179.9984,359.5189
3.790,584.7972,-6.2329,249.2660,350.7004,179.9983,359.4408,350.7004,179.9983,359.4408
3.901,584.5401,-6.4214,249.3072,350.7227,179.9980,359.3625,350.7227,179.9980,359.3625
4.014,584.2836,-6.6108,249.3552,350.8727,179.9959,359.0602,350.8727,179.9959,359.0602
4.124,584.0703,-6.7686,249.3991,350.9724,179.9941,358.9253,350.9724,179.9941,358.9253
4.235,583.8145,-6.9565,249.4558,351.1390,179.9907,358.7398,351.1390,179.9907,358.7398
4.346,583.6015,-7.1115,249.5059,351.3231,179.9863,358.5794,351.3231,179.9863,358.5794
4.472,583.3040,-7.3248,249.5803,351.5241,179.9810,358.4478,351.5241,179.9810,358.4478
4.581,583.0915,-7.4737,249.6361,351.8197,179.9726,358.3056,351.8197,179.9726,358.3056
4.693,582.8367,-7.6478,249.7059,351.9835,179.9676,358.2576,351.9835,179.9676,358.2576
4.805,582.6244,-7.7882,249.7662,352.3161,179.9571,358.1818,352.3161,179.9571,358.1818
4.915,582.3700,-7.9498,249.8406,352.6619,179.9460,358.1575,352.6619,179.9460,358.1575
5.028,582.1580,-8.0781,249.9044,353.0001,179.9350,358.1600,353.0001,179.9350,358.1600
5.138,581.9036,-8.2229,249.9822,353.4271,179.9214,358.2170,353.4271,179.9214,358.2170
5.250,581.6915,-8.3353,250.0476,353.8458,179.9086,358.3068,353.8458,179.9086,358.3068
5.362,581.4369,-8.4586,250.1258,354.2557,179.8968,358.4305,354.2557,179.8968,358.4305
5.471,581.1819,-8.5682,250.2029,354.7656,179.8836,358.6224,354.7656,179.8836,358.6224
