time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.108,598.6557,5.0566,250.4581,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.223,598.2777,4.7300,250.4630,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.347,597.7819,4.3091,250.4674,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.458,597.1816,3.8045,250.4713,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.569,596.6104,3.3270,250.4742,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.682,595.8488,2.6930,250.4773,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.794,595.1573,2.1191,250.4778,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.904,594.2678,1.3816,250.4673,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.014,593.4821,0.7305,250.4454,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.125,592.4921,-0.0899,250.4017,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.237,591.6417,-0.8102,250.3528,0.2510,3.8000,-0.4500,359.6734,180.0000,0.0013,0.0000,0.0000,0.0000
1.362,591.0702,-1.2194,250.3209,0.2510,3.8000,-0.4500,358.3509,179.9999,0.0063,0.0000,0.0000,0.0000
1.487,590.6469,-1.3455,250.2959,0.2510,3.8000,-0.4500,357.4900,179.9998,0.0095,0.0000,0.0000,0.0000
1.611,590.3024,-1.2985,250.2755,0.2510,3.8000,-0.4500,357.3139,179.9998,0.0100,0.0000,0.0000,0.0000
1.737,589.9989,-1.1906,250.2651,0.2510,3.8000,-0.4500,357.3139,179.9998,0.0100,0.0000,0.0000,0.0000
1.863,589.6709,-1.0869,250.2633,0.2510,3.8000,-0.4500,357.3139,179.9998,0.0100,0.0000,0.0000,0.0000
1.973,589.4455,-1.0559,250.2657,0.2510,3.8000,-0.4500,357.3139,179.9998,0.0100,0.0000,0.0000,0.0000
2.085,589.1800,-1.0690,250.2706,0.2510,3.8000,-0.4500,357.3139,179.9998,0.0100,0.0000,0.0000,0.0000
2.195,588.9612,-1.1126,250.2755,0.2510,3.8000,-0.4500,357.3139,179.9998,0.0100,0.0000,0.0000,0.0000
