time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.108,599.6597,4.6766,250.0081,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.223,599.2817,4.3500,250.0130,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.347,598.7859,3.9291,250.0174,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.458,598.1857,3.4245,250.0213,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.569,597.6144,2.9470,250.0242,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.682,596.8528,2.3130,250.0273,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.794,596.1614,1.7391,250.0278,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.904,595.2719,1.0016,250.0173,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.014,594.4861,0.3505,249.9954,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.125,593.4962,-0.4699,249.9517,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.237,592.6456,-1.1877,249.9006,359.6734,180.0000,0.0013,359.6734,180.0000,0.0013
1.362,592.0742,-1.5864,249.8601,358.3509,179.9999,0.0063,358.3509,179.9999,0.0063
1.487,591.6509,-1.7056,249.8297,357.4900,179.9998,0.0095,357.4900,179.9998,0.0095
1.611,591.3063,-1.6571,249.8082,357.3139,179.9998,0.0100,357.3139,179.9998,0.0100
1.737,591.0028,-1.5492,249.7978,357.3139,179.9998,0.0100,357.3139,179.9998,0.0100
1.863,590.6748,-1.4456,249.7960,357.3139,179.9998,0.0100,357.3139,179.9998,0.0100
1.973,590.4494,-1.4146,249.7984,357.3139,179.9998,0.0100,357.3139,179.9998,0.0100
2.085,590.1839,-1.4277,249.8033,357.3139,179.9998,0.0100,357.3139,179.9998,0.0100
2.195,589.9651,-1.4713,249.8082,357.3139,179.9998,0.0100,357.3139,179.9998,0.0100
2.309,589.7041,-1.5464,249.8152,357.3139,179.9998,0.0100,357.3139,179.9998,0.0100
2.432,589.4440,-1.6300,249.8233,357.3139,179.9998,0.0100,357.3139,179.9998,0.0100
2.543,589.1844,-1.7107,249.8324,357.3139,179.9998,0.0100,357.3139,179.9998,0.0100
2.653,588.9684,-1.7717,249.8409,357.3139,179.9998,0.0100,357.3139,179.9998,0.0100
2.778,588.6659,-1.8470,249.8536,357.3139,179.9998,0.0100,357.3139,179.9998,0.0100
2.891,588.4498,-1.8954,249.8631,357.3140,179.9998,0.0100,357.3140,179.9998,0.0100
3.002,588.1906,-1.9504,249.8748,357.3140,179.9998,0.0100,357.3140,179.9998,0.0100
3.112,587.9745,-1.9954,249.8845,357.3140,179.9998,0.0100,357.3140,179.9998,0.0100
3.237,587.7150,-2.0501,249.8962,357.3140,179.9998,0.0100,357.3140,179.9998,0.0100
3.348,587.4554,-2.1063,249.9077,357.3140,179.9998,0.0100,357.3140,179.9998,0.0100
3.473,587.1957,-2.1640,249.9190,357.3140,179.9998,0.0100,357.3140,179.9998,0.0100
3.584,586.9359,-2.2230,249.9302,357.3140,179.9998,0.0100,357.3140,179.9998,0.0100
3.710,586.6759,-2.2825,249.9395,357.3140,179.9998,0.0100,357.3140,179.9998,0.0100
3.821,586.4159,-2.3420,249.9446,357.3140,179.9998,0.0100,357.3140,179.9998,0.0100
3.946,586.1562,-2.4012,249.9456,357.3140,179.9998,0.0100,357.3140,179.9998,0.0100
4.070,585.8965,-2.4598,249.9435,357.3140,179.9998,0.0100,357.3140,179.9998,0.0100
4.195,585.6369,-2.5178,249.9391,357.3140,179.9998,0.0100,357.3140,179.9998,0.0100
4.306,585.3773,-2.5752,249.9331,357.3140,179.9998,0.0100,357.3140,179.9998,0.0100
4.432,585.1174,-2.6319,249.9261,357.3140,179.9998,0.0100,357.3140,179.9998,0.0100
4.543,584.8574,-2.6877,249.9183,357.3140,179.9998,0.0100,357.3140,179.9998,0.0100
4.654,584.6407,-2.7334,249.9114,357.3140,179.9998,0.0100,357.3140,179.9998,0.0100
4.765,584.3807,-2.7868,249.9026,357.3140,179.9998,0.0100,357.3140,179.9998,0.0100
4.890,584.1207,-2.8385,249.8934,357.4061,179.9997,359.8735,357.4061,179.9997,359.8735
5.014,583.8607,-2.8881,249.8838,357.4061,179.9997,359.8735,357.4061,179.9997,359.8735
5.126,583.6007,-2.9351,249.8738,357.4061,179.9997,359.8735,357.4061,179.9997,359.8735
5.239,583.3407,-2.9792,249.8634,357.5472,179.9992,359.7783,357.5472,179.9992,359.7783
5.350,583.1243,-3.0135,249.8545,357.5473,179.9992,359.7783,357.5473,179.9992,359.7783
5.458,582.8643,-3.0513,249.8462,357.7005,179.9986,359.7163,357.7005,179.9986,359.7163
5.571,582.6476,-3.0799,249.8435,357.7807,179.9982,359.6994,357.7807,179.9982,359.6994
5.682,582.3879,-3.1103,249.8476,357.8617,179.9977,359.6842,357.8617,179.9977,359.6842
