time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.120,598.5438,4.9589,250.4605,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.233,598.2030,4.6661,250.4651,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.343,597.6889,4.2305,250.4700,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.468,597.0726,3.7129,250.4743,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.593,596.3690,3.1227,250.4408,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.693,595.7297,2.5814,250.3134,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.802,594.9101,1.8789,250.0005,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.914,594.1893,1.2539,249.5992,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.024,593.2851,0.4615,248.9522,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.125,592.5026,-0.2305,248.2827,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.233,591.7710,-0.8840,247.5779,0.2510,3.8000,-0.4500,359.8030,180.0000,0.0004,0.0000,0.0000,0.0000
1.358,591.1677,-1.3681,246.9408,0.2510,3.8000,-0.4500,357.9249,179.9999,0.0037,0.0000,0.0000,0.0000
1.472,590.7404,-1.5367,246.4444,0.2510,3.8000,-0.4500,356.5727,179.9998,0.0057,0.0000,0.0000,0.0000
1.581,590.4063,-1.4993,246.0263,0.2510,3.8000,-0.4500,355.9886,179.9998,0.0062,0.0000,0.0000,0.0000
1.692,590.1666,-1.3977,245.7114,0.2510,3.8000,-0.4500,355.9886,179.9998,0.0062,0.0000,0.0000,0.0000
1.803,589.9043,-1.2748,245.3579,0.2510,3.8000,-0.4500,355.9886,179.9998,0.0062,0.0000,0.0000,0.0000
1.915,589.6977,-1.2070,245.0736,0.2510,3.8000,-0.4500,355.9886,179.9998,0.0062,0.0000,0.0000,0.0000
2.040,589.4172,-1.1842,244.6940,0.2510,3.8000,-0.4500,355.9886,179.9998,0.0062,0.0000,0.0000,0.0000
2.151,589.2187,-1.2143,244.4491,0.2510,3.8000,-0.4500,355.9886,179.9998,0.0062,0.0000,0.0000,0.0000
2.276,588.9803,-1.2847,244.1864,0.2510,3.8000,-0.4500,355.9886,179.9998,0.0061,0.0000,0.0000,0.0000
2.402,588.6994,-1.3898,243.9350,0.2510,3.8000,-0.4500,355.9886,179.9998,0.0061,0.0000,0.0000,0.0000
2.515,588.4943,-1.4698,243.8144,0.2510,3.8000,-0.4500,355.9886,179.9998,0.0062,0.0000,0.0000,0.0000
2.626,588.2432,-1.5656,243.7343,0.2510,3.8000,-0.4500,355.9047,179.9998,0.0019,0.0000,0.0000,0.0000
2.735,588.0314,-1.6418,243.7058,0.2510,3.8000,-0.4500,355.9047,179.9998,0.0020,0.0000,0.0000,0.0000
2.848,587.7755,-1.7309,243.6866,0.2510,3.8000,-0.4500,355.6584,179.9998,359.9816,0.0000,0.0000,0.0000
2.957,587.5625,-1.7998,243.6673,0.2510,3.8000,-0.4500,355.6584,179.9998,359.9816,0.0000,0.0000,0.0000
3.069,587.3074,-1.8808,243.6372,0.2510,3.8000,-0.4500,355.6584,179.9998,359.9816,0.0000,0.0000,0.0000
3.193,587.0524,-1.9622,243.6043,0.2510,3.8000,-0.4500,355.6584,179.9998,359.9816,0.0000,0.0000,0.0000
3.305,586.7971,-2.0457,243.5729,0.2510,3.8000,-0.4500,355.6584,179.9998,359.9816,0.0000,0.0000,0.0000
3.419,586.5840,-2.1173,243.5483,0.2510,3.8000,-0.4500,355.6584,179.9998,359.9816,0.0000,0.0000,0.0000
3.530,586.3284,-2.2054,243.5177,0.2510,3.8000,-0.4500,355.6584,179.9998,359.9816,0.0000,0.0000,0.0000
3.638,586.1154,-2.2800,243.4899,0.2510,3.8000,-0.4500,355.6584,179.9998,359.9816,0.0000,0.0000,0.0000
3.749,585.8601,-2.3705,243.4537,0.2510,3.8000,-0.4500,355.6584,179.9998,359.9816,0.0000,0.0000,0.0000
3.860,585.6055,-2.4615,243.4079,0.2510,3.8000,-0.4500,355.6584,179.9998,359.9816,0.0000,0.0000,0.0000
3.972,585.3968,-2.5359,243.3264,0.2510,3.8000,-0.4500,355.5861,179.9998,359.9443,0.0000,0.0000,0.0000
4.097,585.1528,-2.6179,243.1538,0.2510,3.8000,-0.4500,355.5861,179.9999,359.9443,0.0000,0.0000,0.0000
4.210,584.9142,-2.6936,242.9097,0.2510,3.8000,-0.4500,355.5861,179.9999,359.9443,0.0000,0.0000,0.0000
4.319,584.7187,-2.7529,242.6638,0.2510,3.8000,-0.4500,355.5861,179.9999,359.9443,0.0000,0.0000,0.0000
4.430,584.4891,-2.8185,242.2979,0.2510,3.8000,-0.4500,355.5861,179.9999,359.9443,0.0000,0.0000,0.0000
4.543,584.2654,-2.8767,241.8462,0.2510,3.8000,-0.4500,355.5861,179.9999,359.9443,0.0000,0.0000,0.0000
4.652,584.0820,-2.9216,241.4165,0.2510,3.8000,-0.4500,355.5249,179.9999,359.8938,0.0000,0.0000,0.0000
4.777,583.8651,-2.9694,240.8558,0.2510,3.8000,-0.4500,355.5249,180.0000,359.8938,0.0000,0.0000,0.0000
4.891,583.6501,-3.0137,240.2640,0.2510,3.8000,-0.4500,355.5249,180.0000,359.8938,0.0000,0.0000,0.0000
5.002,583.4363,-3.0558,239.6537,0.2510,3.8000,-0.4500,355.5249,180.0000,359.8938,0.0000,0.0000,0.0000
5.111,583.2599,-3.0886,239.1175,0.2510,3.8000,-0.4500,355.5249,180.0000,359.8938,0.0000,0.0000,0.0000
5.236,583.0510,-3.1230,238.4255,0.2510,3.8000,-0.4500,355.5249,180.0000,359.8937,0.0000,0.0000,0.0000
5.361,582.8086,-3.1589,237.5929,0.2510,3.8000,-0.4500,355.5249,180.0000,359.8937,0.0000,0.0000,0.0000
5.486,582.6016,-3.1874,236.8666,0.2510,3.8000,-0.4500,355.5249,180.0000,359.8937,0.0000,0.0000,0.0000
5.597,582.4298,-3.2093,236.2548,0.2510,3.8000,-0.4500,355.5249,180.0000,359.8937,0.0000,0.0000,0.0000
5.722,582.1884,-3.2396,235.4191,0.2510,3.8000,-0.4500,355.5249,180.0000,359.8937,0.0000,0.0000,0.0000
5.833,582.0147,-3.2620,234.8479,0.2510,3.8000,-0.4500,355.5249,180.0000,359.8937,0.0000,0.0000,0.0000
5.958,581.8046,-3.2904,234.1991,0.2510,3.8000,-0.4500,355.5249,180.0000,359.8937,0.0000,0.0000,0.0000
6.083,581.5570,-3.3255,233.4889,0.2510,3.8000,-0.4500,355.5249,180.0000,359.8938,0.0000,0.0000,0.0000
6.208,581.3408,-3.3584,232.9520,0.2510,3.8000,-0.4500,355.5249,180.0000,359.8938,0.0000,0.0000,0.0000
6.333,581.1151,-3.3996,232.5553,0.2510,3.8000,-0.4500,355.5249,180.0000,359.8938,0.0000,0.0000,0.0000
6.433,580.9186,-3.4410,232.3382,0.2510,3.8000,-0.4500,355.5249,180.0000,359.8938,0.0000,0.0000,0.0000
6.541,580.6742,-3.4966,232.1883,0.2510,3.8000,-0.4500,355.5249,180.0000,359.8938,0.0000,0.0000,0.0000
6.666,580.4247,-3.5546,232.1234,0.2510,3.8000,-0.4500,355.5249,180.0000,359.8938,0.0000,0.0000,0.0000
6.791,580.1740,-3.6096,232.1117,0.2510,3.8000,-0.4500,355.5471,180.0000,359.9698,0.0000,0.0000,0.0000
