time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.120,599.5479,4.5789,250.0105,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.233,599.2070,4.2861,250.0151,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.343,598.6929,3.8505,250.0200,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.468,598.0766,3.3329,250.0243,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.593,597.3730,2.7427,249.9908,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.693,596.7337,2.2014,249.8634,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.802,595.9141,1.4989,249.5505,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.914,595.1934,0.8739,249.1492,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.024,594.2891,0.0815,248.5022,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.125,593.5067,-0.6105,247.8327,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.233,592.7750,-1.2624,247.1266,359.8030,180.0000,0.0004,359.8030,180.0000,0.0004
1.358,592.1717,-1.7316,246.4773,357.9249,179.9999,0.0037,357.9249,179.9999,0.0037
1.472,591.7443,-1.8892,245.9725,356.5727,179.9998,0.0057,356.5727,179.9998,0.0057
1.581,591.4103,-1.8470,245.5508,355.9886,179.9998,0.0062,355.9886,179.9998,0.0062
1.692,591.1705,-1.7454,245.2359,355.9886,179.9998,0.0062,355.9886,179.9998,0.0062
1.803,590.9083,-1.6225,244.8824,355.9886,179.9998,0.0062,355.9886,179.9998,0.0062
1.915,590.7017,-1.5547,244.5982,355.9886,179.9998,0.0062,355.9886,179.9998,0.0062
2.040,590.4211,-1.5319,244.2185,355.9886,179.9998,0.0062,355.9886,179.9998,0.0062
2.151,590.2227,-1.5620,243.9736,355.9886,179.9998,0.0062,355.9886,179.9998,0.0062
2.276,589.9843,-1.6324,243.7110,355.9886,179.9998,0.0061,355.9886,179.9998,0.0061
2.402,589.7034,-1.7375,243.4596,355.9886,179.9998,0.0061,355.9886,179.9998,0.0061
2.515,589.4982,-1.8175,243.3389,355.9886,179.9998,0.0062,355.9886,179.9998,0.0062
2.626,589.2471,-1.9125,243.2583,355.9047,179.9998,0.0019,355.9047,179.9998,0.0019
2.735,589.0353,-1.9887,243.2298,355.9047,179.9998,0.0020,355.9047,179.9998,0.0020
2.848,588.7797,-2.0754,243.2092,355.6584,179.9998,359.9816,355.6584,179.9998,359.9816
2.957,588.5667,-2.1444,243.1898,355.6584,179.9998,359.9816,355.6584,179.9998,359.9816
3.069,588.3115,-2.2253,243.1598,355.6584,179.9998,359.9816,355.6584,179.9998,359.9816
3.193,588.0565,-2.3067,243.1269,355.6584,179.9998,359.9816,355.6584,179.9998,359.9816
3.305,587.8012,-2.3902,243.0954,355.6584,179.9998,359.9816,355.6584,179.9998,359.9816
3.419,587.5882,-2.4618,243.0708,355.6584,179.9998,359.9816,355.6584,179.9998,359.9816
3.530,587.3326,-2.5499,243.0403,355.6584,179.9998,359.9816,355.6584,179.9998,359.9816
3.638,587.1196,-2.6245,243.0125,355.6584,179.9998,359.9816,355.6584,179.9998,359.9816
3.749,586.8643,-2.7150,242.9762,355.6584,179.9998,359.9816,355.6584,179.9998,359.9816
3.860,586.6096,-2.8060,242.9305,355.6584,179.9998,359.9816,355.6584,179.9998,359.9816
3.972,586.4012,-2.8792,242.8485,355.5861,179.9998,359.9443,355.5861,179.9998,359.9443
4.097,586.1572,-2.9612,242.6760,355.5861,179.9999,359.9443,355.5861,179.9999,359.9443
4.210,585.9186,-3.0369,242.4318,355.5861,179.9999,359.9443,355.5861,179.9999,359.9443
4.319,585.7231,-3.0962,242.1859,355.5861,179.9999,359.9443,355.5861,179.9999,359.9443
4.430,585.4935,-3.1618,241.8200,355.5861,179.9999,359.9443,355.5861,179.9999,359.9443
4.543,585.2698,-3.2200,241.3683,355.5861,179.9999,359.9443,355.5861,179.9999,359.9443
4.652,585.0867,-3.2635,240.9384,355.5249,179.9999,359.8938,355.5249,179.9999,359.8938
4.777,584.8698,-3.3113,240.3777,355.5249,180.0000,359.8938,355.5249,180.0000,359.8938
4.891,584.6548,-3.3556,239.7859,355.5249,180.0000,359.8938,355.5249,180.0000,359.8938
5.002,584.4410,-3.3977,239.1756,355.5249,180.0000,359.8938,355.5249,180.0000,359.8938
5.111,584.2646,-3.4305,238.6393,355.5249,180.0000,359.8938,355.5249,180.0000,359.8938
5.236,584.0557,-3.4649,237.9473,355.5249,180.0000,359.8937,355.5249,180.0000,359.8937
5.361,583.8133,-3.5008,237.1147,355.5249,180.0000,359.8937,355.5249,180.0000,359.8937
5.486,583.6063,-3.5293,236.3884,355.5249,180.0000,359.8937,355.5249,180.0000,359.8937
5.597,583.4345,-3.5512,235.7767,355.5249,180.0000,359.8937,355.5249,180.0000,359.8937
5.722,583.1931,-3.5815,234.9410,355.5249,180.0000,359.8937,355.5249,180.0000,359.8937
