time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.9008,5.2765,250.4526,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.9008,5.2765,250.4526,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.121,598.6557,5.0566,250.4574,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.234,598.2776,4.7300,250.4617,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.346,597.7817,4.3091,250.4655,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.458,597.2905,3.8939,250.4430,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.568,596.6279,3.3270,250.2671,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.680,596.0256,2.8030,249.9495,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.794,595.2519,2.1191,249.3455,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.902,594.5700,1.5080,248.6591,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.014,593.7129,0.7305,247.6290,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.124,592.8181,-0.0899,246.3926,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.236,592.0464,-0.8029,245.2286,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.361,591.2095,-1.5564,243.8999,0.2510,3.8000,-0.4500,358.9763,180.0000,0.0006,0.0000,0.0000,0.0000
1.472,590.6534,-1.9767,242.9978,0.2510,3.8000,-0.4500,355.4716,179.9999,0.0022,0.0000,0.0000,0.0000
1.584,590.2509,-2.1139,242.3771,0.2510,3.8000,-0.4500,353.2342,179.9998,0.0028,0.0000,0.0000,0.0000
1.695,589.9744,-2.0989,242.0439,0.2510,3.8000,-0.4500,352.3013,179.9998,0.0027,0.0000,0.0000,0.0000
1.806,589.6771,-2.0300,241.8127,0.2510,3.8000,-0.4500,351.8979,179.9997,0.0025,0.0000,0.0000,0.0000
1.917,589.4442,-1.9889,241.7199,0.2510,3.8000,-0.4500,351.8979,179.9997,0.0025,0.0000,0.0000,0.0000
2.028,589.1765,-2.0017,241.6962,0.2510,3.8000,-0.4500,351.8979,179.9997,0.0025,0.0000,0.0000,0.0000
2.139,588.9600,-2.0719,241.7271,0.2510,3.8000,-0.4500,351.8161,179.9997,0.0016,0.0000,0.0000,0.0000
2.250,588.7056,-2.2163,241.8033,0.2510,3.8000,-0.4500,351.6507,179.9997,-0.0006,0.0000,0.0000,0.0000
2.375,588.4549,-2.4046,241.9072,0.2510,3.8000,-0.4500,351.4865,179.9997,-0.0036,0.0000,0.0000,0.0000
2.487,588.2063,-2.6148,242.0295,0.2510,3.8000,-0.4500,351.3171,179.9998,359.9899,0.0000,0.0000,0.0000
2.598,588.0002,-2.7947,242.1410,0.2510,3.8000,-0.4500,351.1560,179.9998,359.9822,0.0000,0.0000,0.0000
2.709,587.7537,-3.0061,242.2823,0.2510,3.8000,-0.4500,351.1560,179.9998,359.9822,0.0000,0.0000,0.0000
2.820,587.5485,-3.1794,242.4059,0.2510,3.8000,-0.4500,350.9919,179.9999,359.9685,0.0000,0.0000,0.0000
2.931,587.3024,-3.3824,242.5584,0.2510,3.8000,-0.4500,350.8260,180.0000,359.9468,0.0000,0.0000,0.0000
3.042,587.0976,-3.5478,242.6873,0.2510,3.8000,-0.4500,350.8260,180.0000,359.9468,0.0000,0.0000,0.0000
3.153,586.8521,-3.7475,242.8450,0.2510,3.8000,-0.4500,350.7465,180.0001,359.9321,0.0000,0.0000,0.0000
3.279,586.6066,-3.9508,243.0047,0.2510,3.8000,-0.4500,350.5842,180.0003,359.8873,0.0000,0.0000,0.0000
3.403,586.3612,-4.1570,243.1666,0.2510,3.8000,-0.4500,350.5061,180.0005,359.8644,0.0000,0.0000,0.0000
3.514,586.1162,-4.3669,243.3331,0.2510,3.8000,-0.4500,350.5061,180.0005,359.8644,0.0000,0.0000,0.0000
3.640,585.8715,-4.5811,243.5039,0.2510,3.8000,-0.4500,350.5061,180.0005,359.8644,0.0000,0.0000,0.0000
3.751,585.6265,-4.8002,243.6783,0.2510,3.8000,-0.4500,350.4421,180.0007,359.8139,0.0000,0.0000,0.0000
3.876,585.3820,-5.0201,243.8547,0.2510,3.8000,-0.4500,350.4420,180.0007,359.8139,0.0000,0.0000,0.0000
3.987,585.1376,-5.2416,244.0326,0.2510,3.8000,-0.4500,350.4420,180.0007,359.8139,0.0000,0.0000,0.0000
4.099,584.9327,-5.4298,244.1813,0.2510,3.8000,-0.4500,350.3568,180.0011,359.6717,0.0000,0.0000,0.0000
4.210,584.6877,-5.6518,244.3592,0.2510,3.8000,-0.4500,350.3568,180.0011,359.6717,0.0000,0.0000,0.0000
4.322,584.4828,-5.8380,244.5069,0.2510,3.8000,-0.4500,350.3453,180.0011,359.5882,0.0000,0.0000,0.0000
4.431,584.2371,-6.0598,244.6828,0.2510,3.8000,-0.4500,350.3365,180.0012,359.5044,0.0000,0.0000,0.0000
4.543,584.0308,-6.2455,244.8262,0.2510,3.8000,-0.4500,350.3868,180.0007,359.2581,0.0000,0.0000,0.0000
4.654,583.7852,-6.4610,244.9964,0.2510,3.8000,-0.4500,350.3868,180.0007,359.2581,0.0000,0.0000,0.0000
4.766,583.5377,-6.6757,245.1622,0.2510,3.8000,-0.4500,350.5717,179.9978,358.9813,0.0000,0.0000,0.0000
4.876,583.3328,-6.8486,245.2993,0.2510,3.8000,-0.4500,350.6271,179.9967,358.9281,0.0000,0.0000,0.0000
4.988,583.0859,-7.0505,245.4599,0.2510,3.8000,-0.4500,350.9239,179.9906,358.7512,0.0000,0.0000,0.0000
5.099,582.8807,-7.2129,245.5938,0.2510,3.8000,-0.4500,351.0733,179.9872,358.6812,0.0000,0.0000,0.0000
5.209,582.6342,-7.3983,245.7518,0.2510,3.8000,-0.4500,351.4748,179.9775,358.5924,0.0000,0.0000,0.0000
5.321,582.4291,-7.5446,245.8824,0.2510,3.8000,-0.4500,351.8130,179.9691,358.5798,0.0000,0.0000,0.0000
5.431,582.1829,-7.7102,246.0386,0.2510,3.8000,-0.4500,352.1476,179.9608,358.5978,0.0000,0.0000,0.0000
5.556,581.9371,-7.8606,246.1924,0.2510,3.8000,-0.4500,352.6749,179.9482,358.6983,0.0000,0.0000,0.0000
5.681,581.6909,-7.9967,246.3444,0.2510,3.8000,-0.4500,353.1968,179.9368,358.8438,0.0000,0.0000,0.0000
5.793,581.4449,-8.1174,246.4944,0.2510,3.8000,-0.4500,353.7082,179.9272,359.0260,0.0000,0.0000,0.0000
5.904,581.1987,-8.2211,246.6423,0.2510,3.8000,-0.4500,354.2280,179.9193,359.2440,0.0000,0.0000,0.0000
6.015,580.9938,-8.2937,246.7635,0.2510,3.8000,-0.4500,354.6761,179.9142,359.4529,0.0000,0.0000,0.0000
6.126,580.7483,-8.3632,246.9067,0.2510,3.8000,-0.4500,355.2350,179.9102,359.7356,0.0000,0.0000,0.0000
6.237,580.5444,-8.4057,247.0242,0.2510,3.8000,-0.4500,355.7188,179.9091,-0.0030,0.0000,0.0000,0.0000
6.348,580.3007,-8.4375,247.1631,0.2510,3.8000,-0.4500,356.3197,179.9108,0.3404,0.0000,0.0000,0.0000
6.460,580.0986,-8.4475,247.2772,0.2510,3.8000,-0.4500,356.8358,179.9153,0.6498,0.0000,0.0000,0.0000
6.571,579.8578,-8.4391,247.4125,0.2510,3.8000,-0.4500,357.4709,179.9247,1.0467,0.0000,0.0000,0.0000
6.682,579.6588,-8.4149,247.5234,0.2510,3.8000,-0.4500,358.0108,179.9362,1.3969,0.0000,0.0000,0.0000
6.793,579.4224,-8.3649,247.6543,0.2510,3.8000,-0.4500,358.6683,179.9548,1.8376,0.0000,0.0000,0.0000
6.904,579.1888,-8.2919,247.7838,0.2510,3.8000,-0.4500,359.3321,179.9787,2.2973,0.0000,0.0000,0.0000
7.015,578.9971,-8.2136,247.8916,0.2510,3.8000,-0.4500,359.8873,180.0029,2.6922,0.0000,0.0000,0.0000
7.126,578.7709,-8.0987,248.0216,0.2510,3.8000,-0.4500,0.5524,180.0370,3.1766,0.0000,0.0000,0.0000
7.238,578.5860,-7.9857,248.1310,0.2510,3.8000,-0.4500,1.1028,180.0695,3.5863,0.0000,0.0000,0.0000
7.362,578.3687,-7.8298,248.2645,0.2510,3.8000,-0.4500,1.7553,180.1132,4.0816,0.0000,0.0000,0.0000
7.474,578.1567,-7.6523,248.4010,0.2510,3.8000,-0.4500,2.3948,180.1617,4.5768,0.0000,0.0000,0.0000
7.585,577.9507,-7.4539,248.5406,0.2510,3.8000,-0.4500,3.0172,180.2142,5.0677,0.0000,0.0000,0.0000
7.697,577.7836,-7.2733,248.6595,0.2510,3.8000,-0.4500,3.5195,180.2606,5.4704,0.0000,0.0000,0.0000
7.807,577.5888,-7.0390,248.8053,0.2510,3.8000,-0.4500,4.0989,180.3186,5.9425,0.0000,0.0000,0.0000
7.916,577.4313,-6.8299,248.9300,0.2510,3.8000,-0.4500,4.5595,180.3683,6.3239,0.0000,0.0000,0.0000
8.028,577.2478,-6.5634,249.0836,0.2510,3.8000,-0.4500,5.0823,180.4284,6.7640,0.0000,0.0000,0.0000
8.152,577.0704,-6.2812,249.2419,0.2510,3.8000,-0.4500,5.5689,180.4882,7.1816,0.0000,0.0000,0.0000
8.264,576.8993,-5.9846,249.4048,0.2510,3.8000,-0.4500,6.0159,180.5464,7.5733,0.0000,0.0000,0.0000
8.375,576.7610,-5.7276,249.5441,0.2510,3.8000,-0.4500,6.3561,180.5928,7.8777,0.0000,0.0000,0.0000
8.486,576.5986,-5.4113,249.7167,0.2510,3.8000,-0.4500,6.6059,180.6281,8.1057,0.0000,0.0000,0.0000
8.597,576.4681,-5.1373,249.8626,0.2510,3.8000,-0.4500,6.9103,180.6725,8.3922,0.0000,0.0000,0.0000
8.709,576.3136,-4.8039,250.0425,0.2510,3.8000,-0.4500,7.0916,180.6998,8.5695,0.0000,0.0000,0.0000
8.819,576.1877,-4.5210,250.1950,0.2510,3.8000,-0.4500,7.2083,180.7176,8.6853,0.0000,0.0000,0.0000
8.944,576.0138,-4.1191,250.4126,0.2510,3.8000,-0.4500,7.3205,180.7350,8.8030,0.0000,0.0000,0.0000
9.056,575.8920,-3.8279,250.5696,0.2510,3.8000,-0.4500,7.4298,180.7522,8.9256,0.0000,0.0000,0.0000
9.166,575.7459,-3.4797,250.7614,0.2510,3.8000,-0.4500,7.4298,180.7522,8.9256,0.0000,0.0000,0.0000
9.291,575.6004,-3.1312,250.9550,0.2510,3.8000,-0.4500,7.4298,180.7522,8.9256,0.0000,0.0000,0.0000
9.403,575.4793,-2.8419,251.1172,0.2510,3.8000,-0.4500,7.4298,180.7522,8.9256,0.0000,0.0000,0.0000
9.528,575.3091,-2.4409,251.3452,0.2510,3.8000,-0.4500,7.4298,180.7522,8.9256,0.0000,0.0000,0.0000
9.639,575.1868,-2.1588,251.5087,0.2510,3.8000,-0.4500,7.4298,180.7522,8.9256,0.0000,0.0000,0.0000
9.750,575.0385,-1.8269,251.7060,0.2510,3.8000,-0.4500,7.4298,180.7522,8.9256,0.0000,0.0000,0.0000
9.861,574.9135,-1.5567,251.8718,0.2510,3.8000,-0.4500,7.4298,180.7522,8.9256,0.0000,0.0000,0.0000
9.972,574.7614,-1.2417,252.0733,0.2510,3.8000,-0.4500,7.4298,180.7522,8.9256,0.0000,0.0000,0.0000
10.084,574.6058,-0.9409,252.2803,0.2510,3.8000,-0.4500,7.1627,180.7101,8.8547,0.0000,0.0000,0.0000
10.194,574.4721,-0.7030,252.4581,0.2510,3.8000,-0.4500,6.7163,180.6407,8.6785,0.0000,0.0000,0.0000
10.306,574.3070,-0.4310,252.6733,0.2510,3.8000,-0.4500,6.2366,180.5681,8.4050,0.0000,0.0000,0.0000
10.417,574.1652,-0.2164,252.8526,0.2510,3.8000,-0.4500,5.8656,180.5138,8.1394,0.0000,0.0000,0.0000
10.527,573.9894,0.0253,253.0667,0.2510,3.8000,-0.4500,5.4283,180.4524,7.7829,0.0000,0.0000,0.0000
10.639,573.8381,0.2128,253.2437,0.2510,3.8000,-0.4500,5.0607,180.4030,7.4570,0.0000,0.0000,0.0000
10.751,573.6506,0.4201,253.4537,0.2510,3.8000,-0.4500,4.6126,180.3458,7.0342,0.0000,0.0000,0.0000
10.861,573.4896,0.5778,253.6261,0.2510,3.8000,-0.4500,4.2354,180.3003,6.6569,0.0000,0.0000,0.0000
10.973,573.2902,0.7485,253.8289,0.2510,3.8000,-0.4500,3.7833,180.2493,6.1766,0.0000,0.0000,0.0000
11.083,573.1191,0.8755,253.9936,0.2510,3.8000,-0.4500,3.4119,180.2104,5.7551,0.0000,0.0000,0.0000
11.194,572.9078,1.0093,254.1853,0.2510,3.8000,-0.4500,2.9794,180.1688,5.2262,0.0000,0.0000,0.0000
11.305,572.6908,1.1233,254.3696,0.2510,3.8000,-0.4500,2.5690,180.1331,4.6748,0.0000,0.0000,0.0000
11.417,572.5056,1.2035,254.5170,0.2510,3.8000,-0.4500,2.2501,180.1084,4.2004,0.0000,0.0000,0.0000
11.528,572.2782,1.2828,254.6859,0.2510,3.8000,-0.4500,1.9022,180.0845,3.6158,0.0000,0.0000,0.0000
11.639,572.0849,1.3354,254.8198,0.2510,3.8000,-0.4500,1.6467,180.0695,3.1180,0.0000,0.0000,0.0000
11.750,571.8486,1.3832,254.9722,0.2510,3.8000,-0.4500,1.3884,180.0567,2.5104,0.0000,0.0000,0.0000
11.861,571.6484,1.4110,255.0920,0.2510,3.8000,-0.4500,1.2170,180.0499,1.9978,0.0000,0.0000,0.0000
11.972,571.4046,1.4301,255.2273,0.2510,3.8000,-0.4500,1.0492,180.0450,1.3775,0.0000,0.0000,0.0000
12.097,571.1572,1.4329,255.3551,0.2510,3.8000,-0.4500,0.8903,180.0420,0.7536,0.0000,0.0000,0.0000
12.222,570.9067,1.4186,255.4773,0.2510,3.8000,-0.4500,0.7169,180.0407,0.1284,0.0000,0.0000,0.0000
12.333,570.6536,1.3867,255.5965,0.2510,3.8000,-0.4500,0.5188,180.0414,359.5039,0.0000,0.0000,0.0000
12.459,570.3990,1.3367,255.7148,0.2510,3.8000,-0.4500,0.2931,180.0446,358.8827,0.0000,0.0000,0.0000
12.570,570.1426,1.2683,255.8342,0.2510,3.8000,-0.4500,0.0400,180.0509,358.2674,0.0000,0.0000,0.0000
12.680,569.9285,1.1971,255.9360,0.2510,3.8000,-0.4500,359.8097,180.0589,357.7615,0.0000,0.0000,0.0000
12.792,569.6716,1.0947,256.0624,0.2510,3.8000,-0.4500,359.5120,180.0721,357.1657,0.0000,0.0000,0.0000
12.903,569.4579,0.9954,256.1707,0.2510,3.8000,-0.4500,359.2483,180.0863,356.6812,0.0000,0.0000,0.0000
13.013,569.2018,0.8595,256.3034,0.2510,3.8000,-0.4500,358.9164,180.1072,356.1175,0.0000,0.0000,0.0000
13.139,568.9468,0.7061,256.4410,0.2510,3.8000,-0.4500,358.5711,180.1323,355.5770,0.0000,0.0000,0.0000
13.250,568.6934,0.5358,256.5840,0.2510,3.8000,-0.4500,358.2167,180.1613,355.0637,0.0000,0.0000,0.0000
13.361,568.4834,0.3815,256.7068,0.2510,3.8000,-0.4500,357.9173,180.1883,354.6595,0.0000,0.0000,0.0000
13.472,568.2336,0.1823,256.8593,0.2510,3.8000,-0.4500,357.5567,180.2235,354.2060,0.0000,0.0000,0.0000
13.583,568.0272,0.0052,256.9919,0.2510,3.8000,-0.4500,357.2579,180.2547,353.8566,0.0000,0.0000,0.0000
13.694,567.7818,-0.2195,257.1585,0.2510,3.8000,-0.4500,356.9045,180.2941,353.4745,0.0000,0.0000,0.0000
13.822,567.5390,-0.4538,257.3329,0.2510,3.8000,-0.4500,356.6654,180.3219,353.2389,0.0000,0.0000,0.0000
13.930,567.2985,-0.7016,257.5150,0.2510,3.8000,-0.4500,356.3473,180.3606,352.9506,0.0000,0.0000,0.0000
