time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.9048,4.8965,250.0026,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.9048,4.8965,250.0026,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.121,599.6597,4.6766,250.0074,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.234,599.2817,4.3500,250.0117,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.346,598.7858,3.9291,250.0155,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.458,598.2946,3.5139,249.9930,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.568,597.6320,2.9470,249.8171,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.680,597.0297,2.4230,249.4995,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.794,596.2559,1.7391,248.8955,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.902,595.5740,1.1280,248.2091,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.014,594.7169,0.3505,247.1790,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.124,593.8221,-0.4699,245.9426,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.236,593.0504,-1.1829,244.7786,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.361,592.2135,-1.9283,243.4432,358.9763,180.0000,0.0006,358.9763,180.0000,0.0006
1.472,591.6574,-2.3201,242.5192,355.4716,179.9999,0.0022,355.4716,179.9999,0.0022
1.584,591.2549,-2.4383,241.8854,353.2342,179.9998,0.0028,353.2342,179.9998,0.0028
1.695,590.9784,-2.4153,241.5470,352.3013,179.9998,0.0027,352.3013,179.9998,0.0027
1.806,590.6810,-2.3428,241.3136,351.8979,179.9997,0.0025,351.8979,179.9997,0.0025
1.917,590.4481,-2.3017,241.2209,351.8979,179.9997,0.0025,351.8979,179.9997,0.0025
2.028,590.1804,-2.3146,241.1972,351.8979,179.9997,0.0025,351.8979,179.9997,0.0025
2.139,589.9640,-2.3840,241.2276,351.8161,179.9997,0.0016,351.8161,179.9997,0.0016
