time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.109,598.6016,5.0092,250.4596,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.221,598.2030,4.6661,250.4651,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.346,597.6889,4.2305,250.4700,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.458,597.0726,3.7129,250.4743,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.569,596.4893,3.2258,250.4767,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.680,595.7158,2.5814,250.4689,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.791,595.0168,1.9998,250.4479,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.903,594.1203,1.2539,250.4019,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.013,593.1678,0.4615,250.3331,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.125,592.3361,-0.2305,250.2589,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.236,591.5482,-0.9014,250.1826,0.2510,3.8000,-0.4500,359.2266,180.0000,0.0029,0.0000,0.0000,0.0000
1.346,591.0884,-1.2160,250.1386,0.2510,3.8000,-0.4500,358.1757,179.9999,0.0067,0.0000,0.0000,0.0000
1.472,590.6050,-1.3383,250.0936,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
1.582,590.3229,-1.2872,250.0670,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
1.694,590.0209,-1.1770,250.0401,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
1.807,589.7861,-1.0954,250.0224,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
1.930,589.5151,-1.0430,250.0082,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
2.056,589.2064,-1.0527,249.9996,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
2.166,588.9882,-1.0961,249.9974,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
2.278,588.7275,-1.1711,249.9984,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
2.403,588.4677,-1.2547,250.0027,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
2.514,588.2083,-1.3354,250.0102,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
2.639,587.9492,-1.4079,250.0212,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
2.750,587.7335,-1.4618,250.0326,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
2.862,587.4745,-1.5206,250.0482,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
2.972,587.2159,-1.5759,250.0657,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
3.083,587.0005,-1.6213,250.0817,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
3.208,586.7419,-1.6766,250.1023,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
3.333,586.4403,-1.7432,250.1282,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
3.445,586.2249,-1.7922,250.1478,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
3.555,585.9663,-1.8521,250.1725,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0096,0.0000,0.0000,0.0000
3.667,585.7509,-1.9025,250.1938,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
3.778,585.4923,-1.9633,250.2218,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
3.889,585.2770,-2.0139,250.2470,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
4.000,585.0189,-2.0744,250.2792,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
4.112,584.7607,-2.1345,250.3130,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
4.223,584.5454,-2.1842,250.3420,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
4.347,584.2869,-2.2432,250.3774,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
4.459,584.0283,-2.3014,250.4134,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
4.583,583.7698,-2.3585,250.4498,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
4.709,583.5112,-2.4141,250.4863,0.2510,3.8000,-0.4500,357.3257,179.9998,0.0097,0.0000,0.0000,0.0000
4.820,583.2518,-2.4696,250.5222,0.2510,3.8000,-0.4500,357.4133,179.9997,359.8715,0.0000,0.0000,0.0000
4.931,583.0363,-2.5129,250.5526,0.2510,3.8000,-0.4500,357.4133,179.9997,359.8715,0.0000,0.0000,0.0000
5.043,582.7778,-2.5624,250.5889,0.2510,3.8000,-0.4500,357.4133,179.9997,359.8714,0.0000,0.0000,0.0000
5.167,582.5186,-2.6097,250.6239,0.2510,3.8000,-0.4500,357.5502,179.9993,359.7703,0.0000,0.0000,0.0000
5.279,582.2598,-2.6529,250.6588,0.2510,3.8000,-0.4500,357.6215,179.9989,359.7328,0.0000,0.0000,0.0000
5.403,582.0011,-2.6923,250.6932,0.2510,3.8000,-0.4500,357.6976,179.9986,359.7036,0.0000,0.0000,0.0000
5.515,581.7427,-2.7271,250.7269,0.2510,3.8000,-0.4500,357.8563,179.9977,359.6608,0.0000,0.0000,0.0000
5.640,581.4847,-2.7574,250.7611,0.2510,3.8000,-0.4500,357.9373,179.9972,359.6517,0.0000,0.0000,0.0000
5.766,581.2270,-2.7804,250.7935,0.2510,3.8000,-0.4500,358.2788,179.9951,359.6579,0.0000,0.0000,0.0000
5.875,580.9697,-2.8010,250.8279,0.2510,3.8000,-0.4500,358.2788,179.9951,359.6579,0.0000,0.0000,0.0000
6.000,580.7130,-2.8132,250.8602,0.2510,3.8000,-0.4500,358.5227,179.9938,359.7086,0.0000,0.0000,0.0000
6.111,580.4572,-2.8177,250.8914,0.2510,3.8000,-0.4500,358.8454,179.9924,359.8207,0.0000,0.0000,0.0000
6.223,580.2438,-2.8195,250.9180,0.2510,3.8000,-0.4500,358.9209,179.9922,359.8498,0.0000,0.0000,0.0000
6.348,579.9891,-2.8121,250.9476,0.2510,3.8000,-0.4500,359.2234,179.9918,0.0035,0.0000,0.0000,0.0000
6.458,579.7344,-2.8005,250.9773,0.2510,3.8000,-0.4500,359.3690,179.9919,0.0894,0.0000,0.0000,0.0000
6.570,579.5229,-2.7841,251.0009,0.2510,3.8000,-0.4500,359.5804,179.9925,0.2195,0.0000,0.0000,0.0000
6.681,579.2694,-2.7602,251.0297,0.2510,3.8000,-0.4500,359.7135,179.9931,0.3103,0.0000,0.0000,0.0000
6.792,579.0170,-2.7280,251.0581,0.2510,3.8000,-0.4500,359.9152,179.9945,0.4553,0.0000,0.0000,0.0000
