time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.107,599.6597,4.6766,250.0081,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.209,599.2817,4.3500,250.0130,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.319,598.8761,4.0053,250.0167,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.444,598.2924,3.5139,250.0207,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.569,597.4948,2.8458,250.0055,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.681,596.8644,2.3130,249.8957,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.806,596.0568,1.6198,249.5706,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.930,595.0563,0.7449,248.8904,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.043,594.3091,0.0815,248.2087,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.155,593.4184,-0.7187,247.2307,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.265,592.8821,-1.1773,246.5424,359.2623,180.0000,0.0013,359.2623,180.0000,0.0013
1.390,592.3611,-1.4503,245.7545,357.9710,179.9999,0.0032,357.9710,179.9999,0.0032
1.501,592.0793,-1.4501,245.2626,357.5510,179.9999,0.0037,357.5510,179.9999,0.0037
1.626,591.7937,-1.3394,244.7129,357.5510,179.9999,0.0037,357.5510,179.9999,0.0037
1.737,591.5399,-1.1993,244.1856,357.5510,179.9999,0.0037,357.5510,179.9999,0.0037
1.862,591.3010,-1.0912,243.6935,357.5510,179.9999,0.0037,357.5510,179.9999,0.0037
1.987,591.0635,-1.0428,243.3124,357.5510,179.9999,0.0037,357.5510,179.9999,0.0037
2.098,590.8212,-1.0527,243.0552,357.5510,179.9999,0.0037,357.5510,179.9999,0.0037
2.223,590.5734,-1.1038,242.8979,357.5510,179.9999,0.0037,357.5510,179.9999,0.0037
2.348,590.2784,-1.1892,242.8054,357.5510,179.9999,0.0037,357.5510,179.9999,0.0037
2.448,590.0669,-1.2540,242.7640,357.5510,179.9999,0.0037,357.5510,179.9999,0.0037
2.557,589.8652,-1.3097,242.5971,357.5510,179.9999,0.0037,357.5510,179.9999,0.0037
2.682,589.6389,-1.3561,242.1725,357.5510,179.9999,0.0037,357.5510,179.9999,0.0037
2.807,589.4230,-1.3844,241.5916,357.5510,179.9999,0.0037,357.5510,179.9999,0.0037
2.932,589.1771,-1.4042,240.8280,357.5510,179.9999,0.0037,357.5510,179.9999,0.0037
3.057,588.9682,-1.4168,240.1483,357.4684,179.9999,-0.0012,357.4684,179.9999,-0.0012
3.168,588.7604,-1.4285,239.4562,357.4684,179.9999,-0.0012,357.4684,179.9999,-0.0012
3.280,588.5828,-1.4425,238.9538,357.4684,179.9999,-0.0012,357.4684,179.9999,-0.0012
3.393,588.3580,-1.4704,238.5222,357.4684,179.9999,-0.0012,357.4684,179.9999,-0.0012
3.505,588.1598,-1.5039,238.3080,357.3865,179.9999,359.9914,357.3865,179.9999,359.9914
3.617,587.9150,-1.5549,238.1936,357.3865,179.9999,359.9914,357.3865,179.9999,359.9914
3.728,587.6686,-1.6150,238.1925,357.3059,179.9999,359.9808,357.3059,179.9999,359.9808
3.839,587.4634,-1.6701,238.2505,357.3059,179.9999,359.9808,357.3059,179.9999,359.9808
3.950,587.2180,-1.7402,238.3667,357.3059,179.9999,359.9808,357.3059,179.9999,359.9808
4.061,587.0140,-1.8009,238.4890,357.3059,179.9999,359.9808,357.3059,179.9999,359.9808
4.179,586.7698,-1.8754,238.6547,357.3059,179.9999,359.9808,357.3059,179.9999,359.9808
4.282,586.5665,-1.9385,238.8027,357.2261,180.0000,359.9605,357.2261,180.0000,359.9605
4.392,586.3229,-2.0149,238.9877,357.2262,180.0000,359.9605,357.2262,180.0000,359.9605
4.503,586.1209,-2.0757,239.0504,357.2262,180.0000,359.9605,357.2262,180.0000,359.9605
4.613,585.8909,-2.1323,238.8313,357.2262,180.0000,359.9605,357.2262,180.0000,359.9605
4.738,585.6724,-2.1725,238.3630,357.2262,180.0000,359.9605,357.2262,180.0000,359.9605
4.863,585.4600,-2.2026,237.7632,357.2262,179.9999,359.9605,357.2262,179.9999,359.9605
4.988,585.2153,-2.2316,236.9966,357.2262,180.0000,359.9605,357.2262,180.0000,359.9605
5.113,585.0067,-2.2539,236.3101,357.2262,180.0000,359.9605,357.2262,180.0000,359.9605
5.224,584.8318,-2.2724,235.7563,357.2262,180.0000,359.9605,357.2262,180.0000,359.9605
5.349,584.5745,-2.3080,235.1715,357.2262,179.9999,359.9605,357.2262,179.9999,359.9605
5.459,584.3790,-2.3432,234.9150,357.2262,179.9999,359.9605,357.2262,179.9999,359.9605
5.585,584.1352,-2.3949,234.7610,357.2262,179.9999,359.9605,357.2262,179.9999,359.9605
5.709,583.8474,-2.4647,234.7386,357.2262,179.9999,359.9605,357.2262,179.9999,359.9605
