time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.4180,4.8499,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.4180,4.8499,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.110,598.0446,4.5306,250.4748,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.220,597.4955,4.0666,250.4845,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.331,596.9623,3.6194,250.4916,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.431,596.3676,3.1227,250.4989,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.542,595.5862,2.4682,250.5670,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.651,594.8906,1.8789,250.7416,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.751,594.1620,1.2539,251.0551,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.860,593.2505,0.4615,251.6251,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.985,592.3043,-0.3721,252.4007,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.096,591.5058,-1.0829,253.1808,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.197,590.9024,-1.7266,253.8638,0.2510,3.8000,-0.4500,358.7151,179.9999,0.0090,0.0000,0.0000,0.0000
1.304,590.3981,-2.1637,254.5430,0.2510,3.8000,-0.4500,356.8347,179.9994,0.0223,0.0000,0.0000,0.0000
1.405,590.0822,-2.3053,255.0424,0.2510,3.8000,-0.4500,355.9151,179.9990,0.0282,0.0000,0.0000,0.0000
1.514,589.8202,-2.3231,255.5073,0.2510,3.8000,-0.4500,355.5916,179.9988,0.0293,0.0000,0.0000,0.0000
1.627,589.5466,-2.2790,256.0381,0.2510,3.8000,-0.4500,355.5916,179.9988,0.0293,0.0000,0.0000,0.0000
1.736,589.3380,-2.2470,256.4666,0.2510,3.8000,-0.4500,355.5916,179.9988,0.0293,0.0000,0.0000,0.0000
1.848,589.1007,-2.2527,256.9741,0.2510,3.8000,-0.4500,355.5916,179.9988,0.0293,0.0000,0.0000,0.0000
1.959,588.8717,-2.3160,257.4799,0.2510,3.8000,-0.4500,355.5916,179.9988,0.0293,0.0000,0.0000,0.0000
2.069,588.6844,-2.4048,257.9019,0.2510,3.8000,-0.4500,355.5916,179.9988,0.0293,0.0000,0.0000,0.0000
2.169,588.4992,-2.5140,258.3253,0.2510,3.8000,-0.4500,355.5916,179.9988,0.0293,0.0000,0.0000,0.0000
2.278,588.2784,-2.6557,258.8387,0.2510,3.8000,-0.4500,355.5916,179.9988,0.0293,0.0000,0.0000,0.0000
2.389,588.0953,-2.7722,259.2723,0.2510,3.8000,-0.4500,355.5916,179.9988,0.0293,0.0000,0.0000,0.0000
2.515,587.8762,-2.9022,259.7984,0.2510,3.8000,-0.4500,355.5916,179.9988,0.0293,0.0000,0.0000,0.0000
2.628,587.6555,-3.0175,260.3045,0.2510,3.8000,-0.4500,355.6620,179.9988,359.9878,0.0000,0.0000,0.0000
2.737,587.4677,-3.1016,260.6850,0.2510,3.8000,-0.4500,355.9552,179.9984,359.8231,0.0000,0.0000,0.0000
2.848,587.2397,-3.1900,261.0924,0.2510,3.8000,-0.4500,356.1842,179.9974,359.7086,0.0000,0.0000,0.0000
2.973,587.0047,-3.2676,261.3972,0.2510,3.8000,-0.4500,356.4068,179.9961,359.6002,0.0000,0.0000,0.0000
3.084,586.7675,-3.3310,261.4418,0.2510,3.8000,-0.4500,356.7098,179.9936,359.4547,0.0000,0.0000,0.0000
3.196,586.5755,-3.3746,261.2863,0.2510,3.8000,-0.4500,356.7098,179.9936,359.4547,0.0000,0.0000,0.0000
3.307,586.3517,-3.4199,260.9013,0.2510,3.8000,-0.4500,356.9323,179.9912,359.3340,0.0000,0.0000,0.0000
3.421,586.1358,-3.4590,260.3440,0.2510,3.8000,-0.4500,356.9323,179.9912,359.3340,0.0000,0.0000,0.0000
3.543,585.9232,-3.4957,259.6932,0.2510,3.8000,-0.4500,356.9977,179.9904,359.2870,0.0000,0.0000,0.0000
3.644,585.7473,-3.5257,259.1230,0.2510,3.8000,-0.4500,356.9977,179.9904,359.2870,0.0000,0.0000,0.0000
3.751,585.5710,-3.5563,258.5458,0.2510,3.8000,-0.4500,356.9977,179.9904,359.2870,0.0000,0.0000,0.0000
3.865,585.3591,-3.5945,257.8543,0.2510,3.8000,-0.4500,357.0561,179.9897,359.2306,0.0000,0.0000,0.0000
3.973,585.1826,-3.6268,257.2827,0.2510,3.8000,-0.4500,357.0561,179.9897,359.2306,0.0000,0.0000,0.0000
4.074,585.0057,-3.6598,256.7151,0.2510,3.8000,-0.4500,357.0561,179.9897,359.2306,0.0000,0.0000,0.0000
4.182,584.7930,-3.7001,256.0385,0.2510,3.8000,-0.4500,357.0562,179.9897,359.2306,0.0000,0.0000,0.0000
4.293,584.6157,-3.7339,255.4775,0.2510,3.8000,-0.4500,357.0562,179.9897,359.2306,0.0000,0.0000,0.0000
4.393,584.4382,-3.7679,254.9182,0.2510,3.8000,-0.4500,357.0562,179.9897,359.2306,0.0000,0.0000,0.0000
4.504,584.2251,-3.8084,254.2488,0.2510,3.8000,-0.4500,357.0562,179.9897,359.2306,0.0000,0.0000,0.0000
4.612,584.0475,-3.8417,253.6918,0.2510,3.8000,-0.4500,357.0562,179.9897,359.2306,0.0000,0.0000,0.0000
4.738,583.8344,-3.8808,253.0242,0.2510,3.8000,-0.4500,357.0562,179.9897,359.2306,0.0000,0.0000,0.0000
4.849,583.6213,-3.9187,252.3571,0.2510,3.8000,-0.4500,357.0562,179.9897,359.2306,0.0000,0.0000,0.0000
4.974,583.4088,-3.9549,251.6903,0.2510,3.8000,-0.4500,357.0562,179.9897,359.2306,0.0000,0.0000,0.0000
5.085,583.1965,-3.9892,251.0238,0.2510,3.8000,-0.4500,357.0562,179.9896,359.2306,0.0000,0.0000,0.0000
5.210,582.9844,-4.0213,250.3575,0.2510,3.8000,-0.4500,357.0562,179.9896,359.2307,0.0000,0.0000,0.0000
5.335,582.7728,-4.0509,249.6912,0.2510,3.8000,-0.4500,357.0562,179.9896,359.2307,0.0000,0.0000,0.0000
5.460,582.5265,-4.0819,248.9141,0.2510,3.8000,-0.4500,357.0562,179.9896,359.2307,0.0000,0.0000,0.0000
5.572,582.3509,-4.1016,248.3590,0.2510,3.8000,-0.4500,357.0562,179.9895,359.2307,0.0000,0.0000,0.0000
5.682,582.1406,-4.1222,247.6929,0.2510,3.8000,-0.4500,357.0562,179.9895,359.2307,0.0000,0.0000,0.0000
5.807,581.9311,-4.1368,247.0260,0.2510,3.8000,-0.4500,357.2014,179.9877,359.3152,0.0000,0.0000,0.0000
5.932,581.7213,-4.1490,246.3595,0.2510,3.8000,-0.4500,357.2691,179.9869,359.3596,0.0000,0.0000,0.0000
6.058,581.5126,-4.1558,245.6927,0.2510,3.8000,-0.4500,357.3933,179.9857,359.4672,0.0000,0.0000,0.0000
6.183,581.2703,-4.1574,244.9146,0.2510,3.8000,-0.4500,357.5660,179.9844,359.6560,0.0000,0.0000,0.0000
6.308,581.0635,-4.1537,244.2475,0.2510,3.8000,-0.4500,357.7167,179.9837,359.8531,0.0000,0.0000,0.0000
6.432,580.8571,-4.1474,243.5806,0.2510,3.8000,-0.4500,357.8109,179.9836,359.9852,0.0000,0.0000,0.0000
6.558,580.6179,-4.1316,242.8020,0.2510,3.8000,-0.4500,357.9924,179.9840,0.2706,0.0000,0.0000,0.0000
6.669,580.4472,-4.1182,242.2460,0.2510,3.8000,-0.4500,358.0774,179.9845,0.4102,0.0000,0.0000,0.0000
6.793,580.2435,-4.0969,241.5783,0.2510,3.8000,-0.4500,358.2071,179.9857,0.6260,0.0000,0.0000,0.0000
6.908,580.0406,-4.0741,240.8984,0.2510,3.8000,-0.4500,358.2517,179.9861,0.7001,0.0000,0.0000,0.0000
7.031,579.8384,-4.0420,240.2380,0.2510,3.8000,-0.4500,358.4290,179.9888,0.9934,0.0000,0.0000,0.0000
7.143,579.6246,-4.0094,239.7524,0.2510,3.8000,-0.4500,358.5654,179.9914,1.2050,0.0000,0.0000,0.0000
7.252,579.4365,-3.9796,239.5220,0.2510,3.8000,-0.4500,358.7032,179.9945,1.4060,0.0000,0.0000,0.0000
7.377,579.2094,-3.9389,239.4629,0.2510,3.8000,-0.4500,358.9226,180.0004,1.6596,0.0000,0.0000,0.0000
7.502,578.9505,-3.8807,239.6350,0.2510,3.8000,-0.4500,359.2221,180.0099,1.9557,0.0000,0.0000,0.0000
7.613,578.7702,-3.8286,239.8673,0.2510,3.8000,-0.4500,359.5124,180.0204,2.1831,0.0000,0.0000,0.0000
7.738,578.5248,-3.7376,240.2950,0.2510,3.8000,-0.4500,0.0395,180.0422,2.5533,0.0000,0.0000,0.0000
7.849,578.3531,-3.6606,240.6501,0.2510,3.8000,-0.4500,0.4022,180.0592,2.7847,0.0000,0.0000,0.0000
7.975,578.1503,-3.5556,241.1108,0.2510,3.8000,-0.4500,0.7561,180.0770,2.9987,0.0000,0.0000,0.0000
8.086,577.9513,-3.4338,241.5957,0.2510,3.8000,-0.4500,1.1930,180.1009,3.2535,0.0000,0.0000,0.0000
8.210,577.7551,-3.2988,242.0966,0.2510,3.8000,-0.4500,1.5494,180.1218,3.4585,0.0000,0.0000,0.0000
8.335,577.5616,-3.1499,242.6069,0.2510,3.8000,-0.4500,1.9188,180.1448,3.6695,0.0000,0.0000,0.0000
8.460,577.3389,-2.9617,243.2089,0.2510,3.8000,-0.4500,2.2781,180.1685,3.8745,0.0000,0.0000,0.0000
8.585,577.1498,-2.7901,243.7279,0.2510,3.8000,-0.4500,2.4985,180.1837,4.0003,0.0000,0.0000,0.0000
8.710,576.9626,-2.6090,244.2475,0.2510,3.8000,-0.4500,2.7210,180.1996,4.1274,0.0000,0.0000,0.0000
8.835,576.7770,-2.4201,244.7667,0.2510,3.8000,-0.4500,2.9402,180.2156,4.2527,0.0000,0.0000,0.0000
8.960,576.5621,-2.1926,245.3718,0.2510,3.8000,-0.4500,3.1541,180.2318,4.3746,0.0000,0.0000,0.0000
9.071,576.4087,-2.0278,245.7984,0.2510,3.8000,-0.4500,3.2241,180.2372,4.4143,0.0000,0.0000,0.0000
9.196,576.2219,-1.8299,246.2620,0.2510,3.8000,-0.4500,3.2942,180.2426,4.4537,0.0000,0.0000,0.0000
9.321,575.9973,-1.6043,246.7121,0.2510,3.8000,-0.4500,3.2942,180.2426,4.4536,0.0000,0.0000,0.0000
9.432,575.8318,-1.4476,246.9479,0.2510,3.8000,-0.4500,3.2942,180.2426,4.4536,0.0000,0.0000,0.0000
9.557,575.6351,-1.2797,246.9114,0.2510,3.8000,-0.4500,3.2942,180.2426,4.4536,0.0000,0.0000,0.0000
9.669,575.4464,-1.1385,246.5402,0.2510,3.8000,-0.4500,3.2942,180.2426,4.4536,0.0000,0.0000,0.0000
