time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.4220,4.4699,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.4220,4.4699,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.110,599.0486,4.1506,250.0248,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.220,598.4995,3.6866,250.0345,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.331,597.9664,3.2394,250.0416,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.431,597.3716,2.7427,250.0489,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.542,596.5902,2.0882,250.1170,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.651,595.8947,1.4989,250.2916,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.751,595.1660,0.8739,250.6051,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.860,594.2546,0.0815,251.1751,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.985,593.3083,-0.7521,251.9507,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.096,592.5098,-1.4629,252.7308,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.197,591.9064,-2.0966,253.4054,358.7151,179.9999,0.0090,358.7151,179.9999,0.0090
1.304,591.4019,-2.5186,254.0726,356.8347,179.9994,0.0223,356.8347,179.9994,0.0223
1.405,591.0861,-2.6528,254.5665,355.9151,179.9990,0.0282,355.9151,179.9990,0.0282
1.514,590.8240,-2.6679,255.0294,355.5916,179.9988,0.0293,355.5916,179.9988,0.0293
1.627,590.5505,-2.6238,255.5602,355.5916,179.9988,0.0293,355.5916,179.9988,0.0293
1.736,590.3418,-2.5918,255.9887,355.5916,179.9988,0.0293,355.5916,179.9988,0.0293
1.848,590.1046,-2.5975,256.4962,355.5916,179.9988,0.0293,355.5916,179.9988,0.0293
1.959,589.8755,-2.6608,257.0020,355.5916,179.9988,0.0293,355.5916,179.9988,0.0293
2.069,589.6883,-2.7496,257.4240,355.5916,179.9988,0.0293,355.5916,179.9988,0.0293
2.169,589.5031,-2.8588,257.8474,355.5916,179.9988,0.0293,355.5916,179.9988,0.0293
2.278,589.2823,-3.0005,258.3608,355.5916,179.9988,0.0293,355.5916,179.9988,0.0293
2.389,589.0992,-3.1170,258.7944,355.5916,179.9988,0.0293,355.5916,179.9988,0.0293
2.515,588.8801,-3.2470,259.3205,355.5916,179.9988,0.0293,355.5916,179.9988,0.0293
2.628,588.6595,-3.3621,259.8271,355.6620,179.9988,359.9878,355.6620,179.9988,359.9878
2.737,588.4729,-3.4458,260.2095,355.9552,179.9984,359.8231,355.9552,179.9984,359.8231
2.848,588.2456,-3.5341,260.6185,356.1842,179.9974,359.7086,356.1842,179.9974,359.7086
2.973,588.0114,-3.6117,260.9248,356.4068,179.9961,359.6002,356.4068,179.9961,359.6002
3.084,587.7751,-3.6750,260.9714,356.7098,179.9936,359.4547,356.7098,179.9936,359.4547
3.196,587.5831,-3.7186,260.8159,356.7098,179.9936,359.4547,356.7098,179.9936,359.4547
3.307,587.3601,-3.7636,260.4324,356.9323,179.9912,359.3340,356.9323,179.9912,359.3340
3.421,587.1442,-3.8027,259.8751,356.9323,179.9912,359.3340,356.9323,179.9912,359.3340
3.543,586.9319,-3.8391,259.2247,356.9977,179.9904,359.2870,356.9977,179.9904,359.2870
3.644,586.7560,-3.8691,258.6545,356.9977,179.9904,359.2870,356.9977,179.9904,359.2870
3.751,586.5798,-3.8997,258.0773,356.9977,179.9904,359.2870,356.9977,179.9904,359.2870
3.865,586.3682,-3.9374,257.3862,357.0561,179.9897,359.2306,357.0561,179.9897,359.2306
3.973,586.1917,-3.9697,256.8146,357.0561,179.9897,359.2306,357.0561,179.9897,359.2306
4.074,586.0148,-4.0027,256.2471,357.0561,179.9897,359.2306,357.0561,179.9897,359.2306
4.182,585.8021,-4.0429,255.5705,357.0562,179.9897,359.2306,357.0562,179.9897,359.2306
4.293,585.6248,-4.0768,255.0095,357.0562,179.9897,359.2306,357.0562,179.9897,359.2306
4.393,585.4473,-4.1108,254.4502,357.0562,179.9897,359.2306,357.0562,179.9897,359.2306
4.504,585.2342,-4.1513,253.7807,357.0562,179.9897,359.2306,357.0562,179.9897,359.2306
4.612,585.0566,-4.1846,253.2238,357.0562,179.9897,359.2306,357.0562,179.9897,359.2306
4.738,584.8435,-4.2237,252.5562,357.0562,179.9897,359.2306,357.0562,179.9897,359.2306
4.849,584.6304,-4.2616,251.8891,357.0562,179.9897,359.2306,357.0562,179.9897,359.2306
4.974,584.4178,-4.2978,251.2223,357.0562,179.9897,359.2306,357.0562,179.9897,359.2306
5.085,584.2056,-4.3321,250.5558,357.0562,179.9896,359.2306,357.0562,179.9896,359.2306
5.210,583.9935,-4.3642,249.8894,357.0562,179.9896,359.2307,357.0562,179.9896,359.2307
5.335,583.7819,-4.3938,249.2232,357.0562,179.9896,359.2307,357.0562,179.9896,359.2307
5.460,583.5356,-4.4248,248.4460,357.0562,179.9896,359.2307,357.0562,179.9896,359.2307
5.572,583.3600,-4.4445,247.8909,357.0562,179.9895,359.2307,357.0562,179.9895,359.2307
5.682,583.1497,-4.4651,247.2249,357.0562,179.9895,359.2307,357.0562,179.9895,359.2307
5.807,582.9396,-4.4823,246.5588,357.2014,179.9877,359.3152,357.2014,179.9877,359.3152
5.932,582.7296,-4.4959,245.8927,357.2691,179.9869,359.3596,357.2691,179.9869,359.3596
6.058,582.5203,-4.5056,245.2266,357.3933,179.9857,359.4672,357.3933,179.9857,359.4672
6.183,582.2767,-4.5120,244.4494,357.5660,179.9844,359.6560,357.5660,179.9844,359.6560
6.308,582.0687,-4.5129,243.7831,357.7167,179.9837,359.8531,357.7167,179.9837,359.8531
6.432,581.8613,-4.5097,243.1167,357.8109,179.9836,359.9852,357.8109,179.9836,359.9852
