time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.107,599.6597,4.6766,250.0081,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.208,599.3533,4.4113,250.0122,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.320,598.8761,4.0053,250.0167,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.429,598.2924,3.5139,250.0207,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.541,597.7335,3.0463,250.0236,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.666,596.9851,2.4230,250.0268,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.777,596.1611,1.7391,250.0296,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.890,595.2702,1.0016,250.0321,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.001,594.4822,0.3505,250.0339,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.111,593.4879,-0.4699,250.0359,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.236,592.4461,-1.3284,250.0377,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.347,591.5456,-2.0697,250.0390,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.458,590.5160,-2.9395,250.0405,359.4229,180.0000,0.0017,359.4229,180.0000,0.0017
1.583,589.8201,-3.5808,250.0522,355.4902,179.9995,0.0113,355.4902,179.9995,0.0113
1.708,589.2689,-3.9332,250.1927,352.3249,179.9988,0.0124,352.3249,179.9988,0.0124
1.820,588.9717,-4.0293,250.4123,351.2357,179.9986,0.0058,351.2357,179.9986,0.0058
1.920,588.7205,-4.0763,250.7127,350.6822,179.9986,359.9938,350.6822,179.9986,359.9938
2.028,588.4972,-4.1262,251.0708,350.6822,179.9986,359.9938,350.6822,179.9986,359.9938
2.139,588.2510,-4.2332,251.5476,350.6822,179.9986,359.9938,350.6822,179.9986,359.9938
2.250,588.0186,-4.4067,252.0526,350.6822,179.9986,359.9938,350.6822,179.9986,359.9938
2.362,587.8306,-4.5969,252.4848,350.6822,179.9986,359.9938,350.6822,179.9986,359.9938
2.487,587.6090,-4.8618,253.0116,350.6822,179.9986,359.9938,350.6822,179.9986,359.9938
2.587,587.4261,-5.0974,253.4556,350.6822,179.9986,359.9938,350.6822,179.9986,359.9938
2.695,587.2079,-5.3827,253.9932,350.6822,179.9986,359.9938,350.6822,179.9986,359.9938
2.821,586.9900,-5.6588,254.5355,350.6822,179.9986,359.9938,350.6822,179.9986,359.9938
2.931,586.7722,-5.9209,255.0816,350.8388,179.9982,359.7824,350.8388,179.9982,359.7824
3.056,586.5554,-6.1681,255.6315,351.2038,179.9956,359.4088,351.2038,179.9956,359.4088
3.181,586.3393,-6.4028,256.1841,351.4841,179.9921,359.2074,351.4841,179.9921,359.2074
3.295,586.1232,-6.6268,256.7388,351.9541,179.9844,358.9257,351.9541,179.9844,358.9257
3.403,585.9432,-6.8071,257.2024,352.3565,179.9760,358.7116,352.3565,179.9760,358.7116
3.517,585.7272,-7.0159,257.7600,352.8570,179.9635,358.4643,352.8570,179.9635,358.4643
3.640,585.5110,-7.2168,258.3188,353.3853,179.9481,358.2159,353.3853,179.9481,358.2159
3.751,585.2946,-7.4083,258.8785,353.9458,179.9293,357.9620,353.9458,179.9293,357.9620
3.862,585.1138,-7.5602,259.3456,354.4373,179.9108,357.7470,354.4373,179.9108,357.7470
3.987,584.8963,-7.7318,259.9069,355.0551,179.8850,357.4879,355.0551,179.8850,357.4879
4.099,584.6781,-7.8903,260.4689,355.7006,179.8551,357.2325,355.7006,179.8551,357.2325
4.223,584.4591,-8.0349,261.0311,356.3710,179.8211,356.9879,356.3710,179.8211,356.9879
4.348,584.2387,-8.1640,261.5933,357.0630,179.7833,356.7638,357.0630,179.7833,356.7638
4.448,584.0543,-8.2592,262.0615,357.6537,179.7490,356.6004,357.6537,179.7490,356.6004
4.559,583.8316,-8.3571,262.6227,358.3766,179.7049,356.4403,358.3766,179.7049,356.4403
4.668,583.6451,-8.4247,263.0893,358.9880,179.6663,356.3412,358.9880,179.6663,356.3412
4.781,583.4199,-8.4876,263.6476,359.7295,179.6184,356.2676,359.7295,179.6184,356.2676
4.889,583.1932,-8.5301,264.2033,0.4749,179.5695,356.2462,0.4749,179.5695,356.2462
5.014,582.9651,-8.5511,264.7558,1.2201,179.5208,356.2790,1.2201,179.5208,356.2790
5.114,582.7743,-8.5515,265.2132,1.8370,179.4810,356.3485,1.8370,179.4810,356.3485
5.237,582.5440,-8.5311,265.7579,2.5682,179.4351,356.4825,2.5682,179.4351,356.4825
5.362,582.3130,-8.4876,266.2974,3.2843,179.3922,356.6708,3.2843,179.3922,356.6708
5.462,582.1204,-8.4333,266.7425,3.8655,179.3592,356.8680,3.8655,179.3592,356.8680
5.572,581.8892,-8.3468,267.2709,4.5396,179.3239,357.1506,4.5396,179.3239,357.1506
