time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.123,598.6015,5.0092,250.4589,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.223,598.2777,4.7300,250.4630,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.333,597.8721,4.3853,250.4667,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.458,597.1816,3.8045,250.4713,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.570,596.6104,3.3270,250.4742,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.695,595.8488,2.6930,250.4773,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.806,595.0130,1.9998,250.4800,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.931,594.1118,1.2539,250.4825,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.056,593.1525,0.4616,250.4857,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.156,592.3172,-0.2305,250.5286,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.265,591.2839,-1.0948,250.7079,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.390,590.2246,-1.9923,251.0684,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.490,589.4085,-2.7321,251.4775,0.2510,3.8000,-0.4500,359.4164,180.0000,0.0019,0.0000,0.0000,0.0000
1.599,588.7474,-3.4854,251.9610,0.2510,3.8000,-0.4500,355.4345,179.9995,0.0130,0.0000,0.0000,0.0000
1.710,588.3574,-3.8511,252.3531,0.2510,3.8000,-0.4500,352.9083,179.9988,0.0153,0.0000,0.0000,0.0000
1.835,587.9958,-4.0671,252.8213,0.2510,3.8000,-0.4500,351.2979,179.9984,0.0069,0.0000,0.0000,0.0000
1.960,587.6526,-4.1732,253.3649,0.2510,3.8000,-0.4500,350.6772,179.9984,359.9915,0.0000,0.0000,0.0000
2.072,587.4350,-4.2352,253.7479,0.2510,3.8000,-0.4500,350.6772,179.9984,359.9915,0.0000,0.0000,0.0000
2.197,587.1898,-4.3476,254.1991,0.2510,3.8000,-0.4500,350.6772,179.9984,359.9915,0.0000,0.0000,0.0000
