time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.107,598.6557,5.0566,250.4581,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.208,598.3493,4.7913,250.4622,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.320,597.8721,4.3853,250.4667,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.429,597.3925,3.9813,250.4700,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.555,596.6104,3.3270,250.4742,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.666,595.9811,2.8030,250.4768,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.777,595.1570,2.1191,250.4796,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.902,594.2662,1.3816,250.4821,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.013,593.4781,0.7305,250.4840,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.138,592.3135,-0.2305,250.4887,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.264,591.5180,-0.9040,250.4990,0.2510,3.8000,-0.4500,359.4536,180.0000,0.0022,0.0000,0.0000,0.0000
1.375,590.9741,-1.2645,250.5211,0.2510,3.8000,-0.4500,358.1634,179.9999,0.0073,0.0000,0.0000,0.0000
1.486,590.6263,-1.3568,250.5434,0.2510,3.8000,-0.4500,357.4838,179.9998,0.0098,0.0000,0.0000,0.0000
1.611,590.2786,-1.3143,250.5716,0.2510,3.8000,-0.4500,357.3070,179.9997,0.0104,0.0000,0.0000,0.0000
1.736,589.9245,-1.1925,250.6054,0.2510,3.8000,-0.4500,357.3070,179.9997,0.0104,0.0000,0.0000,0.0000
1.847,589.6896,-1.1196,250.6283,0.2510,3.8000,-0.4500,357.3070,179.9997,0.0104,0.0000,0.0000,0.0000
1.972,589.4180,-1.0790,250.6530,0.2510,3.8000,-0.4500,357.3070,179.9997,0.0104,0.0000,0.0000,0.0000
2.083,589.1527,-1.0930,250.6744,0.2510,3.8000,-0.4500,357.3070,179.9997,0.0104,0.0000,0.0000,0.0000
2.195,588.8907,-1.1483,250.6935,0.2510,3.8000,-0.4500,357.3070,179.9997,0.0104,0.0000,0.0000,0.0000
