time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.107,599.6597,4.6766,250.0081,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.208,599.3533,4.4113,250.0122,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.320,598.8761,4.0053,250.0167,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.429,598.3965,3.6013,250.0200,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.555,597.6144,2.9470,250.0242,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.666,596.9851,2.4230,250.0268,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.777,596.1611,1.7391,250.0296,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.902,595.2702,1.0016,250.0321,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.013,594.4822,0.3505,250.0340,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.138,593.3176,-0.6105,250.0387,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.264,592.5220,-1.2797,250.0454,359.4536,180.0000,0.0022,359.4536,180.0000,0.0022
1.375,591.9781,-1.6301,250.0592,358.1634,179.9999,0.0073,358.1634,179.9999,0.0073
1.486,591.6302,-1.7169,250.0772,357.4838,179.9998,0.0098,357.4838,179.9998,0.0098
1.611,591.2825,-1.6730,250.1042,357.3070,179.9997,0.0104,357.3070,179.9997,0.0104
1.736,590.9284,-1.5511,250.1381,357.3070,179.9997,0.0104,357.3070,179.9997,0.0104
1.847,590.6935,-1.4782,250.1610,357.3070,179.9997,0.0104,357.3070,179.9997,0.0104
1.972,590.4219,-1.4376,250.1857,357.3070,179.9997,0.0104,357.3070,179.9997,0.0104
2.083,590.1566,-1.4516,250.2071,357.3070,179.9997,0.0104,357.3070,179.9997,0.0104
2.195,589.8946,-1.5069,250.2261,357.3070,179.9997,0.0104,357.3070,179.9997,0.0104
2.306,589.6777,-1.5711,250.2410,357.3070,179.9997,0.0104,357.3070,179.9997,0.0104
2.430,589.4183,-1.6550,250.2583,357.3070,179.9997,0.0104,357.3070,179.9997,0.0104
2.556,589.1171,-1.7490,250.2874,357.3070,179.9997,0.0104,357.3070,179.9997,0.0104
2.667,588.9078,-1.8118,250.3725,357.3070,179.9998,0.0104,357.3070,179.9998,0.0104
2.792,588.6663,-1.8856,250.5924,357.3070,179.9997,0.0104,357.3070,179.9997,0.0104
2.917,588.3956,-1.9721,250.9939,357.3070,179.9998,0.0104,357.3070,179.9998,0.0104
3.028,588.2072,-2.0352,251.3490,357.3070,179.9998,0.0104,357.3070,179.9998,0.0104
3.153,587.9847,-2.1126,251.8250,357.3070,179.9997,0.0104,357.3070,179.9997,0.0104
3.264,587.7646,-2.1919,252.3363,357.3070,179.9998,0.0104,357.3070,179.9998,0.0104
3.375,587.5458,-2.2722,252.8692,357.3070,179.9998,0.0104,357.3070,179.9998,0.0104
3.504,587.3278,-2.3526,253.4149,357.3070,179.9998,0.0104,357.3070,179.9998,0.0104
3.611,587.1463,-2.4187,253.8755,357.3070,179.9998,0.0104,357.3070,179.9998,0.0104
3.737,586.8925,-2.5088,254.5255,357.3070,179.9998,0.0104,357.3070,179.9998,0.0104
3.850,586.7110,-2.5707,254.9917,357.3070,179.9998,0.0104,357.3070,179.9998,0.0104
3.961,586.4932,-2.6419,255.5513,357.4565,179.9995,359.8151,357.4565,179.9995,359.8151
4.070,586.3116,-2.6983,256.0156,357.5159,179.9993,359.7565,357.5159,179.9993,359.7565
4.195,586.0566,-2.7724,256.6614,357.7665,179.9978,359.5393,357.7665,179.9978,359.5393
4.306,585.8743,-2.8219,257.1203,357.8311,179.9972,359.4917,357.8311,179.9972,359.4917
4.431,585.6551,-2.8769,257.6686,358.0395,179.9951,359.3607,358.0395,179.9951,359.3607
4.556,585.3989,-2.9351,258.3060,358.4233,179.9902,359.1716,358.4233,179.9902,359.1716
4.656,585.2158,-2.9723,258.7603,358.4233,179.9902,359.1716,358.4233,179.9902,359.1716
4.778,584.9957,-3.0117,259.3044,358.8284,179.9838,359.0346,358.8284,179.9838,359.0346
4.903,584.7751,-3.0449,259.8475,358.9099,179.9825,359.0157,358.9099,179.9825,359.0157
5.028,584.5546,-3.0716,260.3897,359.2375,179.9767,358.9490,359.2375,179.9767,358.9490
5.153,584.3341,-3.0912,260.9312,359.3976,179.9737,358.9310,359.3976,179.9737,358.9310
5.264,584.1136,-3.1035,261.4717,359.6444,179.9690,358.9162,359.6444,179.9690,358.9162
5.376,583.8929,-3.1080,262.0113,359.8908,179.9644,358.9193,359.8908,179.9644,358.9193
5.489,583.7091,-3.1056,262.4601,0.2173,179.9583,358.9495,0.2173,179.9583,358.9495
5.597,583.4886,-3.0953,262.9978,0.4630,179.9539,358.9936,0.4630,179.9539,358.9936
5.724,583.2684,-3.0767,263.5342,0.5432,179.9525,359.0099,0.5432,179.9525,359.0099
