time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.4180,4.8499,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.4180,4.8499,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.121,597.9604,4.4592,250.4765,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.234,597.3941,3.9813,250.4859,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.359,596.7314,3.4263,250.4942,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.484,595.9835,2.8030,250.4998,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.609,595.1601,2.1191,250.5014,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.735,594.1162,1.2539,250.4976,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.846,593.3219,0.5966,250.4901,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.971,592.3213,-0.2305,250.4751,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.071,591.4937,-0.9141,250.4585,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.182,590.7891,-1.5307,250.4538,0.2510,3.8000,-0.4500,358.1395,179.9999,0.0071,0.0000,0.0000,0.0000
1.306,590.2946,-1.8197,250.4552,0.2510,3.8000,-0.4500,356.5598,179.9996,0.0127,0.0000,0.0000,0.0000
1.415,589.9116,-1.8734,250.4591,0.2510,3.8000,-0.4500,355.7508,179.9994,0.0145,0.0000,0.0000,0.0000
1.540,589.5882,-1.8093,250.4606,0.2510,3.8000,-0.4500,355.6675,179.9994,0.0145,0.0000,0.0000,0.0000
1.652,589.3436,-1.7391,250.4592,0.2510,3.8000,-0.4500,355.6675,179.9994,0.0145,0.0000,0.0000,0.0000
1.777,589.0217,-1.6827,250.4498,0.2510,3.8000,-0.4500,355.6674,179.9994,0.0145,0.0000,0.0000,0.0000
1.888,588.8003,-1.6885,250.4312,0.2510,3.8000,-0.4500,355.6674,179.9994,0.0145,0.0000,0.0000,0.0000
2.013,588.5408,-1.7418,250.3882,0.2510,3.8000,-0.4500,355.6674,179.9994,0.0145,0.0000,0.0000,0.0000
2.138,588.2432,-1.8460,250.3136,0.2510,3.8000,-0.4500,355.6674,179.9994,0.0145,0.0000,0.0000,0.0000
2.264,587.9896,-1.9511,250.2492,0.2510,3.8000,-0.4500,355.6674,179.9994,0.0145,0.0000,0.0000,0.0000
2.375,587.7346,-2.0580,250.2052,0.2510,3.8000,-0.4500,355.6674,179.9994,0.0145,0.0000,0.0000,0.0000
2.486,587.5209,-2.1431,250.1852,0.2510,3.8000,-0.4500,355.6674,179.9994,0.0145,0.0000,0.0000,0.0000
2.612,587.2632,-2.2387,250.1781,0.2510,3.8000,-0.4500,355.6674,179.9994,0.0145,0.0000,0.0000,0.0000
2.737,586.9620,-2.3426,250.1873,0.2510,3.8000,-0.4500,355.6674,179.9994,0.0145,0.0000,0.0000,0.0000
2.849,586.7469,-2.4139,250.2009,0.2510,3.8000,-0.4500,355.6674,179.9994,0.0145,0.0000,0.0000,0.0000
2.961,586.4899,-2.4972,250.1967,0.2510,3.8000,-0.4500,355.6674,179.9994,0.0145,0.0000,0.0000,0.0000
3.070,586.2786,-2.5641,250.1551,0.2510,3.8000,-0.4500,355.6674,179.9994,0.0145,0.0000,0.0000,0.0000
3.195,585.9875,-2.6548,250.0353,0.2510,3.8000,-0.4500,355.6674,179.9994,0.0145,0.0000,0.0000,0.0000
3.321,585.7452,-2.7278,249.8413,0.2510,3.8000,-0.4500,355.6674,179.9994,0.0145,0.0000,0.0000,0.0000
3.435,585.5112,-2.7934,249.5339,0.2510,3.8000,-0.4500,355.6674,179.9994,0.0145,0.0000,0.0000,0.0000
3.545,585.3212,-2.8429,249.2056,0.2510,3.8000,-0.4500,355.6674,179.9994,0.0145,0.0000,0.0000,0.0000
3.668,585.0976,-2.8974,248.7492,0.2510,3.8000,-0.4500,355.6674,179.9994,0.0145,0.0000,0.0000,0.0000
3.779,584.8752,-2.9499,248.2738,0.2510,3.8000,-0.4500,355.6674,179.9994,0.0145,0.0000,0.0000,0.0000
3.904,584.6512,-3.0040,247.8210,0.2510,3.8000,-0.4500,355.6674,179.9993,0.0145,0.0000,0.0000,0.0000
4.015,584.4250,-3.0609,247.4006,0.2510,3.8000,-0.4500,355.6674,179.9993,0.0145,0.0000,0.0000,0.0000
4.126,584.2336,-3.1115,247.0886,0.2510,3.8000,-0.4500,355.6674,179.9993,0.0145,0.0000,0.0000,0.0000
4.251,583.9984,-3.1779,246.7858,0.2510,3.8000,-0.4500,355.6674,179.9993,0.0145,0.0000,0.0000,0.0000
4.362,583.7574,-3.2504,246.5556,0.2510,3.8000,-0.4500,355.6674,179.9993,0.0145,0.0000,0.0000,0.0000
4.487,583.5111,-3.3288,246.3830,0.2510,3.8000,-0.4500,355.6612,179.9993,359.9346,0.0000,0.0000,0.0000
4.611,583.2614,-3.4088,246.2569,0.2510,3.8000,-0.4500,355.6612,179.9993,359.9346,0.0000,0.0000,0.0000
4.724,583.0090,-3.4900,246.1642,0.2510,3.8000,-0.4500,355.6612,179.9993,359.9346,0.0000,0.0000,0.0000
4.834,582.7966,-3.5577,246.1075,0.2510,3.8000,-0.4500,355.6612,179.9993,359.9346,0.0000,0.0000,0.0000
4.945,582.5397,-3.6381,246.0628,0.2510,3.8000,-0.4500,355.6612,179.9993,359.9346,0.0000,0.0000,0.0000
5.070,582.2807,-3.7172,246.0376,0.2510,3.8000,-0.4500,355.7108,179.9993,359.8713,0.0000,0.0000,0.0000
5.195,581.9776,-3.8047,246.0252,0.2510,3.8000,-0.4500,355.7108,179.9993,359.8713,0.0000,0.0000,0.0000
5.308,581.7601,-3.8644,246.0231,0.2510,3.8000,-0.4500,355.9214,179.9985,359.7351,0.0000,0.0000,0.0000
5.419,581.5003,-3.9308,246.0295,0.2510,3.8000,-0.4500,355.9214,179.9985,359.7351,0.0000,0.0000,0.0000
5.528,581.2838,-3.9809,246.0369,0.2510,3.8000,-0.4500,356.1656,179.9973,359.6804,0.0000,0.0000,0.0000
5.653,581.0247,-4.0336,246.0484,0.2510,3.8000,-0.4500,356.4983,179.9954,359.6829,0.0000,0.0000,0.0000
5.754,580.8088,-4.0746,246.0611,0.2510,3.8000,-0.4500,356.4983,179.9954,359.6829,0.0000,0.0000,0.0000
5.864,580.5508,-4.1116,246.0741,0.2510,3.8000,-0.4500,356.9204,179.9934,359.7858,0.0000,0.0000,0.0000
5.987,580.2932,-4.1422,246.0877,0.2510,3.8000,-0.4500,357.1683,179.9927,359.8843,0.0000,0.0000,0.0000
6.112,580.0358,-4.1642,246.0999,0.2510,3.8000,-0.4500,357.4070,179.9924,359.9899,0.0000,0.0000,0.0000
6.237,579.7372,-4.1749,246.1116,0.2510,3.8000,-0.4500,357.8594,179.9933,0.2367,0.0000,0.0000,0.0000
6.349,579.5243,-4.1763,246.1208,0.2510,3.8000,-0.4500,358.0817,179.9945,0.3751,0.0000,0.0000,0.0000
6.461,579.2701,-4.1673,246.1329,0.2510,3.8000,-0.4500,358.4386,179.9976,0.6078,0.0000,0.0000,0.0000
6.570,579.0593,-4.1526,246.1454,0.2510,3.8000,-0.4500,358.7104,180.0009,0.7966,0.0000,0.0000,0.0000
6.695,578.7659,-4.1207,246.1673,0.2510,3.8000,-0.4500,359.0552,180.0064,1.0451,0.0000,0.0000,0.0000
6.796,578.5574,-4.0902,246.1773,0.2510,3.8000,-0.4500,359.2588,180.0104,1.1949,0.0000,0.0000,0.0000
6.904,578.3510,-4.0496,246.1703,0.2510,3.8000,-0.4500,359.5985,180.0182,1.4510,0.0000,0.0000,0.0000
7.004,578.1451,-4.0049,246.1524,0.2510,3.8000,-0.4500,359.7997,180.0236,1.6061,0.0000,0.0000,0.0000
7.126,577.9002,-3.9417,246.1183,0.2510,3.8000,-0.4500,0.0695,180.0317,1.8172,0.0000,0.0000,0.0000
7.251,577.6582,-3.8661,246.0721,0.2510,3.8000,-0.4500,0.4677,180.0454,2.1364,0.0000,0.0000,0.0000
7.364,577.4166,-3.7870,246.0175,0.2510,3.8000,-0.4500,0.5993,180.0505,2.2436,0.0000,0.0000,0.0000
7.475,577.1792,-3.6928,245.9523,0.2510,3.8000,-0.4500,1.0166,180.0681,2.5876,0.0000,0.0000,0.0000
7.584,576.9818,-3.6126,245.8925,0.2510,3.8000,-0.4500,1.1457,180.0740,2.6949,0.0000,0.0000,0.0000
7.698,576.7480,-3.5051,245.8121,0.2510,3.8000,-0.4500,1.4718,180.0901,2.9674,0.0000,0.0000,0.0000
7.806,576.5541,-3.4114,245.7392,0.2510,3.8000,-0.4500,1.6643,180.1004,3.1290,0.0000,0.0000,0.0000
7.931,576.3234,-3.2932,245.6449,0.2510,3.8000,-0.4500,1.8589,180.1113,3.2925,0.0000,0.0000,0.0000
8.056,576.0569,-3.1461,245.5257,0.2510,3.8000,-0.4500,2.1160,180.1266,3.5081,0.0000,0.0000,0.0000
8.181,575.8306,-3.0126,245.4160,0.2510,3.8000,-0.4500,2.3751,180.1430,3.7238,0.0000,0.0000,0.0000
8.281,575.6424,-2.9005,245.3210,0.2510,3.8000,-0.4500,2.4391,180.1472,3.7765,0.0000,0.0000,0.0000
8.391,575.4559,-2.7834,245.2216,0.2510,3.8000,-0.4500,2.5685,180.1559,3.8828,0.0000,0.0000,0.0000
8.501,575.2336,-2.6380,245.0973,0.2510,3.8000,-0.4500,2.7627,180.1693,4.0392,0.0000,0.0000,0.0000
8.626,575.0118,-2.4914,244.9688,0.2510,3.8000,-0.4500,2.8268,180.1739,4.0903,0.0000,0.0000,0.0000
8.751,574.7918,-2.3402,244.8354,0.2510,3.8000,-0.4500,2.9575,180.1833,4.1916,0.0000,0.0000,0.0000
8.876,574.5366,-2.1596,244.6746,0.2510,3.8000,-0.4500,3.1562,180.1982,4.3376,0.0000,0.0000,0.0000
9.001,574.3181,-2.0049,244.5333,0.2510,3.8000,-0.4500,3.2198,180.2030,4.3829,0.0000,0.0000,0.0000
9.126,574.0998,-1.8502,244.3896,0.2510,3.8000,-0.4500,3.2198,180.2030,4.3829,0.0000,0.0000,0.0000
9.250,573.8821,-1.6936,244.2438,0.2510,3.8000,-0.4500,3.2889,180.2084,4.4233,0.0000,0.0000,0.0000
9.363,573.6642,-1.5382,244.0972,0.2510,3.8000,-0.4500,3.2889,180.2084,4.4233,0.0000,0.0000,0.0000
9.475,573.4464,-1.3835,243.9498,0.2510,3.8000,-0.4500,3.2889,180.2084,4.4233,0.0000,0.0000,0.0000
9.584,573.2646,-1.2555,243.8267,0.2510,3.8000,-0.4500,3.2889,180.2084,4.4233,0.0000,0.0000,0.0000
9.709,573.0464,-1.1036,243.6790,0.2510,3.8000,-0.4500,3.2889,180.2084,4.4233,0.0000,0.0000,0.0000
9.822,572.8276,-0.9543,243.5315,0.2510,3.8000,-0.4500,3.2889,180.2084,4.4233,0.0000,0.0000,0.0000
