time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.4220,4.4699,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.4220,4.4699,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.121,598.9644,4.0792,250.0265,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.234,598.3981,3.6013,250.0359,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.359,597.7355,3.0463,250.0442,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.484,596.9875,2.4230,250.0498,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.609,596.1641,1.7391,250.0514,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.735,595.1202,0.8739,250.0476,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.846,594.3259,0.2166,250.0401,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.971,593.3253,-0.6105,250.0251,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.071,592.4977,-1.2941,250.0085,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.182,591.7931,-1.8960,249.9917,358.1395,179.9999,0.0071,358.1395,179.9999,0.0071
1.306,591.2985,-2.1722,249.9832,356.5598,179.9996,0.0127,356.5598,179.9996,0.0127
1.415,590.9155,-2.2193,249.9821,355.7508,179.9994,0.0145,355.7508,179.9994,0.0145
1.540,590.5921,-2.1545,249.9832,355.6675,179.9994,0.0145,355.6675,179.9994,0.0145
1.652,590.3475,-2.0843,249.9818,355.6675,179.9994,0.0145,355.6675,179.9994,0.0145
1.777,590.0256,-2.0278,249.9724,355.6674,179.9994,0.0145,355.6674,179.9994,0.0145
1.888,589.8042,-2.0337,249.9538,355.6674,179.9994,0.0145,355.6674,179.9994,0.0145
2.013,589.5447,-2.0869,249.9108,355.6674,179.9994,0.0145,355.6674,179.9994,0.0145
2.138,589.2471,-2.1911,249.8361,355.6674,179.9994,0.0145,355.6674,179.9994,0.0145
2.264,588.9935,-2.2963,249.7718,355.6674,179.9994,0.0145,355.6674,179.9994,0.0145
2.375,588.7385,-2.4031,249.7278,355.6674,179.9994,0.0145,355.6674,179.9994,0.0145
2.486,588.5248,-2.4883,249.7078,355.6674,179.9994,0.0145,355.6674,179.9994,0.0145
2.612,588.2672,-2.5839,249.7007,355.6674,179.9994,0.0145,355.6674,179.9994,0.0145
2.737,587.9659,-2.6878,249.7099,355.6674,179.9994,0.0145,355.6674,179.9994,0.0145
2.849,587.7508,-2.7591,249.7235,355.6674,179.9994,0.0145,355.6674,179.9994,0.0145
2.961,587.4938,-2.8424,249.7193,355.6674,179.9994,0.0145,355.6674,179.9994,0.0145
3.070,587.2825,-2.9093,249.6776,355.6674,179.9994,0.0145,355.6674,179.9994,0.0145
3.195,586.9915,-2.9999,249.5579,355.6674,179.9994,0.0145,355.6674,179.9994,0.0145
3.321,586.7491,-3.0730,249.3639,355.6674,179.9994,0.0145,355.6674,179.9994,0.0145
3.435,586.5151,-3.1386,249.0564,355.6674,179.9994,0.0145,355.6674,179.9994,0.0145
3.545,586.3251,-3.1881,248.7281,355.6674,179.9994,0.0145,355.6674,179.9994,0.0145
3.668,586.1015,-3.2426,248.2718,355.6674,179.9994,0.0145,355.6674,179.9994,0.0145
3.779,585.8791,-3.2951,247.7964,355.6674,179.9994,0.0145,355.6674,179.9994,0.0145
3.904,585.6552,-3.3491,247.3436,355.6674,179.9993,0.0145,355.6674,179.9993,0.0145
4.015,585.4290,-3.4061,246.9232,355.6674,179.9993,0.0145,355.6674,179.9993,0.0145
4.126,585.2375,-3.4566,246.6112,355.6674,179.9993,0.0145,355.6674,179.9993,0.0145
4.251,585.0023,-3.5231,246.3084,355.6674,179.9993,0.0145,355.6674,179.9993,0.0145
4.362,584.7613,-3.5956,246.0782,355.6674,179.9993,0.0145,355.6674,179.9993,0.0145
4.487,584.5156,-3.6725,245.9056,355.6612,179.9993,359.9346,355.6612,179.9993,359.9346
4.611,584.2658,-3.7525,245.7796,355.6612,179.9993,359.9346,355.6612,179.9993,359.9346
4.724,584.0134,-3.8338,245.6868,355.6612,179.9993,359.9346,355.6612,179.9993,359.9346
4.834,583.8011,-3.9014,245.6301,355.6612,179.9993,359.9346,355.6612,179.9993,359.9346
4.945,583.5442,-3.9818,245.5855,355.6612,179.9993,359.9346,355.6612,179.9993,359.9346
5.070,583.2856,-4.0602,245.5606,355.7108,179.9993,359.8713,355.7108,179.9993,359.8713
5.195,582.9825,-4.1477,245.5482,355.7108,179.9993,359.8713,355.7108,179.9993,359.8713
5.308,582.7658,-4.2068,245.5476,355.9214,179.9985,359.7351,355.9214,179.9985,359.7351
5.419,582.5060,-4.2732,245.5540,355.9214,179.9985,359.7351,355.9214,179.9985,359.7351
5.528,582.2899,-4.3243,245.5629,356.1656,179.9973,359.6804,356.1656,179.9973,359.6804
5.653,582.0308,-4.3798,245.5765,356.4983,179.9954,359.6829,356.4983,179.9954,359.6829
5.754,581.8149,-4.4208,245.5891,356.4983,179.9954,359.6829,356.4983,179.9954,359.6829
5.864,581.5563,-4.4632,245.6047,356.9204,179.9934,359.7858,356.9204,179.9934,359.7858
5.987,581.2980,-4.4975,245.6197,357.1683,179.9927,359.8843,357.1683,179.9927,359.8843
6.112,581.0400,-4.5233,245.6333,357.4070,179.9924,359.9899,357.4070,179.9924,359.9899
6.237,580.7397,-4.5420,245.6477,357.8594,179.9933,0.2367,357.8594,179.9933,0.2367
6.349,580.5258,-4.5476,245.6582,358.0817,179.9945,0.3751,358.0817,179.9945,0.3751
6.461,580.2700,-4.5455,245.6724,358.4386,179.9976,0.6078,358.4386,179.9976,0.6078
6.570,580.0579,-4.5362,245.6867,358.7104,180.0009,0.7966,358.7104,180.0009,0.7966
6.695,579.7627,-4.5115,245.7107,359.0552,180.0064,1.0451,359.0552,180.0064,1.0451
