time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.107,599.5479,4.5789,250.0105,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.220,599.2070,4.2861,250.0151,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.332,598.6929,3.8505,250.0200,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.459,598.0765,3.3329,250.0240,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.569,597.3699,2.7427,250.0241,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.681,596.7198,2.2014,250.0187,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.792,595.8743,1.4989,250.0047,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.904,595.1205,0.8739,249.9888,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.016,594.1634,0.0815,249.9680,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.127,593.1548,-0.7521,249.9474,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.236,592.2792,-1.4749,249.9322,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.347,591.1910,-2.3723,249.9196,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.459,590.3945,-3.0940,249.9162,358.8549,180.0000,0.0033,358.8549,180.0000,0.0033
1.570,589.7438,-3.6630,249.9307,354.9006,179.9994,0.0121,354.9006,179.9994,0.0121
1.682,589.3465,-3.8907,249.9616,352.6506,179.9989,0.0129,352.6506,179.9989,0.0129
1.807,588.9655,-3.9760,250.0157,351.2491,179.9986,0.0058,351.2491,179.9986,0.0058
1.918,588.6423,-3.9740,250.0765,350.7811,179.9986,-0.0029,350.7811,179.9986,-0.0029
2.029,588.3500,-3.9761,250.1340,350.7810,179.9986,-0.0029,350.7810,179.9986,-0.0029
2.140,588.1191,-4.0164,250.1749,350.7810,179.9986,-0.0029,350.7810,179.9986,-0.0029
2.252,587.8505,-4.1220,250.2137,350.7810,179.9986,-0.0029,350.7810,179.9986,-0.0029
2.363,587.6307,-4.2513,250.2388,350.7810,179.9986,-0.0029,350.7810,179.9986,-0.0029
2.475,587.3696,-4.4392,250.2634,350.7810,179.9986,-0.0029,350.7810,179.9986,-0.0029
2.584,587.1532,-4.6093,250.2814,350.7810,179.9986,-0.0029,350.7810,179.9986,-0.0029
2.697,586.8942,-4.8157,250.3022,350.7810,179.9986,-0.0029,350.7810,179.9986,-0.0029
2.807,586.6784,-4.9835,250.3200,350.7810,179.9986,-0.0029,350.7810,179.9986,-0.0029
2.918,586.4195,-5.1764,250.3422,350.7811,179.9986,-0.0029,350.7811,179.9986,-0.0029
3.028,586.1602,-5.3607,250.3650,350.7810,179.9986,-0.0029,350.7810,179.9986,-0.0029
3.140,585.9438,-5.5099,250.3839,350.7811,179.9986,-0.0029,350.7811,179.9986,-0.0029
3.251,585.6841,-5.6865,250.4062,350.7634,179.9986,359.9177,350.7634,179.9986,359.9177
3.363,585.4682,-5.8323,250.4120,350.7398,179.9987,359.7587,350.7398,179.9987,359.7587
3.474,585.2140,-5.9998,250.3539,350.7397,179.9987,359.7587,350.7397,179.9987,359.7587
3.586,585.0068,-6.1315,250.2447,350.7815,179.9984,359.5091,350.7815,179.9984,359.5091
3.696,584.7644,-6.2802,250.0336,350.8081,179.9982,359.4297,350.8081,179.9982,359.4297
3.809,584.5349,-6.4045,249.6324,350.8636,179.9976,359.2746,350.8636,179.9976,359.2746
3.918,584.3514,-6.4877,249.1706,350.8636,179.9976,359.2746,350.8636,179.9976,359.2746
4.030,584.1361,-6.5730,248.5363,350.8913,179.9972,359.1989,350.8913,179.9972,359.1989
4.142,583.9586,-6.6383,247.9799,350.8913,179.9972,359.1989,350.8913,179.9972,359.1989
4.251,583.7462,-6.7141,247.3041,350.8913,179.9972,359.1989,350.8913,179.9972,359.1989
4.366,583.5692,-6.7771,246.7421,350.8913,179.9972,359.1989,350.8913,179.9972,359.1989
4.474,583.3575,-6.8509,246.0521,350.8913,179.9972,359.1989,350.8913,179.9972,359.1989
4.585,583.1793,-6.9152,245.5115,350.8913,179.9972,359.1989,350.8913,179.9972,359.1989
4.696,582.9575,-7.0088,244.9876,350.8913,179.9972,359.1989,350.8913,179.9972,359.1989
4.807,582.7255,-7.1253,244.6170,350.8913,179.9972,359.1989,350.8913,179.9972,359.1989
4.918,582.5248,-7.2375,244.4094,350.8913,179.9972,359.1989,350.8913,179.9972,359.1989
5.029,582.2769,-7.3847,244.2514,350.8913,179.9972,359.1989,350.8913,179.9972,359.1989
5.140,582.0662,-7.5128,244.1709,350.8913,179.9972,359.1989,350.8913,179.9972,359.1989
5.253,581.8109,-7.6684,244.1233,351.1255,179.9937,359.1183,351.1255,179.9937,359.1183
5.363,581.5975,-7.7969,244.1144,351.2888,179.9911,359.0927,351.2888,179.9911,359.0927
5.474,581.3412,-7.9457,244.1264,351.7994,179.9830,359.1221,351.7994,179.9830,359.1221
