time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.4827,4.9058,250.4641,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.4827,4.9058,250.4641,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.109,598.0445,4.5306,250.4742,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.220,597.5940,4.1497,250.4818,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.333,596.9622,3.6194,250.4899,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.444,596.3673,3.1227,250.4959,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.555,595.5803,2.4682,250.5024,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.668,594.7222,1.7567,250.5082,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.777,593.9586,1.1250,250.5125,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.889,592.9905,0.3254,250.5171,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.000,592.1449,-0.3721,250.5205,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.112,591.0887,-1.2422,250.5242,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.223,590.1774,-1.9922,250.5270,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.334,589.2521,-2.8297,250.5421,0.2510,3.8000,-0.4500,358.1961,179.9999,0.0052,0.0000,0.0000,0.0000
1.446,588.6392,-3.3847,250.5793,0.2510,3.8000,-0.4500,354.3429,179.9993,0.0131,0.0000,0.0000,0.0000
1.556,588.2589,-3.6073,250.6164,0.2510,3.8000,-0.4500,352.3228,179.9988,0.0125,0.0000,0.0000,0.0000
1.669,587.8887,-3.6931,250.6663,0.2510,3.8000,-0.4500,351.0948,179.9986,0.0039,0.0000,0.0000,0.0000
1.779,587.6212,-3.6981,250.7073,0.2510,3.8000,-0.4500,350.6887,179.9986,359.9941,0.0000,0.0000,0.0000
1.890,587.3271,-3.7019,250.7494,0.2510,3.8000,-0.4500,350.6887,179.9986,359.9941,0.0000,0.0000,0.0000
2.001,587.0948,-3.7399,250.7768,0.2510,3.8000,-0.4500,350.6887,179.9986,359.9941,0.0000,0.0000,0.0000
2.126,586.7801,-3.8630,250.8017,0.2510,3.8000,-0.4500,350.6887,179.9986,359.9941,0.0000,0.0000,0.0000
2.238,586.5593,-3.9935,250.8116,0.2510,3.8000,-0.4500,350.6887,179.9986,359.9942,0.0000,0.0000,0.0000
2.349,586.2968,-4.1802,250.8178,0.2510,3.8000,-0.4500,350.6887,179.9986,359.9942,0.0000,0.0000,0.0000
2.460,586.0790,-4.3473,250.8209,0.2510,3.8000,-0.4500,350.6887,179.9986,359.9942,0.0000,0.0000,0.0000
2.570,585.8182,-4.5496,250.8241,0.2510,3.8000,-0.4500,350.6887,179.9986,359.9941,0.0000,0.0000,0.0000
2.683,585.6010,-4.7134,250.8275,0.2510,3.8000,-0.4500,350.6887,179.9986,359.9942,0.0000,0.0000,0.0000
2.794,585.3402,-4.9023,250.8327,0.2510,3.8000,-0.4500,350.6886,179.9986,359.9941,0.0000,0.0000,0.0000
2.905,585.1228,-5.0536,250.8379,0.2510,3.8000,-0.4500,350.6886,179.9986,359.9942,0.0000,0.0000,0.0000
3.017,584.8616,-5.2301,250.8447,0.2510,3.8000,-0.4500,350.6886,179.9986,359.9942,0.0000,0.0000,0.0000
3.127,584.5996,-5.4061,250.8514,0.2510,3.8000,-0.4500,350.6822,179.9986,359.9113,0.0000,0.0000,0.0000
3.238,584.3808,-5.5540,250.8555,0.2510,3.8000,-0.4500,350.6754,179.9986,359.7462,0.0000,0.0000,0.0000
3.349,584.1194,-5.7305,250.8573,0.2510,3.8000,-0.4500,350.6861,179.9986,359.6690,0.0000,0.0000,0.0000
3.462,583.9008,-5.8807,250.8554,0.2510,3.8000,-0.4500,350.7511,179.9980,359.4365,0.0000,0.0000,0.0000
3.571,583.6394,-6.0600,250.8495,0.2510,3.8000,-0.4500,350.8223,179.9972,359.2853,0.0000,0.0000,0.0000
3.695,583.3788,-6.2394,250.8388,0.2510,3.8000,-0.4500,350.8976,179.9962,359.1397,0.0000,0.0000,0.0000
3.806,583.1185,-6.4188,250.8230,0.2510,3.8000,-0.4500,351.0390,179.9938,358.9430,0.0000,0.0000,0.0000
3.918,582.9019,-6.5665,250.8065,0.2510,3.8000,-0.4500,351.1534,179.9915,358.8166,0.0000,0.0000,0.0000
4.029,582.6426,-6.7418,250.7830,0.2510,3.8000,-0.4500,351.2708,179.9889,358.6981,0.0000,0.0000,0.0000
4.140,582.4261,-6.8864,250.7591,0.2510,3.8000,-0.4500,351.5345,179.9824,358.4860,0.0000,0.0000,0.0000
4.251,582.1677,-7.0551,250.7281,0.2510,3.8000,-0.4500,351.6743,179.9785,358.4011,0.0000,0.0000,0.0000
4.365,581.9527,-7.1926,250.6994,0.2510,3.8000,-0.4500,351.8192,179.9743,358.3264,0.0000,0.0000,0.0000
4.473,581.6949,-7.3524,250.6619,0.2510,3.8000,-0.4500,352.0569,179.9671,358.2392,0.0000,0.0000,0.0000
4.584,581.4803,-7.4812,250.6285,0.2510,3.8000,-0.4500,352.2999,179.9594,358.1720,0.0000,0.0000,0.0000
4.695,581.2231,-7.6283,250.5865,0.2510,3.8000,-0.4500,352.6382,179.9484,358.1389,0.0000,0.0000,0.0000
4.807,580.9662,-7.7694,250.5444,0.2510,3.8000,-0.4500,352.8030,179.9430,358.1333,0.0000,0.0000,0.0000
4.917,580.7525,-7.8768,250.5073,0.2510,3.8000,-0.4500,353.2452,179.9287,358.1878,0.0000,0.0000,0.0000
5.028,580.4960,-7.9982,250.4646,0.2510,3.8000,-0.4500,353.6570,179.9159,358.2780,0.0000,0.0000,0.0000
5.141,580.2825,-8.0913,250.4304,0.2510,3.8000,-0.4500,353.9771,179.9065,358.3847,0.0000,0.0000,0.0000
5.251,580.0266,-8.1907,250.3915,0.2510,3.8000,-0.4500,354.4543,179.8938,358.5815,0.0000,0.0000,0.0000
5.363,579.8131,-8.2653,250.3625,0.2510,3.8000,-0.4500,354.7673,179.8864,358.7350,0.0000,0.0000,0.0000
5.473,579.5572,-8.3404,250.3314,0.2510,3.8000,-0.4500,355.2500,179.8768,358.9986,0.0000,0.0000,0.0000
5.585,579.3439,-8.3920,250.3098,0.2510,3.8000,-0.4500,355.6505,179.8706,359.2371,0.0000,0.0000,0.0000
5.697,579.0880,-8.4396,250.2898,0.2510,3.8000,-0.4500,356.1368,179.8654,359.5467,0.0000,0.0000,0.0000
5.807,578.8326,-8.4707,250.2766,0.2510,3.8000,-0.4500,356.6374,179.8629,359.8837,0.0000,0.0000,0.0000
5.919,578.6202,-8.4830,250.2706,0.2510,3.8000,-0.4500,357.0689,179.8632,0.1858,0.0000,0.0000,0.0000
6.029,578.3666,-8.4809,250.2654,0.2510,3.8000,-0.4500,357.6039,179.8667,0.5727,0.0000,0.0000,0.0000
6.139,578.1570,-8.4643,250.2583,0.2510,3.8000,-0.4500,358.0625,179.8726,0.9143,0.0000,0.0000,0.0000
6.265,577.9080,-8.4264,250.2425,0.2510,3.8000,-0.4500,358.6242,179.8837,1.3445,0.0000,0.0000,0.0000
6.376,577.6624,-8.3688,250.2242,0.2510,3.8000,-0.4500,359.1936,179.8993,1.7940,0.0000,0.0000,0.0000
6.487,577.4205,-8.2912,250.2333,0.2510,3.8000,-0.4500,359.7692,179.9197,2.2594,0.0000,0.0000,0.0000
6.599,577.2225,-8.2106,250.2578,0.2510,3.8000,-0.4500,0.2565,179.9406,2.6570,0.0000,0.0000,0.0000
6.709,576.9894,-8.0948,250.3022,0.2510,3.8000,-0.4500,0.8503,179.9707,3.1432,0.0000,0.0000,0.0000
6.822,576.7992,-7.9819,250.3493,0.2510,3.8000,-0.4500,1.3496,179.9999,3.5533,0.0000,0.0000,0.0000
6.932,576.5760,-7.8273,250.4162,0.2510,3.8000,-0.4500,1.9495,180.0397,4.0484,0.0000,0.0000,0.0000
7.042,576.3947,-7.6826,250.4795,0.2510,3.8000,-0.4500,2.4459,180.0767,4.4604,0.0000,0.0000,0.0000
7.168,576.1476,-7.4565,250.5786,0.2510,3.8000,-0.4500,3.1292,180.1335,5.0322,0.0000,0.0000,0.0000
7.279,575.9766,-7.2786,250.6564,0.2510,3.8000,-0.4500,3.6044,180.1771,5.4337,0.0000,0.0000,0.0000
7.391,575.7774,-7.0480,250.7569,0.2510,3.8000,-0.4500,4.1565,180.2320,5.9046,0.0000,0.0000,0.0000
7.501,575.6161,-6.8426,250.8464,0.2510,3.8000,-0.4500,4.5979,180.2793,6.2851,0.0000,0.0000,0.0000
