time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.107,598.6557,5.0566,250.4581,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.221,598.2777,4.7300,250.4630,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.333,597.7819,4.3091,250.4674,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.446,597.2884,3.8939,250.4707,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.555,596.6105,3.3270,250.4718,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.680,595.8499,2.6930,250.4651,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.805,595.0161,1.9997,250.4479,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.931,594.1178,1.2539,250.4193,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.042,593.1625,0.4615,250.3796,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.165,592.1703,-0.3605,250.3332,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.291,591.4314,-0.9855,250.3120,0.2510,3.8000,-0.4500,358.9934,180.0000,0.0038,0.0000,0.0000,0.0000
1.404,590.9177,-1.2903,250.3168,0.2510,3.8000,-0.4500,357.8558,179.9999,0.0081,0.0000,0.0000,0.0000
1.513,590.5242,-1.3463,250.3377,0.2510,3.8000,-0.4500,357.3196,179.9998,0.0100,0.0000,0.0000,0.0000
1.627,590.2466,-1.2865,250.3620,0.2510,3.8000,-0.4500,357.3196,179.9998,0.0100,0.0000,0.0000,0.0000
1.735,589.9468,-1.1793,250.3968,0.2510,3.8000,-0.4500,357.3196,179.9998,0.0100,0.0000,0.0000,0.0000
1.860,589.6672,-1.0958,250.4340,0.2510,3.8000,-0.4500,357.3196,179.9998,0.0100,0.0000,0.0000,0.0000
1.985,589.3986,-1.0656,250.4720,0.2510,3.8000,-0.4500,357.3196,179.9998,0.0100,0.0000,0.0000,0.0000
2.110,589.1357,-1.0890,250.5098,0.2510,3.8000,-0.4500,357.3196,179.9998,0.0100,0.0000,0.0000,0.0000
2.235,588.8330,-1.1637,250.5540,0.2510,3.8000,-0.4500,357.3196,179.9998,0.0100,0.0000,0.0000,0.0000
