time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.107,599.6597,4.6766,250.0081,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.221,599.2817,4.3500,250.0130,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.333,598.7859,3.9291,250.0174,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.446,598.2924,3.5139,250.0207,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.555,597.6145,2.9470,250.0218,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.680,596.8539,2.3130,250.0152,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.805,596.0201,1.6197,249.9979,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.931,595.1218,0.8739,249.9693,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.042,594.1666,0.0815,249.9296,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.165,593.1744,-0.7405,249.8832,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.291,592.4354,-1.3576,249.8554,358.9934,180.0000,0.0038,358.9934,180.0000,0.0038
1.404,591.9217,-1.6533,249.8529,357.8558,179.9999,0.0081,357.8558,179.9999,0.0081
1.513,591.5281,-1.7050,249.8704,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
1.627,591.2505,-1.6452,249.8948,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
1.735,590.9507,-1.5380,249.9295,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
1.860,590.6711,-1.4546,249.9667,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
1.985,590.4025,-1.4243,250.0047,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
2.110,590.1396,-1.4478,250.0425,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
2.235,589.8369,-1.5224,250.0867,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
2.347,589.6220,-1.5912,250.1185,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
2.457,589.3649,-1.6766,250.1575,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
2.569,589.1511,-1.7437,250.1911,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
2.693,588.8520,-1.8276,250.2398,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
2.805,588.6384,-1.8806,250.2755,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
2.931,588.3820,-1.9391,250.3190,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
3.041,588.1257,-1.9950,250.3627,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
3.166,587.8693,-2.0505,250.4061,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
3.291,587.6128,-2.1072,250.4490,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
3.419,587.3133,-2.1752,250.4983,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
3.528,587.0993,-2.2249,250.5332,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
3.639,586.8422,-2.2851,250.5748,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
3.764,586.5851,-2.3456,250.6162,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
3.875,586.3277,-2.4060,250.6577,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
3.986,586.1132,-2.4559,250.6923,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
4.111,585.8555,-2.5154,250.7338,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
4.222,585.5977,-2.5742,250.7751,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
4.347,585.3398,-2.6321,250.8161,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
4.472,585.0386,-2.6985,250.8637,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
4.597,584.7804,-2.7541,250.9041,357.3196,179.9998,0.0100,357.3196,179.9998,0.0100
4.722,584.5220,-2.8082,250.9443,357.4019,179.9997,359.8662,357.4019,179.9997,359.8662
4.847,584.2634,-2.8603,250.9841,357.4019,179.9997,359.8662,357.4019,179.9997,359.8662
4.959,584.0049,-2.9100,251.0229,357.4564,179.9995,359.8065,357.4564,179.9995,359.8065
5.070,583.7894,-2.9494,251.0530,357.5837,179.9990,359.7027,357.5837,179.9990,359.7027
5.180,583.5308,-2.9937,251.0868,357.5837,179.9990,359.7027,357.5837,179.9990,359.7027
5.305,583.2723,-3.0345,251.1182,357.8141,179.9976,359.6008,357.8141,179.9976,359.6008
5.406,583.0568,-3.0656,251.1433,357.8141,179.9976,359.6008,357.8141,179.9976,359.6008
5.513,582.7983,-3.0990,251.1724,358.0638,179.9957,359.5626,358.0638,179.9957,359.5626
5.625,582.5831,-3.1234,251.1963,358.0638,179.9957,359.5626,358.0638,179.9957,359.5626
5.737,582.3248,-3.1482,251.2248,358.4016,179.9932,359.5824,358.4016,179.9932,359.5824
