time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.4180,4.8499,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.4180,4.8499,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.127,597.9604,4.4592,250.4765,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.250,597.3941,3.9813,250.4859,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.374,596.7365,3.4263,250.5504,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.499,595.8833,2.6930,250.8788,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.610,595.2285,2.1191,251.3260,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.710,594.5415,1.5080,251.9568,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.820,593.6802,0.7305,252.9485,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.931,592.9354,0.0496,253.9584,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.055,592.0127,-0.8029,255.3723,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.167,591.1354,-1.6536,256.8645,0.2510,3.8000,-0.4500,359.6964,180.0000,0.0035,0.0000,0.0000,0.0000
1.278,590.5461,-2.3179,257.9961,0.2510,3.8000,-0.4500,357.6447,179.9994,0.0278,0.0000,0.0000,0.0000
1.389,590.1943,-2.6004,258.7590,0.2510,3.8000,-0.4500,356.3777,179.9987,0.0423,0.0000,0.0000,0.0000
1.490,589.9144,-2.7062,259.4319,0.2510,3.8000,-0.4500,355.7086,179.9981,0.0473,0.0000,0.0000,0.0000
1.598,589.6770,-2.7088,260.0501,0.2510,3.8000,-0.4500,355.7086,179.9981,0.0473,0.0000,0.0000,0.0000
1.709,589.4241,-2.6701,260.7514,0.2510,3.8000,-0.4500,355.7086,179.9981,0.0473,0.0000,0.0000,0.0000
1.835,589.1906,-2.6510,261.4241,0.2510,3.8000,-0.4500,355.7086,179.9981,0.0473,0.0000,0.0000,0.0000
1.946,588.9672,-2.6814,262.0779,0.2510,3.8000,-0.4500,355.7086,179.9981,0.0473,0.0000,0.0000,0.0000
2.070,588.7492,-2.7609,262.7197,0.2510,3.8000,-0.4500,355.7086,179.9981,0.0473,0.0000,0.0000,0.0000
2.196,588.5340,-2.8732,263.3544,0.2510,3.8000,-0.4500,355.7086,179.9981,0.0473,0.0000,0.0000,0.0000
2.307,588.3198,-2.9979,263.9890,0.2510,3.8000,-0.4500,355.9487,179.9981,359.9598,0.0000,0.0000,0.0000
2.432,588.1068,-3.1191,264.6308,0.2510,3.8000,-0.4500,356.2699,179.9976,359.8477,0.0000,0.0000,0.0000
2.546,587.8943,-3.2265,265.2798,0.2510,3.8000,-0.4500,356.6802,179.9960,359.7123,0.0000,0.0000,0.0000
2.654,587.7175,-3.3032,265.8254,0.2510,3.8000,-0.4500,356.9959,179.9941,359.6083,0.0000,0.0000,0.0000
2.755,587.5408,-3.3684,266.3746,0.2510,3.8000,-0.4500,357.2373,179.9923,359.5271,0.0000,0.0000,0.0000
2.877,587.3281,-3.4330,267.0346,0.2510,3.8000,-0.4500,357.7324,179.9875,359.3555,0.0000,0.0000,0.0000
2.991,587.1155,-3.4864,267.6971,0.2510,3.8000,-0.4500,358.0453,179.9837,359.2421,0.0000,0.0000,0.0000
3.099,586.9020,-3.5308,268.3583,0.2510,3.8000,-0.4500,358.5376,179.9763,359.0549,0.0000,0.0000,0.0000
3.210,586.7235,-3.5623,268.9089,0.2510,3.8000,-0.4500,358.9277,179.9694,358.9004,0.0000,0.0000,0.0000
3.322,586.5093,-3.5944,269.5697,0.2510,3.8000,-0.4500,359.2532,179.9628,358.7656,0.0000,0.0000,0.0000
3.450,586.2938,-3.6200,270.2288,0.2510,3.8000,-0.4500,359.7392,179.9514,358.5592,0.0000,0.0000,0.0000
3.572,586.0778,-3.6389,270.8879,0.2510,3.8000,-0.4500,0.1243,179.9412,358.3911,0.0000,0.0000,0.0000
3.684,585.8610,-3.6507,271.5449,0.2510,3.8000,-0.4500,0.5076,179.9298,358.2212,0.0000,0.0000,0.0000
3.808,585.6430,-3.6552,272.1956,0.2510,3.8000,-0.4500,0.8908,179.9174,358.0501,0.0000,0.0000,0.0000
3.934,585.4239,-3.6525,272.8392,0.2510,3.8000,-0.4500,1.2887,179.9032,357.8741,0.0000,0.0000,0.0000
4.058,585.1652,-3.6410,273.5543,0.2510,3.8000,-0.4500,1.6742,179.8883,357.7075,0.0000,0.0000,0.0000
4.169,584.9753,-3.6301,273.9905,0.2510,3.8000,-0.4500,1.9054,179.8789,357.6111,0.0000,0.0000,0.0000
4.294,584.7406,-3.6163,274.4163,0.2510,3.8000,-0.4500,2.2217,179.8653,357.4897,0.0000,0.0000,0.0000
4.419,584.4562,-3.6018,274.7639,0.2510,3.8000,-0.4500,2.4620,179.8546,357.4099,0.0000,0.0000,0.0000
4.531,584.2465,-3.5961,274.8664,0.2510,3.8000,-0.4500,2.6204,179.8474,357.3633,0.0000,0.0000,0.0000
4.656,583.9944,-3.5947,274.8513,0.2510,3.8000,-0.4500,2.7017,179.8436,357.3509,0.0000,0.0000,0.0000
4.780,583.7047,-3.5987,274.6742,0.2510,3.8000,-0.4500,2.8637,179.8361,357.3302,0.0000,0.0000,0.0000
4.906,583.4628,-3.6072,274.3954,0.2510,3.8000,-0.4500,2.8637,179.8361,357.3302,0.0000,0.0000,0.0000
5.017,583.2656,-3.6144,274.0899,0.2510,3.8000,-0.4500,3.0297,179.8284,357.3722,0.0000,0.0000,0.0000
5.142,582.9940,-3.6269,273.5868,0.2510,3.8000,-0.4500,3.1097,179.8247,357.3958,0.0000,0.0000,0.0000
5.267,582.7647,-3.6338,273.1158,0.2510,3.8000,-0.4500,3.2485,179.8186,357.4994,0.0000,0.0000,0.0000
5.378,582.5371,-3.6373,272.6275,0.2510,3.8000,-0.4500,3.3779,179.8130,357.6073,0.0000,0.0000,0.0000
5.489,582.3468,-3.6355,272.2335,0.2510,3.8000,-0.4500,3.4772,179.8090,357.7360,0.0000,0.0000,0.0000
5.614,582.1097,-3.6173,271.9540,0.2510,3.8000,-0.4500,3.6096,179.8040,357.9435,0.0000,0.0000,0.0000
5.739,581.8351,-3.5610,271.9816,0.2510,3.8000,-0.4500,3.7986,179.7978,358.3294,0.0000,0.0000,0.0000
5.864,581.6051,-3.4917,272.2423,0.2510,3.8000,-0.4500,3.8336,179.7968,358.4024,0.0000,0.0000,0.0000
5.989,581.3826,-3.3952,272.6468,0.2510,3.8000,-0.4500,4.0218,179.7921,358.7882,0.0000,0.0000,0.0000
6.114,581.1640,-3.2850,273.1454,0.2510,3.8000,-0.4500,4.1361,179.7899,359.0219,0.0000,0.0000,0.0000
6.239,580.9139,-3.1391,273.7984,0.2510,3.8000,-0.4500,4.2769,179.7879,359.3247,0.0000,0.0000,0.0000
6.351,580.7366,-3.0292,274.2938,0.2510,3.8000,-0.4500,4.3098,179.7875,359.4001,0.0000,0.0000,0.0000
6.475,580.5276,-2.8855,274.9059,0.2510,3.8000,-0.4500,4.4279,179.7866,359.7234,0.0000,0.0000,0.0000
6.600,580.2858,-2.7131,275.6343,0.2510,3.8000,-0.4500,4.4934,179.7864,359.9637,0.0000,0.0000,0.0000
6.711,580.1149,-2.5850,276.1571,0.2510,3.8000,-0.4500,4.5299,179.7865,0.2246,0.0000,0.0000,0.0000
6.837,579.9108,-2.4301,276.7841,0.2510,3.8000,-0.4500,4.5424,179.7866,0.4761,0.0000,0.0000,0.0000
6.948,579.7070,-2.2758,277.3966,0.2510,3.8000,-0.4500,4.5292,179.7864,0.6453,0.0000,0.0000,0.0000
7.072,579.5007,-2.1245,277.9479,0.2510,3.8000,-0.4500,4.5066,179.7861,0.8110,0.0000,0.0000,0.0000
7.198,579.2917,-1.9761,278.4217,0.2510,3.8000,-0.4500,4.4151,179.7846,1.1394,0.0000,0.0000,0.0000
7.322,579.0420,-1.8115,278.8744,0.2510,3.8000,-0.4500,4.2864,179.7816,1.4352,0.0000,0.0000,0.0000
7.448,578.8211,-1.6781,279.1609,0.2510,3.8000,-0.4500,4.1607,179.7782,1.6540,0.0000,0.0000,0.0000
7.572,578.5941,-1.5514,279.3641,0.2510,3.8000,-0.4500,4.0683,179.7755,1.7924,0.0000,0.0000,0.0000
7.697,578.3631,-1.4289,279.5061,0.2510,3.8000,-0.4500,3.9728,179.7723,1.9286,0.0000,0.0000,0.0000
7.809,578.1303,-1.3080,279.6075,0.2510,3.8000,-0.4500,3.7622,179.7648,2.1880,0.0000,0.0000,0.0000
7.920,577.8947,-1.1910,279.6837,0.2510,3.8000,-0.4500,3.7074,179.7626,2.2485,0.0000,0.0000,0.0000
8.047,577.6602,-1.0733,279.7483,0.2510,3.8000,-0.4500,3.4714,179.7528,2.4912,0.0000,0.0000,0.0000
8.151,577.4633,-0.9778,279.7977,0.2510,3.8000,-0.4500,3.4714,179.7528,2.4912,0.0000,0.0000,0.0000
8.267,577.2283,-0.8629,279.8568,0.2510,3.8000,-0.4500,3.3427,179.7471,2.6032,0.0000,0.0000,0.0000
8.378,577.0327,-0.7681,279.9065,0.2510,3.8000,-0.4500,3.2789,179.7442,2.6577,0.0000,0.0000,0.0000
8.478,576.8369,-0.6744,279.9559,0.2510,3.8000,-0.4500,3.2789,179.7442,2.6577,0.0000,0.0000,0.0000
8.588,576.6027,-0.5621,280.0162,0.2510,3.8000,-0.4500,3.1428,179.7377,2.7577,0.0000,0.0000,0.0000
8.698,576.3679,-0.4518,280.0763,0.2510,3.8000,-0.4500,3.1428,179.7377,2.7577,0.0000,0.0000,0.0000
8.809,576.1726,-0.3610,280.1276,0.2510,3.8000,-0.4500,3.0728,179.7343,2.8007,0.0000,0.0000,0.0000
8.935,575.9382,-0.2539,280.1907,0.2510,3.8000,-0.4500,2.9245,179.7269,2.8729,0.0000,0.0000,0.0000
9.047,575.7034,-0.1494,280.2548,0.2510,3.8000,-0.4500,2.9245,179.7269,2.8729,0.0000,0.0000,0.0000
9.156,575.5078,-0.0646,280.3093,0.2510,3.8000,-0.4500,2.9245,179.7269,2.8729,0.0000,0.0000,0.0000
9.256,575.3120,0.0172,280.3660,0.2510,3.8000,-0.4500,2.7618,179.7187,2.9032,0.0000,0.0000,0.0000
9.364,575.0767,0.1121,280.4346,0.2510,3.8000,-0.4500,2.6802,179.7146,2.9039,0.0000,0.0000,0.0000
9.476,574.8801,0.1876,280.4932,0.2510,3.8000,-0.4500,2.5987,179.7104,2.8991,0.0000,0.0000,0.0000
9.576,574.6827,0.2587,280.5528,0.2510,3.8000,-0.4500,2.4385,179.7024,2.8687,0.0000,0.0000,0.0000
9.683,574.4454,0.3403,280.6243,0.2510,3.8000,-0.4500,2.3592,179.6984,2.8489,0.0000,0.0000,0.0000
9.809,574.2065,0.4133,280.6968,0.2510,3.8000,-0.4500,2.1283,179.6871,2.7503,0.0000,0.0000,0.0000
