time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.4220,4.4699,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.4220,4.4699,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.127,598.9644,4.0792,250.0265,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.250,598.3981,3.6013,250.0359,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.374,597.7405,3.0463,250.1004,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.499,596.8873,2.3130,250.4288,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.610,596.2325,1.7391,250.8760,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.710,595.5455,1.1280,251.5068,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.820,594.6843,0.3505,252.4985,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.931,593.9394,-0.3304,253.5084,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.055,593.0167,-1.1829,254.9223,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.167,592.1394,-2.0313,256.4125,359.6964,180.0000,0.0035,359.6964,180.0000,0.0035
1.278,591.5499,-2.6796,257.5308,357.6447,179.9994,0.0278,357.6447,179.9994,0.0278
1.389,591.1980,-2.9520,258.2859,356.3777,179.9987,0.0423,356.3777,179.9987,0.0423
1.490,590.9182,-3.0523,258.9547,355.7086,179.9981,0.0473,355.7086,179.9981,0.0473
1.598,590.6807,-3.0548,259.5729,355.7086,179.9981,0.0473,355.7086,179.9981,0.0473
1.709,590.4279,-3.0161,260.2742,355.7086,179.9981,0.0473,355.7086,179.9981,0.0473
1.835,590.1943,-2.9971,260.9469,355.7086,179.9981,0.0473,355.7086,179.9981,0.0473
1.946,589.9709,-3.0275,261.6007,355.7086,179.9981,0.0473,355.7086,179.9981,0.0473
2.070,589.7529,-3.1070,262.2425,355.7086,179.9981,0.0473,355.7086,179.9981,0.0473
2.196,589.5377,-3.2193,262.8772,355.7086,179.9981,0.0473,355.7086,179.9981,0.0473
2.307,589.3240,-3.3445,263.5134,355.9487,179.9981,359.9598,355.9487,179.9981,359.9598
2.432,589.1118,-3.4663,264.1573,356.2699,179.9976,359.8477,356.2699,179.9976,359.8477
2.546,588.9002,-3.5748,264.8089,356.6802,179.9960,359.7123,356.6802,179.9960,359.7123
2.654,588.7241,-3.6522,265.3566,356.9959,179.9941,359.6083,356.9959,179.9941,359.6083
2.755,588.5479,-3.7180,265.9073,357.2373,179.9923,359.5271,357.2373,179.9923,359.5271
2.877,588.3364,-3.7836,266.5706,357.7324,179.9875,359.3555,357.7324,179.9875,359.3555
2.991,588.1246,-3.8375,267.2352,358.0453,179.9837,359.2421,358.0453,179.9837,359.2421
3.099,587.9123,-3.8826,267.8996,358.5376,179.9763,359.0549,358.5376,179.9763,359.0549
3.210,587.7349,-3.9145,268.4528,358.9277,179.9694,358.9004,358.9277,179.9694,358.9004
3.322,587.5216,-3.9468,269.1157,359.2532,179.9628,358.7656,359.2532,179.9628,358.7656
3.450,587.3074,-3.9726,269.7780,359.7392,179.9514,358.5592,359.7392,179.9514,358.5592
3.572,587.0925,-3.9915,270.4397,0.1243,179.9412,358.3911,0.1243,179.9412,358.3911
3.684,586.8768,-4.0033,271.0992,0.5076,179.9298,358.2212,0.5076,179.9298,358.2212
3.808,586.6600,-4.0078,271.7525,0.8908,179.9174,358.0501,0.8908,179.9174,358.0501
3.934,586.4420,-4.0050,272.3987,1.2887,179.9032,357.8741,1.2887,179.9032,357.8741
4.058,586.1844,-3.9936,273.1164,1.6742,179.8883,357.7075,1.6742,179.8883,357.7075
4.169,585.9952,-3.9827,273.5541,1.9054,179.8789,357.6111,1.9054,179.8789,357.6111
4.294,585.7613,-3.9692,273.9820,2.2217,179.8653,357.4897,2.2217,179.8653,357.4897
4.419,585.4774,-3.9550,274.3313,2.4620,179.8546,357.4099,2.4620,179.8546,357.4099
4.531,585.2680,-3.9497,274.4348,2.6204,179.8474,357.3633,2.6204,179.8474,357.3633
4.656,585.0161,-3.9488,274.4203,2.7017,179.8436,357.3509,2.7017,179.8436,357.3509
4.780,584.7265,-3.9536,274.2443,2.8637,179.8361,357.3302,2.8637,179.8361,357.3302
4.906,584.4846,-3.9621,273.9655,2.8637,179.8361,357.3302,2.8637,179.8361,357.3302
5.017,584.2872,-3.9713,273.6613,3.0297,179.8284,357.3722,3.0297,179.8284,357.3722
5.142,584.0156,-3.9848,273.1587,3.1097,179.8247,357.3958,3.1097,179.8247,357.3958
5.267,583.7857,-3.9946,272.6888,3.2485,179.8186,357.4994,3.2485,179.8186,357.4994
5.378,583.5575,-4.0009,272.2015,3.3779,179.8130,357.6073,3.3779,179.8130,357.6073
5.489,583.3665,-4.0023,271.8084,3.4772,179.8090,357.7360,3.4772,179.8090,357.7360
5.614,583.1282,-3.9887,271.5300,3.6096,179.8040,357.9435,3.6096,179.8040,357.9435
5.739,582.8513,-3.9406,271.5594,3.7986,179.7978,358.3294,3.7986,179.7978,358.3294
5.864,582.6208,-3.8729,271.8204,3.8336,179.7968,358.4024,3.8336,179.7968,358.4024
5.989,582.3960,-3.7845,272.2267,4.0218,179.7921,358.7882,4.0218,179.7921,358.7882
6.114,582.1759,-3.6793,272.7265,4.1361,179.7899,359.0219,4.1361,179.7899,359.0219
6.239,581.9238,-3.5397,273.3808,4.2769,179.7879,359.3247,4.2769,179.7879,359.3247
6.351,581.7461,-3.4315,273.8765,4.3098,179.7875,359.4001,4.3098,179.7875,359.4001
6.475,581.5350,-3.2942,274.4899,4.4279,179.7866,359.7234,4.4279,179.7866,359.7234
6.600,581.2916,-3.1266,275.2191,4.4934,179.7864,359.9637,4.4934,179.7864,359.9637
6.711,581.1189,-3.0033,275.7426,4.5299,179.7865,0.2246,4.5299,179.7865,0.2246
