time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.110,599.6055,4.6292,250.0089,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.224,599.2817,4.3500,250.0130,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.333,598.7859,3.9291,250.0174,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.445,598.2947,3.5139,250.0457,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.556,597.6320,2.9470,250.2255,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.668,597.0294,2.4230,250.5435,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.779,596.2551,1.7391,251.1443,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.890,595.4326,1.0016,251.9818,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.002,594.7149,0.3505,252.8511,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.112,593.8197,-0.4699,254.0844,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.223,593.0486,-1.1829,255.2615,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.334,592.0972,-2.0697,256.8418,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.445,591.2849,-2.8322,258.2879,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.556,590.2896,-3.7722,260.1682,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.668,589.4455,-4.5743,261.8516,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.779,588.4959,-5.4815,263.8357,359.8564,180.0000,-0.0014,359.8564,180.0000,-0.0014
1.890,587.8658,-6.3560,265.2259,356.7352,180.0014,359.9418,356.7352,180.0014,359.9418
2.001,587.4943,-6.7683,266.1010,354.7055,180.0049,359.8477,354.7055,180.0049,359.8477
2.112,587.1494,-6.9916,266.9729,353.8312,180.0079,359.7255,353.8312,180.0079,359.7255
2.224,586.9092,-7.0444,267.6158,353.8312,180.0079,359.7255,353.8312,180.0079,359.7255
2.335,586.6519,-7.0458,268.3259,354.0813,180.0064,359.5617,354.0813,180.0064,359.5617
2.446,586.4520,-7.0463,268.8791,354.6272,180.0008,359.2822,354.6272,180.0008,359.2822
2.557,586.2220,-7.0780,269.5088,355.3632,179.9895,358.9725,355.3632,179.9895,358.9725
2.667,586.0345,-7.1347,270.0059,355.9994,179.9767,358.7257,355.9994,179.9767,358.7257
2.779,585.8065,-7.2277,270.5020,356.7682,179.9576,358.4276,356.7682,179.9576,358.4276
2.904,585.5699,-7.3319,270.8539,357.5133,179.9351,358.1220,357.5133,179.9351,358.1220
3.015,585.3245,-7.4345,271.0804,358.2047,179.9106,357.8110,358.2047,179.9106,357.8110
3.126,585.1151,-7.5130,271.1739,358.7291,179.8894,357.5513,358.7291,179.8894,357.5513
3.237,584.8610,-7.5967,271.1950,359.2908,179.8639,357.2442,359.2908,179.8639,357.2442
3.363,584.6060,-7.6702,271.1475,359.7821,179.8389,356.9471,359.7821,179.8389,356.9471
3.474,584.3506,-7.7369,271.0543,0.2144,179.8148,356.6640,0.2144,179.8148,356.6640
3.585,584.1378,-7.7899,270.9559,0.3610,179.8062,356.5628,0.3610,179.8062,356.5628
3.696,583.8818,-7.8528,270.8235,0.8033,179.7784,356.2566,0.8033,179.7784,356.2566
3.807,583.6684,-7.9056,270.7047,0.9426,179.7692,356.1619,0.9426,179.7692,356.1619
3.918,583.4125,-7.9700,270.5505,1.3040,179.7442,355.9258,1.3040,179.7442,355.9258
4.030,583.1575,-8.0351,270.3810,1.5972,179.7228,355.7559,1.5972,179.7228,355.7559
4.141,582.9454,-8.0891,270.2293,1.7492,179.7114,355.6815,1.7492,179.7114,355.6815
4.252,582.6983,-8.1548,269.9388,1.9837,179.6935,355.5870,1.9837,179.6935,355.5870
4.363,582.5033,-8.2140,269.5381,2.0614,179.6875,355.5657,2.0614,179.6875,355.5657
4.474,582.2777,-8.2887,268.9261,2.0614,179.6875,355.5657,2.0614,179.6875,355.5657
4.585,582.0936,-8.3513,268.3584,2.0614,179.6875,355.5657,2.0614,179.6875,355.5657
4.696,581.8726,-8.4228,267.6905,2.1407,179.6814,355.5869,2.1407,179.6814,355.5869
4.807,581.6838,-8.4753,267.2104,2.2894,179.6700,355.6521,2.2894,179.6700,355.6521
4.932,581.4097,-8.5343,266.6841,2.6040,179.6467,355.9217,2.6040,179.6467,355.9217
5.044,581.2074,-8.5648,266.3974,2.7698,179.6351,356.1096,2.7698,179.6351,356.1096
5.154,580.9592,-8.5883,266.1253,3.0896,179.6145,356.5111,3.0896,179.6145,356.5111
5.266,580.7491,-8.5965,265.9417,3.2464,179.6052,356.7153,3.2464,179.6052,356.7153
5.377,580.4945,-8.5924,265.7571,3.5819,179.5872,357.1537,3.5819,179.5872,357.1537
5.502,580.2381,-8.5729,265.6010,3.9141,179.5719,357.5884,3.9141,179.5719,357.5884
