time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.107,598.6557,5.0566,250.4581,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.209,598.3493,4.7913,250.4622,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.318,597.8721,4.3853,250.4667,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.419,597.3925,3.9813,250.4700,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.530,596.8497,3.5238,250.5130,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.639,596.1339,2.9113,250.7394,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.750,595.4932,2.3534,251.1132,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.875,594.6796,1.6330,251.7985,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.986,593.8239,0.8632,252.7354,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.112,592.9314,0.0496,253.9060,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.222,592.0070,-0.8029,255.2918,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.347,591.0549,-1.6897,256.8795,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.473,590.0787,-2.6070,258.6536,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.597,588.9135,-3.7111,260.9359,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.709,588.0657,-4.5195,262.6918,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.822,587.2181,-5.5197,264.5337,0.2510,3.8000,-0.4500,358.4003,180.0002,359.9842,0.0000,0.0000,0.0000
1.946,586.6678,-6.2529,265.8184,0.2510,3.8000,-0.4500,355.2354,180.0028,359.9055,0.0000,0.0000,0.0000
2.056,586.2750,-6.5957,266.8117,0.2510,3.8000,-0.4500,353.7491,180.0066,359.7776,0.0000,0.0000,0.0000
2.170,586.0139,-6.6898,267.5224,0.2510,3.8000,-0.4500,353.6426,180.0070,359.7527,0.0000,0.0000,0.0000
