time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.108,599.6055,4.6292,250.0089,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.236,599.2069,4.2861,250.0138,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.348,598.6927,3.8505,250.0181,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.459,598.1857,3.4245,250.0213,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.571,597.4930,2.8458,250.0247,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.682,596.8528,2.3130,250.0273,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.794,596.0180,1.6198,250.0408,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.905,595.2789,1.0016,250.1286,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.015,594.3515,0.2166,250.3917,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.141,593.3879,-0.6105,250.8504,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.254,592.5716,-1.3542,251.3901,359.4446,180.0000,0.0028,359.4446,180.0000,0.0028
1.363,592.1096,-1.7149,251.8003,358.3172,179.9999,0.0089,358.3172,179.9999,0.0089
1.489,591.6413,-1.8798,252.3533,357.3370,179.9996,0.0146,357.3370,179.9996,0.0146
1.600,591.3773,-1.8508,252.7449,357.2522,179.9996,0.0150,357.2522,179.9996,0.0150
1.710,591.1025,-1.7609,253.2276,357.2522,179.9996,0.0150,357.2522,179.9996,0.0150
1.822,590.8942,-1.6956,253.6442,357.2522,179.9996,0.0150,357.2522,179.9996,0.0150
1.933,590.6583,-1.6647,254.1581,357.2522,179.9996,0.0150,357.2522,179.9996,0.0150
2.058,590.4310,-1.6935,254.6827,357.2522,179.9996,0.0150,357.2522,179.9996,0.0150
2.183,590.2085,-1.7696,255.2141,357.2522,179.9996,0.0151,357.2522,179.9996,0.0151
2.294,589.9885,-1.8725,255.7500,357.2522,179.9996,0.0151,357.2522,179.9996,0.0151
2.406,589.8062,-1.9648,256.1992,357.2522,179.9996,0.0151,357.2522,179.9996,0.0151
2.517,589.5882,-2.0717,256.7404,357.2522,179.9996,0.0150,357.2522,179.9996,0.0150
2.628,589.3705,-2.1679,257.2836,357.2522,179.9996,0.0151,357.2522,179.9996,0.0151
2.739,589.1893,-2.2387,257.7369,357.2522,179.9996,0.0151,357.2522,179.9996,0.0151
2.850,588.9714,-2.3138,258.2769,357.2522,179.9996,0.0151,357.2522,179.9996,0.0151
2.961,588.7893,-2.3701,258.7207,357.2522,179.9996,0.0151,357.2522,179.9996,0.0151
3.073,588.5701,-2.4327,259.2457,357.2522,179.9996,0.0151,357.2522,179.9996,0.0151
3.183,588.3871,-2.4823,259.6783,357.2522,179.9996,0.0151,357.2522,179.9996,0.0151
3.295,588.1669,-2.5398,260.1929,357.4708,179.9994,359.8691,357.4708,179.9994,359.8691
3.406,587.9833,-2.5862,260.6192,357.6129,179.9990,359.7780,357.6129,179.9990,359.7780
3.517,587.7629,-2.6399,261.1286,357.7567,179.9983,359.6954,357.7567,179.9983,359.6954
3.628,587.5419,-2.6909,261.6361,357.9778,179.9969,359.5748,357.9778,179.9969,359.5748
3.739,587.3574,-2.7310,262.0581,358.2131,179.9949,359.4550,358.2131,179.9949,359.4550
3.850,587.1357,-2.7756,262.5637,358.4381,179.9926,359.3437,358.4381,179.9926,359.3437
3.961,586.9508,-2.8096,262.9853,358.5854,179.9908,359.2736,358.5854,179.9908,359.2736
4.073,586.7292,-2.8467,263.4993,358.8845,179.9866,359.1353,358.8845,179.9866,359.1353
4.184,586.5447,-2.8743,263.9365,359.0380,179.9842,359.0680,359.0380,179.9842,359.0680
4.295,586.3238,-2.9032,264.4703,359.2655,179.9803,358.9701,359.2655,179.9803,358.9701
4.406,586.1398,-2.9236,264.9207,359.5006,179.9759,358.8773,359.5006,179.9759,358.8773
4.517,585.9189,-2.9434,265.4657,359.7324,179.9712,358.7925,359.7324,179.9712,358.7925
4.628,585.6981,-2.9580,266.0139,359.9749,179.9659,358.7158,359.9749,179.9659,358.7158
4.741,585.5140,-2.9658,266.4718,0.0542,179.9641,358.6920,0.0542,179.9641,358.6920
4.852,585.2921,-2.9698,267.0139,0.2946,179.9585,358.6335,0.2946,179.9585,358.6335
4.961,585.1001,-2.9702,267.3695,0.5507,179.9523,358.5921,0.5507,179.9523,358.5921
5.074,584.8592,-2.9709,267.5779,0.6338,179.9502,358.5804,0.6338,179.9502,358.5804
5.183,584.6582,-2.9728,267.5772,0.8829,179.9441,358.5758,0.8829,179.9441,358.5758
5.295,584.4201,-2.9767,267.4156,0.8829,179.9441,358.5758,0.8829,179.9441,358.5758
5.406,584.2248,-2.9807,267.1857,0.8829,179.9441,358.5758,0.8829,179.9441,358.5758
5.517,583.9935,-2.9851,266.8334,1.1244,179.9382,358.6338,1.1244,179.9382,358.6338
