time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.109,598.6015,5.0092,250.4589,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.221,598.2777,4.7300,250.4630,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.333,597.7819,4.3091,250.4674,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.459,597.1816,3.8045,250.4713,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.584,596.4891,3.2258,250.4758,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.709,595.5870,2.4682,250.5786,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.821,594.8945,1.8789,250.7915,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.932,594.0203,1.1250,251.2304,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.043,593.2608,0.4615,251.7514,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.154,592.3170,-0.3721,252.5553,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.265,591.6800,-0.9790,253.1980,0.2510,3.8000,-0.4500,359.4355,180.0000,0.0038,0.0000,0.0000,0.0000
1.377,591.1523,-1.4280,253.8379,0.2510,3.8000,-0.4500,358.1001,179.9998,0.0133,0.0000,0.0000,0.0000
1.488,590.7677,-1.5879,254.4010,0.2510,3.8000,-0.4500,357.3009,179.9995,0.0195,0.0000,0.0000,0.0000
1.599,590.5074,-1.5813,254.8411,0.2510,3.8000,-0.4500,357.2162,179.9995,0.0201,0.0000,0.0000,0.0000
1.710,590.2350,-1.5073,255.3534,0.2510,3.8000,-0.4500,357.2162,179.9995,0.0201,0.0000,0.0000,0.0000
1.821,590.0270,-1.4465,255.7724,0.2510,3.8000,-0.4500,357.2161,179.9995,0.0201,0.0000,0.0000,0.0000
1.934,589.7900,-1.4135,256.2685,0.2510,3.8000,-0.4500,357.2162,179.9995,0.0201,0.0000,0.0000,0.0000
2.044,589.5984,-1.4281,256.6777,0.2510,3.8000,-0.4500,357.2162,179.9995,0.0201,0.0000,0.0000,0.0000
2.155,589.3726,-1.4888,257.1653,0.2510,3.8000,-0.4500,357.2162,179.9995,0.0201,0.0000,0.0000,0.0000
