time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.091,598.9501,5.3238,250.4521,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.197,598.7988,5.1807,250.4868,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.302,598.4979,4.9058,250.6335,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.407,598.1599,4.5996,250.8558,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.517,597.7512,4.2305,251.1718,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.626,597.1782,3.7129,251.6710,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.736,596.6390,3.2257,252.1810,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.844,595.9263,2.5814,252.8967,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.948,595.2833,1.9997,253.5722,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.054,594.6004,1.3816,254.3129,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.172,593.7335,0.5966,255.2796,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.292,592.8207,-0.2305,256.3226,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.402,591.8667,-1.0949,257.4334,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.506,591.1199,-1.8242,258.3179,0.2510,3.8000,-0.4500,359.6964,180.0000,0.0044,0.0000,0.0000,0.0000
1.611,590.5908,-2.3728,258.9664,0.2510,3.8000,-0.4500,357.9813,179.9995,0.0290,0.0000,0.0000,0.0000
1.722,590.1317,-2.6961,259.5500,0.2510,3.8000,-0.4500,356.3972,179.9984,0.0492,0.0000,0.0000,0.0000
1.833,589.8326,-2.7660,259.9445,0.2510,3.8000,-0.4500,355.7388,179.9978,0.0531,0.0000,0.0000,0.0000
1.944,589.5287,-2.7244,260.3548,0.2510,3.8000,-0.4500,355.7388,179.9978,0.0531,0.0000,0.0000,0.0000
2.055,589.3016,-2.6634,260.6665,0.2510,3.8000,-0.4500,355.7388,179.9978,0.0531,0.0000,0.0000,0.0000
2.166,589.0461,-2.6171,261.0167,0.2510,3.8000,-0.4500,355.7388,179.9978,0.0530,0.0000,0.0000,0.0000
2.277,588.8415,-2.6203,261.2948,0.2510,3.8000,-0.4500,355.7388,179.9978,0.0530,0.0000,0.0000,0.0000
2.389,588.6012,-2.6744,261.6174,0.2510,3.8000,-0.4500,355.7388,179.9978,0.0530,0.0000,0.0000,0.0000
2.494,588.4034,-2.7506,261.8803,0.2510,3.8000,-0.4500,355.7388,179.9978,0.0531,0.0000,0.0000,0.0000
2.598,588.2069,-2.8423,262.1401,0.2510,3.8000,-0.4500,355.7388,179.9978,0.0531,0.0000,0.0000,0.0000
2.708,587.9719,-2.9574,262.4497,0.2510,3.8000,-0.4500,355.7388,179.9978,0.0531,0.0000,0.0000,0.0000
2.812,587.7755,-3.0488,262.7055,0.2510,3.8000,-0.4500,355.9620,179.9978,359.9422,0.0000,0.0000,0.0000
2.930,587.5401,-3.1471,263.0132,0.2510,3.8000,-0.4500,356.1102,179.9975,359.8718,0.0000,0.0000,0.0000
3.041,587.3046,-3.2320,263.3197,0.2510,3.8000,-0.4500,356.4265,179.9964,359.7286,0.0000,0.0000,0.0000
3.157,587.1084,-3.2941,263.5758,0.2510,3.8000,-0.4500,356.5789,179.9956,359.6607,0.0000,0.0000,0.0000
3.264,586.8721,-3.3609,263.8814,0.2510,3.8000,-0.4500,356.9775,179.9926,359.4833,0.0000,0.0000,0.0000
3.374,586.6754,-3.4127,264.1368,0.2510,3.8000,-0.4500,357.1387,179.9911,359.4103,0.0000,0.0000,0.0000
3.489,586.4387,-3.4718,264.4417,0.2510,3.8000,-0.4500,357.5314,179.9864,359.2305,0.0000,0.0000,0.0000
3.597,586.2417,-3.5196,264.6965,0.2510,3.8000,-0.4500,357.6859,179.9842,359.1577,0.0000,0.0000,0.0000
3.707,586.0040,-3.5755,265.0003,0.2510,3.8000,-0.4500,358.0667,179.9780,358.9764,0.0000,0.0000,0.0000
3.819,585.8062,-3.6204,265.2542,0.2510,3.8000,-0.4500,358.2200,179.9752,358.9020,0.0000,0.0000,0.0000
4.104,585.2105,-3.7436,266.0118,0.2510,3.8000,-0.4500,358.9800,179.9582,358.5323,0.0000,0.0000,0.0000
4.238,584.9715,-3.7865,266.3141,0.2510,3.8000,-0.4500,359.2940,179.9497,358.3842,0.0000,0.0000,0.0000
4.356,584.7323,-3.8251,266.6166,0.2510,3.8000,-0.4500,359.5292,179.9429,358.2774,0.0000,0.0000,0.0000
4.466,584.4927,-3.8592,266.9187,0.2510,3.8000,-0.4500,359.7652,179.9356,358.1740,0.0000,0.0000,0.0000
4.578,584.2921,-3.8837,267.1692,0.2510,3.8000,-0.4500,0.0930,179.9247,358.0459,0.0000,0.0000,0.0000
4.689,584.0520,-3.9086,267.4711,0.2510,3.8000,-0.4500,0.2510,179.9193,357.9879,0.0000,0.0000,0.0000
4.801,583.8108,-3.9271,267.7710,0.2510,3.8000,-0.4500,0.6547,179.9047,357.8724,0.0000,0.0000,0.0000
4.912,583.6100,-3.9380,268.0216,0.2510,3.8000,-0.4500,0.8193,179.8985,357.8413,0.0000,0.0000,0.0000
5.024,583.3691,-3.9449,268.3214,0.2510,3.8000,-0.4500,1.0670,179.8891,357.8064,0.0000,0.0000,0.0000
5.135,583.1681,-3.9448,268.5705,0.2510,3.8000,-0.4500,1.3148,179.8795,357.7895,0.0000,0.0000,0.0000
5.247,582.9270,-3.9375,268.8690,0.2510,3.8000,-0.4500,1.5779,179.8694,357.8041,0.0000,0.0000,0.0000
5.361,582.6859,-3.9224,269.1661,0.2510,3.8000,-0.4500,1.8300,179.8598,357.8293,0.0000,0.0000,0.0000
5.484,582.4453,-3.8976,269.4612,0.2510,3.8000,-0.4500,2.1625,179.8474,357.9124,0.0000,0.0000,0.0000
5.595,582.2446,-3.8718,269.7068,0.2510,3.8000,-0.4500,2.3191,179.8418,357.9596,0.0000,0.0000,0.0000
5.710,582.0045,-3.8305,269.9993,0.2510,3.8000,-0.4500,2.6310,179.8311,358.1019,0.0000,0.0000,0.0000
5.818,581.8048,-3.7910,270.2428,0.2510,3.8000,-0.4500,2.7764,179.8263,358.1809,0.0000,0.0000,0.0000
5.930,581.5658,-3.7345,270.5333,0.2510,3.8000,-0.4500,2.9872,179.8199,358.3134,0.0000,0.0000,0.0000
6.038,581.3677,-3.6781,270.7736,0.2510,3.8000,-0.4500,3.2579,179.8124,358.5289,0.0000,0.0000,0.0000
6.146,581.1295,-3.6066,271.0618,0.2510,3.8000,-0.4500,3.3833,179.8093,358.6374,0.0000,0.0000,0.0000
6.266,580.8937,-3.5217,271.3471,0.2510,3.8000,-0.4500,3.6685,179.8032,358.9441,0.0000,0.0000,0.0000
6.376,580.6971,-3.4478,271.5846,0.2510,3.8000,-0.4500,3.7717,179.8015,359.0800,0.0000,0.0000,0.0000
6.488,580.4625,-3.3507,271.8677,0.2510,3.8000,-0.4500,3.9197,179.7993,359.2878,0.0000,0.0000,0.0000
6.600,580.2300,-3.2444,272.1490,0.2510,3.8000,-0.4500,4.0882,179.7976,359.5721,0.0000,0.0000,0.0000
6.710,580.0372,-3.1506,272.3825,0.2510,3.8000,-0.4500,4.1980,179.7970,359.8047,0.0000,0.0000,0.0000
6.816,579.8445,-3.0554,272.6161,0.2510,3.8000,-0.4500,4.2324,179.7969,359.8825,0.0000,0.0000,0.0000
6.932,579.6166,-2.9290,272.8945,0.2510,3.8000,-0.4500,4.3740,179.7971,0.2928,0.0000,0.0000,0.0000
7.042,579.3893,-2.8006,273.1731,0.2510,3.8000,-0.4500,4.4305,179.7975,0.5334,0.0000,0.0000,0.0000
7.154,579.2003,-2.6919,273.4053,0.2510,3.8000,-0.4500,4.4435,179.7977,0.6198,0.0000,0.0000,0.0000
7.267,578.9765,-2.5531,273.6831,0.2510,3.8000,-0.4500,4.4843,179.7982,0.9649,0.0000,0.0000,0.0000
7.378,578.7903,-2.4369,273.9150,0.2510,3.8000,-0.4500,4.4845,179.7982,1.1348,0.0000,0.0000,0.0000
7.489,578.5684,-2.2953,274.1937,0.2510,3.8000,-0.4500,4.4802,179.7981,1.3034,0.0000,0.0000,0.0000
7.600,578.3852,-2.1739,274.4264,0.2510,3.8000,-0.4500,4.4492,179.7973,1.5499,0.0000,0.0000,0.0000
7.705,578.1658,-2.0290,274.7065,0.2510,3.8000,-0.4500,4.4122,179.7963,1.7105,0.0000,0.0000,0.0000
7.815,577.9849,-1.9060,274.9409,0.2510,3.8000,-0.4500,4.3390,179.7939,1.9522,0.0000,0.0000,0.0000
7.919,577.8047,-1.7833,275.1766,0.2510,3.8000,-0.4500,4.2411,179.7904,2.1777,0.0000,0.0000,0.0000
8.030,577.5880,-1.6391,275.4605,0.2510,3.8000,-0.4500,4.1992,179.7888,2.2502,0.0000,0.0000,0.0000
8.141,577.3735,-1.4942,275.7466,0.2510,3.8000,-0.4500,4.0637,179.7832,2.4610,0.0000,0.0000,0.0000
8.253,577.1954,-1.3754,275.9864,0.2510,3.8000,-0.4500,3.9624,179.7787,2.5892,0.0000,0.0000,0.0000
8.356,577.0179,-1.2576,276.2281,0.2510,3.8000,-0.4500,3.7903,179.7706,2.7698,0.0000,0.0000,0.0000
8.457,576.8398,-1.1428,276.4705,0.2510,3.8000,-0.4500,3.7299,179.7677,2.8222,0.0000,0.0000,0.0000
8.570,576.6273,-1.0070,276.7639,0.2510,3.8000,-0.4500,3.5293,179.7575,2.9728,0.0000,0.0000,0.0000
8.697,576.4143,-0.8753,277.0577,0.2510,3.8000,-0.4500,3.5293,179.7575,2.9729,0.0000,0.0000,0.0000
8.809,576.2024,-0.7463,277.3547,0.2510,3.8000,-0.4500,3.3129,179.7460,3.0965,0.0000,0.0000,0.0000
8.920,575.9902,-0.6209,277.6521,0.2510,3.8000,-0.4500,3.2356,179.7418,3.1282,0.0000,0.0000,0.0000
9.031,575.8134,-0.5188,277.9009,0.2510,3.8000,-0.4500,3.1578,179.7375,3.1592,0.0000,0.0000,0.0000
9.143,575.6005,-0.3990,278.2002,0.2510,3.8000,-0.4500,3.0765,179.7330,3.1805,0.0000,0.0000,0.0000
9.255,575.4229,-0.3015,278.4503,0.2510,3.8000,-0.4500,2.9958,179.7285,3.1971,0.0000,0.0000,0.0000
