time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.101,599.6597,4.6766,250.0081,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.211,599.2817,4.3500,250.0130,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.320,598.8761,4.0053,250.0167,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.435,598.2952,3.5139,250.0513,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.542,597.7459,3.0463,250.1613,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.667,596.8937,2.3130,250.4886,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.767,596.2337,1.7391,250.8545,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.876,595.5365,1.1280,251.3299,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.988,594.6563,0.3505,252.0391,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.100,593.8906,-0.3304,252.7383,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.224,592.9377,-1.1829,253.6992,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.336,592.0738,-2.0271,254.6489,359.4019,180.0000,0.0053,359.4019,180.0000,0.0053
1.461,591.5004,-2.5666,255.3457,357.3458,179.9995,0.0237,357.3458,179.9995,0.0237
1.586,591.0306,-2.7974,255.9949,355.8944,179.9987,0.0348,355.8944,179.9987,0.0348
1.711,590.7155,-2.7982,256.4822,355.5802,179.9985,0.0355,355.5802,179.9985,0.0355
1.836,590.4418,-2.7409,256.9348,355.5802,179.9985,0.0355,355.5802,179.9985,0.0355
1.936,590.2308,-2.7055,257.2935,355.5802,179.9985,0.0355,355.5802,179.9985,0.0355
2.045,590.0285,-2.7054,257.6394,355.5802,179.9985,0.0355,355.5802,179.9985,0.0355
2.157,589.7924,-2.7578,258.0419,355.5802,179.9985,0.0355,355.5802,179.9985,0.0355
2.268,589.5600,-2.8558,258.4340,355.5802,179.9985,0.0355,355.5802,179.9985,0.0355
2.392,589.3295,-2.9794,258.8184,355.5802,179.9985,0.0355,355.5802,179.9985,0.0355
2.517,589.0997,-3.1094,259.1981,355.5802,179.9985,0.0355,355.5802,179.9985,0.0355
2.643,588.8704,-3.2330,259.5762,355.5802,179.9985,0.0355,355.5802,179.9985,0.0355
2.754,588.6412,-3.3443,259.9552,355.5802,179.9985,0.0355,355.5802,179.9985,0.0355
2.879,588.4117,-3.4425,260.3351,355.9553,179.9980,359.8279,355.9553,179.9980,359.8279
3.004,588.1804,-3.5291,260.6891,356.1123,179.9975,359.7494,356.1123,179.9975,359.7494
3.115,587.9441,-3.6058,260.9833,356.3466,179.9962,359.6341,356.3466,179.9962,359.6341
3.225,587.7434,-3.6644,261.1837,356.6491,179.9939,359.4880,356.6491,179.9939,359.4880
3.339,587.4973,-3.7305,261.3552,356.7231,179.9932,359.4522,356.7231,179.9932,359.4522
3.461,587.2469,-3.7920,261.4199,357.1064,179.9889,359.2610,357.1064,179.9889,359.2610
3.573,586.9972,-3.8501,261.3893,357.1064,179.9889,359.2610,357.1064,179.9889,359.2610
3.698,586.7490,-3.9061,261.2885,357.4146,179.9845,359.0937,357.4146,179.9845,359.0937
3.823,586.5027,-3.9607,261.1368,357.6303,179.9808,358.9689,357.6303,179.9808,358.9689
3.934,586.2596,-4.0138,260.9309,357.6303,179.9808,358.9689,357.6303,179.9808,358.9689
4.045,586.0591,-4.0569,260.7223,357.8468,179.9767,358.8373,357.8468,179.9767,358.8373
4.159,585.8207,-4.1077,260.4396,357.8468,179.9767,358.8373,357.8468,179.9767,358.8373
4.268,585.5816,-4.1581,260.1613,358.0562,179.9722,358.7088,358.0562,179.9722,358.7088
4.392,585.3397,-4.2087,259.9153,358.0562,179.9722,358.7088,358.0562,179.9722,358.7088
4.504,585.1359,-4.2507,259.7372,358.2747,179.9670,358.5906,358.2747,179.9670,358.5906
4.615,584.8889,-4.3003,259.5505,358.2747,179.9670,358.5906,358.2747,179.9670,358.5906
4.726,584.6395,-4.3484,259.3881,358.4243,179.9633,358.5291,358.4243,179.9633,358.5291
4.851,584.3886,-4.3940,259.2446,358.5807,179.9592,358.4846,358.5807,179.9592,358.4846
4.976,584.1366,-4.4365,259.1139,358.7417,179.9549,358.4498,358.7417,179.9549,358.4498
5.101,583.8851,-4.4748,258.9791,358.9052,179.9504,358.4399,358.9052,179.9504,358.4399
5.212,583.6349,-4.5085,258.8273,359.0687,179.9460,358.4457,359.0687,179.9460,358.4457
5.325,583.4278,-4.5327,258.6864,359.2330,179.9415,358.4711,359.2330,179.9415,358.4711
5.434,583.1843,-4.5570,258.4573,359.4751,179.9352,358.5349,359.4751,179.9352,358.5349
5.559,582.9482,-4.5763,258.1312,359.7050,179.9295,358.6372,359.7050,179.9295,358.6372
5.684,582.7187,-4.5909,257.7202,359.7779,179.9278,358.6732,359.7779,179.9278,358.6732
