time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.9008,5.2765,250.4526,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.9008,5.2765,250.4526,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.107,598.6557,5.0566,250.4574,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.235,598.2776,4.7300,250.4617,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.347,597.7817,4.3091,250.4655,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.459,597.2883,3.8939,250.4683,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.570,596.6102,3.3270,250.4714,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.683,595.8486,2.6930,250.4741,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.792,595.1569,2.1191,250.4761,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.904,594.2661,1.3816,250.4775,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.014,593.4802,0.7305,250.4556,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.126,592.4958,-0.0899,250.3493,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.236,591.6466,-0.8029,250.1749,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.362,590.4205,-1.8406,249.7906,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.473,589.6545,-2.5398,249.4817,0.2510,3.8000,-0.4500,358.8681,180.0000,0.0030,0.0000,0.0000,0.0000
1.584,589.0339,-3.0889,249.1926,0.2510,3.8000,-0.4500,354.9667,179.9995,0.0111,0.0000,0.0000,0.0000
1.695,588.6584,-3.2960,248.9855,0.2510,3.8000,-0.4500,352.7542,179.9990,0.0125,0.0000,0.0000,0.0000
1.807,588.3014,-3.3471,248.7603,0.2510,3.8000,-0.4500,351.3805,179.9987,0.0081,0.0000,0.0000,0.0000
1.918,588.0484,-3.3130,248.5815,0.2510,3.8000,-0.4500,350.8408,179.9987,0.0006,0.0000,0.0000,0.0000
2.030,587.7741,-3.2616,248.3647,0.2510,3.8000,-0.4500,350.8408,179.9987,0.0006,0.0000,0.0000,0.0000
2.140,587.5594,-3.2522,248.1791,0.2510,3.8000,-0.4500,350.8408,179.9987,0.0006,0.0000,0.0000,0.0000
2.252,587.3112,-3.2975,247.9472,0.2510,3.8000,-0.4500,350.8408,179.9987,0.0006,0.0000,0.0000,0.0000
2.362,587.0684,-3.3984,247.7063,0.2510,3.8000,-0.4500,350.8408,179.9987,0.0006,0.0000,0.0000,0.0000
2.474,586.8683,-3.5120,247.5012,0.2510,3.8000,-0.4500,350.8408,179.9987,0.0006,0.0000,0.0000,0.0000
2.585,586.6295,-3.6661,247.2531,0.2510,3.8000,-0.4500,350.8408,179.9987,0.0006,0.0000,0.0000,0.0000
2.696,586.4312,-3.7984,247.0463,0.2510,3.8000,-0.4500,350.8409,179.9987,0.0006,0.0000,0.0000,0.0000
2.807,586.1934,-3.9544,246.8000,0.2510,3.8000,-0.4500,350.7616,179.9987,359.9763,0.0000,0.0000,0.0000
2.918,585.9954,-4.0775,246.5958,0.2510,3.8000,-0.4500,350.7617,179.9987,359.9763,0.0000,0.0000,0.0000
3.031,585.7571,-4.2198,246.3573,0.2510,3.8000,-0.4500,350.6854,179.9988,359.9443,0.0000,0.0000,0.0000
3.141,585.5581,-4.3356,246.1659,0.2510,3.8000,-0.4500,350.6102,179.9989,359.9119,0.0000,0.0000,0.0000
3.252,585.3188,-4.4726,245.9439,0.2510,3.8000,-0.4500,350.6103,179.9989,359.9119,0.0000,0.0000,0.0000
3.362,585.1187,-4.5881,245.7639,0.2510,3.8000,-0.4500,350.6103,179.9989,359.9119,0.0000,0.0000,0.0000
3.474,584.8779,-4.7312,245.5522,0.2510,3.8000,-0.4500,350.5443,179.9990,359.8611,0.0000,0.0000,0.0000
3.585,584.6360,-4.8785,245.3505,0.2510,3.8000,-0.4500,350.4796,179.9992,359.8100,0.0000,0.0000,0.0000
3.696,584.4300,-5.0095,245.2321,0.2510,3.8000,-0.4500,350.4796,179.9992,359.8100,0.0000,0.0000,0.0000
3.821,584.1778,-5.1846,245.1707,0.2510,3.8000,-0.4500,350.4295,179.9994,359.7455,0.0000,0.0000,0.0000
3.933,583.9258,-5.3757,245.1849,0.2510,3.8000,-0.4500,350.3831,179.9996,359.6808,0.0000,0.0000,0.0000
4.044,583.6754,-5.5775,245.2545,0.2510,3.8000,-0.4500,350.3830,179.9996,359.6808,0.0000,0.0000,0.0000
4.155,583.4667,-5.7548,245.3414,0.2510,3.8000,-0.4500,350.3413,179.9999,359.5230,0.0000,0.0000,0.0000
4.267,583.2202,-5.9718,245.4907,0.2510,3.8000,-0.4500,350.3243,180.0000,359.4457,0.0000,0.0000,0.0000
4.393,582.9792,-6.1975,245.7133,0.2510,3.8000,-0.4500,350.3243,180.0001,359.4457,0.0000,0.0000,0.0000
4.502,582.7416,-6.4355,245.9991,0.2510,3.8000,-0.4500,350.4306,179.9987,359.1364,0.0000,0.0000,0.0000
4.615,582.5480,-6.6336,246.2751,0.2510,3.8000,-0.4500,350.4799,179.9979,359.0726,0.0000,0.0000,0.0000
4.724,582.3171,-6.8721,246.6368,0.2510,3.8000,-0.4500,350.7210,179.9934,358.8394,0.0000,0.0000,0.0000
4.836,582.1268,-7.0664,246.9566,0.2510,3.8000,-0.4500,350.9496,179.9885,358.7137,0.0000,0.0000,0.0000
4.946,581.8975,-7.2900,247.3233,0.2510,3.8000,-0.4500,351.4320,179.9767,358.5373,0.0000,0.0000,0.0000
5.057,581.7033,-7.4492,247.4418,0.2510,3.8000,-0.4500,351.5908,179.9725,358.5050,0.0000,0.0000,0.0000
5.169,581.4761,-7.5917,247.2837,0.2510,3.8000,-0.4500,352.0207,179.9611,358.4869,0.0000,0.0000,0.0000
5.281,581.2931,-7.6793,246.9582,0.2510,3.8000,-0.4500,352.1851,179.9568,358.5131,0.0000,0.0000,0.0000
5.391,581.0785,-7.7582,246.4183,0.2510,3.8000,-0.4500,352.2661,179.9547,358.5294,0.0000,0.0000,0.0000
5.502,580.8684,-7.8110,245.7793,0.2510,3.8000,-0.4500,352.6368,179.9457,358.7204,0.0000,0.0000,0.0000
5.612,580.6931,-7.8511,245.2268,0.2510,3.8000,-0.4500,352.6368,179.9457,358.7204,0.0000,0.0000,0.0000
5.723,580.4753,-7.8990,244.7044,0.2510,3.8000,-0.4500,352.8734,179.9408,358.9721,0.0000,0.0000,0.0000
5.835,580.2827,-7.9537,244.4609,0.2510,3.8000,-0.4500,353.0911,179.9374,359.2202,0.0000,0.0000,0.0000
5.945,580.0488,-8.0363,244.3933,0.2510,3.8000,-0.4500,353.3881,179.9341,359.5259,0.0000,0.0000,0.0000
6.056,579.8556,-8.1110,244.4821,0.2510,3.8000,-0.4500,353.7285,179.9322,359.8154,0.0000,0.0000,0.0000
6.168,579.6270,-8.1988,244.7107,0.2510,3.8000,-0.4500,354.2092,179.9321,0.1457,0.0000,0.0000,0.0000
6.292,579.4019,-8.2743,245.0280,0.2510,3.8000,-0.4500,354.7789,179.9352,0.4796,0.0000,0.0000,0.0000
6.404,579.1799,-8.3291,245.4005,0.2510,3.8000,-0.4500,355.4320,179.9427,0.8324,0.0000,0.0000,0.0000
6.515,578.9973,-8.3550,245.7371,0.2510,3.8000,-0.4500,356.0296,179.9531,1.1460,0.0000,0.0000,0.0000
6.625,578.7809,-8.3593,246.1599,0.2510,3.8000,-0.4500,356.7968,179.9712,1.5478,0.0000,0.0000,0.0000
6.736,578.6031,-8.3392,246.5218,0.2510,3.8000,-0.4500,357.4671,179.9914,1.9031,0.0000,0.0000,0.0000
6.861,578.3932,-8.2860,246.9620,0.2510,3.8000,-0.4500,358.2964,180.0222,2.3518,0.0000,0.0000,0.0000
6.973,578.1873,-8.2010,247.4047,0.2510,3.8000,-0.4500,359.1407,180.0603,2.8214,0.0000,0.0000,0.0000
7.084,577.9859,-8.0848,247.8461,0.2510,3.8000,-0.4500,359.9884,180.1057,3.3073,0.0000,0.0000,0.0000
7.194,577.8216,-7.9648,248.2113,0.2510,3.8000,-0.4500,0.6895,180.1487,3.7211,0.0000,0.0000,0.0000
7.305,577.6293,-7.7940,248.6462,0.2510,3.8000,-0.4500,1.5158,180.2061,4.2239,0.0000,0.0000,0.0000
7.417,577.4731,-7.6302,249.0057,0.2510,3.8000,-0.4500,2.1859,180.2581,4.6442,0.0000,0.0000,0.0000
7.529,577.2914,-7.4093,249.4336,0.2510,3.8000,-0.4500,2.9608,180.3245,5.1456,0.0000,0.0000,0.0000
7.639,577.1448,-7.2062,249.7885,0.2510,3.8000,-0.4500,3.5772,180.3823,5.5573,0.0000,0.0000,0.0000
7.752,576.9749,-6.9407,250.2139,0.2510,3.8000,-0.4500,4.2763,180.4535,6.0394,0.0000,0.0000,0.0000
7.861,576.8384,-6.7028,250.5682,0.2510,3.8000,-0.4500,4.8214,180.5132,6.4278,0.0000,0.0000,0.0000
7.972,576.6806,-6.3989,250.9931,0.2510,3.8000,-0.4500,5.4260,180.5840,6.8740,0.0000,0.0000,0.0000
8.084,576.5292,-6.0773,251.4174,0.2510,3.8000,-0.4500,5.9722,180.6522,7.2941,0.0000,0.0000,0.0000
8.195,576.4076,-5.7975,251.7703,0.2510,3.8000,-0.4500,6.3797,180.7058,7.6214,0.0000,0.0000,0.0000
8.306,576.2666,-5.4495,252.1930,0.2510,3.8000,-0.4500,6.8086,180.7650,7.9838,0.0000,0.0000,0.0000
8.418,576.1525,-5.1519,252.5455,0.2510,3.8000,-0.4500,7.0588,180.8008,8.2089,0.0000,0.0000,0.0000
8.529,576.0178,-4.7896,252.9697,0.2510,3.8000,-0.4500,7.1772,180.8181,8.3221,0.0000,0.0000,0.0000
8.639,575.9098,-4.4784,253.3214,0.2510,3.8000,-0.4500,7.4117,180.8532,8.5638,0.0000,0.0000,0.0000
8.752,575.7798,-4.1065,253.7465,0.2510,3.8000,-0.4500,7.4117,180.8532,8.5638,0.0000,0.0000,0.0000
8.861,575.6743,-3.7913,254.0997,0.2510,3.8000,-0.4500,7.5147,180.8690,8.6931,0.0000,0.0000,0.0000
8.986,575.5257,-3.3532,254.5940,0.2510,3.8000,-0.4500,7.5147,180.8690,8.6931,0.0000,0.0000,0.0000
9.097,575.4197,-3.0422,254.9438,0.2510,3.8000,-0.4500,7.5147,180.8690,8.6932,0.0000,0.0000,0.0000
9.208,575.2916,-2.6732,255.3600,0.2510,3.8000,-0.4500,7.5147,180.8690,8.6932,0.0000,0.0000,0.0000
9.321,575.1838,-2.3708,255.7050,0.2510,3.8000,-0.4500,7.5147,180.8690,8.6932,0.0000,0.0000,0.0000
9.431,575.0530,-2.0159,256.1183,0.2510,3.8000,-0.4500,7.5147,180.8690,8.6931,0.0000,0.0000,0.0000
9.556,574.9200,-1.6715,256.5321,0.2510,3.8000,-0.4500,7.5147,180.8690,8.6932,0.0000,0.0000,0.0000
9.667,574.7856,-1.3400,256.9460,0.2510,3.8000,-0.4500,7.0454,180.7959,8.8549,0.0000,0.0000,0.0000
9.779,574.6693,-1.0774,257.2748,0.2510,3.8000,-0.4500,6.7864,180.7552,8.8391,0.0000,0.0000,0.0000
9.890,574.5229,-0.7813,257.6493,0.2510,3.8000,-0.4500,6.2638,180.6739,8.7099,0.0000,0.0000,0.0000
10.001,574.3956,-0.5491,257.9456,0.2510,3.8000,-0.4500,5.8514,180.6110,8.5318,0.0000,0.0000,0.0000
10.112,574.2363,-0.2878,258.2875,0.2510,3.8000,-0.4500,5.3735,180.5401,8.2613,0.0000,0.0000,0.0000
10.223,574.0705,-0.0456,258.6186,0.2510,3.8000,-0.4500,4.9018,180.4727,7.9445,0.0000,0.0000,0.0000
10.334,573.9271,0.1415,258.8886,0.2510,3.8000,-0.4500,4.5110,180.4189,7.6510,0.0000,0.0000,0.0000
10.459,573.7479,0.3480,259.1896,0.2510,3.8000,-0.4500,4.0484,180.3582,7.2674,0.0000,0.0000,0.0000
10.570,573.5592,0.5340,259.4463,0.2510,3.8000,-0.4500,3.6011,180.3026,6.8532,0.0000,0.0000,0.0000
10.681,573.3953,0.6742,259.6305,0.2510,3.8000,-0.4500,3.2483,180.2613,6.4878,0.0000,0.0000,0.0000
10.792,573.1915,0.8251,259.7943,0.2510,3.8000,-0.4500,2.8565,180.2182,6.0275,0.0000,0.0000,0.0000
10.917,572.9804,0.9550,259.8114,0.2510,3.8000,-0.4500,2.5086,180.1829,5.5485,0.0000,0.0000,0.0000
11.028,572.7634,1.0676,259.7462,0.2510,3.8000,-0.4500,2.2120,180.1553,5.0574,0.0000,0.0000,0.0000
11.140,572.5782,1.1500,259.6623,0.2510,3.8000,-0.4500,2.0029,180.1375,4.6400,0.0000,0.0000,0.0000
11.250,572.3514,1.2364,259.5476,0.2510,3.8000,-0.4500,1.7938,180.1214,4.1280,0.0000,0.0000,0.0000
11.362,572.1198,1.3096,259.4304,0.2510,3.8000,-0.4500,1.6193,180.1096,3.6023,0.0000,0.0000,0.0000
11.472,571.9233,1.3602,259.3348,0.2510,3.8000,-0.4500,1.4853,180.1017,3.1531,0.0000,0.0000,0.0000
11.583,571.6837,1.4079,259.2245,0.2510,3.8000,-0.4500,1.3232,180.0936,2.6010,0.0000,0.0000,0.0000
11.695,571.4809,1.4362,259.1373,0.2510,3.8000,-0.4500,1.1807,180.0877,2.1306,0.0000,0.0000,0.0000
11.819,571.2341,1.4561,259.0396,0.2510,3.8000,-0.4500,0.9963,180.0817,1.5551,0.0000,0.0000,0.0000
11.930,570.9838,1.4600,258.9495,0.2510,3.8000,-0.4500,0.7952,180.0773,0.9694,0.0000,0.0000,0.0000
12.043,570.7300,1.4472,258.8714,0.2510,3.8000,-0.4500,0.5764,180.0748,0.3758,0.0000,0.0000,0.0000
12.166,570.4723,1.4174,258.8171,0.2510,3.8000,-0.4500,0.3391,180.0745,359.7767,0.0000,0.0000,0.0000
12.278,570.2545,1.3790,258.7912,0.2510,3.8000,-0.4500,0.1266,180.0762,359.2748,0.0000,0.0000,0.0000
12.388,569.9910,1.3164,258.7844,0.2510,3.8000,-0.4500,359.8534,180.0811,358.6718,0.0000,0.0000,0.0000
12.500,569.7711,1.2501,258.7966,0.2510,3.8000,-0.4500,359.6107,180.0878,358.1711,0.0000,0.0000,0.0000
12.611,569.5076,1.1536,258.8307,0.2510,3.8000,-0.4500,359.3025,180.0993,357.5762,0.0000,0.0000,0.0000
12.722,569.2469,1.0382,258.9046,0.2510,3.8000,-0.4500,358.9773,180.1148,356.9918,0.0000,0.0000,0.0000
12.833,569.0334,0.9272,259.0107,0.2510,3.8000,-0.4500,358.6933,180.1309,356.5159,0.0000,0.0000,0.0000
12.945,568.7821,0.7757,259.1883,0.2510,3.8000,-0.4500,358.3363,180.1544,355.9615,0.0000,0.0000,0.0000
13.055,568.5762,0.6343,259.3700,0.2510,3.8000,-0.4500,358.0260,180.1775,355.5163,0.0000,0.0000,0.0000
13.182,568.2926,0.4139,259.6616,0.2510,3.8000,-0.4500,357.5770,180.2151,354.9241,0.0000,0.0000,0.0000
13.291,568.0930,0.2411,259.8885,0.2510,3.8000,-0.4500,357.2506,180.2453,354.5270,0.0000,0.0000,0.0000
13.403,567.8563,0.0184,260.1732,0.2510,3.8000,-0.4500,356.8593,180.2844,354.0830,0.0000,0.0000,0.0000
13.514,567.6614,-0.1791,260.4176,0.2510,3.8000,-0.4500,356.5384,180.3187,353.7427,0.0000,0.0000,0.0000
13.625,567.4297,-0.4290,260.7174,0.2510,3.8000,-0.4500,356.1650,180.3610,353.3731,0.0000,0.0000,0.0000
13.736,567.2388,-0.6441,260.9709,0.2510,3.8000,-0.4500,355.9824,180.3825,353.2041,0.0000,0.0000,0.0000
13.860,567.0109,-0.9170,261.2803,0.2510,3.8000,-0.4500,355.5981,180.4296,352.8735,0.0000,0.0000,0.0000
