time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.9048,4.8965,250.0026,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.9048,4.8965,250.0026,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.102,599.7103,4.7210,250.0067,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.210,599.3533,4.4113,250.0110,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.321,598.9633,4.0792,250.0143,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.432,598.3964,3.6013,250.0178,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.542,597.8500,3.1438,250.0204,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.643,597.2433,2.6379,250.0228,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.751,596.4434,1.9734,250.0253,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.863,595.7233,1.3767,250.0272,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.973,594.8021,0.6147,250.0274,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.085,593.9941,-0.0547,249.9984,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.197,592.9863,-0.8947,249.8800,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.309,591.9436,-1.7705,249.6520,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.419,591.0665,-2.5123,249.3796,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.531,590.2993,-3.2124,249.0725,356.8428,179.9998,0.0079,356.8428,179.9998,0.0079
1.641,589.8553,-3.5389,248.8541,353.9225,179.9992,0.0127,353.9225,179.9992,0.0127
1.753,589.4518,-3.6852,248.6246,351.9113,179.9988,0.0114,351.9113,179.9988,0.0114
1.864,589.1769,-3.6861,248.4490,351.0960,179.9987,0.0055,351.0960,179.9987,0.0055
1.976,588.8877,-3.6391,248.2433,350.8169,179.9986,0.0004,350.8169,179.9986,0.0004
2.088,588.6230,-3.6103,248.0339,350.8169,179.9986,0.0004,350.8169,179.9986,0.0004
