time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.109,598.6015,5.0092,250.4589,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.221,598.2777,4.7300,250.4630,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.321,597.8721,4.3853,250.4667,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.433,597.2884,3.8939,250.4707,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.556,596.6104,3.3270,250.4742,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.681,595.8488,2.6930,250.4773,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.805,594.8671,1.8789,250.4805,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.917,594.1118,1.2539,250.4825,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.042,593.1546,0.4616,250.5084,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.167,592.0259,-0.4811,250.6708,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.292,591.3511,-1.0717,250.8977,0.2510,3.8000,-0.4500,358.9848,180.0000,0.0043,0.0000,0.0000,0.0000
1.404,590.8840,-1.3491,251.1810,0.2510,3.8000,-0.4500,357.8342,179.9998,0.0093,0.0000,0.0000,0.0000
1.515,590.5822,-1.4015,251.4480,0.2510,3.8000,-0.4500,357.2893,179.9997,0.0117,0.0000,0.0000,0.0000
1.628,590.2782,-1.3471,251.7916,0.2510,3.8000,-0.4500,357.2893,179.9997,0.0117,0.0000,0.0000,0.0000
1.737,590.0527,-1.2751,252.0928,0.2510,3.8000,-0.4500,357.2893,179.9997,0.0117,0.0000,0.0000,0.0000
1.849,589.8005,-1.2123,252.4642,0.2510,3.8000,-0.4500,357.2893,179.9997,0.0117,0.0000,0.0000,0.0000
1.959,589.5994,-1.1996,252.7779,0.2510,3.8000,-0.4500,357.2893,179.9997,0.0117,0.0000,0.0000,0.0000
2.071,589.3638,-1.2338,253.1567,0.2510,3.8000,-0.4500,357.2893,179.9997,0.0117,0.0000,0.0000,0.0000
2.196,589.1320,-1.3090,253.5365,0.2510,3.8000,-0.4500,357.2893,179.9997,0.0117,0.0000,0.0000,0.0000
