time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.108,599.6597,4.6766,250.0081,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.221,599.2817,4.3500,250.0130,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.346,598.7859,3.9291,250.0174,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.472,598.0764,3.3329,250.0219,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.582,597.4930,2.8458,250.0247,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.696,596.7192,2.2014,250.0350,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.805,596.0209,1.6198,250.0687,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.916,595.1275,0.8739,250.1544,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.041,594.1811,0.0815,250.2943,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.167,593.2019,-0.7405,250.4852,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.278,592.4758,-1.3712,250.6612,359.2155,180.0000,0.0035,359.2155,180.0000,0.0035
1.389,592.0471,-1.6544,250.7927,358.1479,179.9999,0.0084,358.1479,179.9999,0.0084
1.514,591.5909,-1.7582,250.9699,357.2827,179.9997,0.0123,357.2827,179.9997,0.0123
1.628,591.3218,-1.7117,251.0945,357.2827,179.9997,0.0123,357.2827,179.9997,0.0123
1.737,591.0318,-1.6163,251.2417,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
1.862,590.7616,-1.5408,251.3849,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
1.972,590.5021,-1.5159,251.5252,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
2.084,590.2906,-1.5358,251.6423,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
2.194,590.0399,-1.5967,251.7847,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
2.295,589.8326,-1.6657,251.9052,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
2.403,589.6262,-1.7408,252.0272,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
2.528,589.3792,-1.8293,252.1755,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
2.654,589.0915,-1.9226,252.3508,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
2.766,588.8861,-1.9818,252.4769,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
2.889,588.6396,-2.0464,252.6290,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
3.000,588.3932,-2.1069,252.7828,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
3.125,588.1469,-2.1658,252.9392,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
3.250,587.9008,-2.2251,253.0981,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
3.361,587.6547,-2.2853,253.2588,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
3.486,587.4086,-2.3464,253.4205,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
3.611,587.1622,-2.4079,253.5829,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
3.737,586.8745,-2.4794,253.7712,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
3.848,586.6674,-2.5294,253.8900,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
3.959,586.4158,-2.5872,253.9996,357.2827,179.9997,0.0122,357.2827,179.9997,0.0122
4.070,586.2037,-2.6336,254.0647,357.3778,179.9996,359.8760,357.3778,179.9996,359.8760
4.181,585.9467,-2.6874,254.1179,357.4287,179.9995,359.8134,357.4287,179.9995,359.8134
4.306,585.6877,-2.7394,254.1527,357.4850,179.9992,359.7524,357.4850,179.9992,359.7524
4.430,585.4280,-2.7898,254.1754,357.5978,179.9986,359.6338,357.5978,179.9986,359.6338
4.545,585.1685,-2.8385,254.1783,357.5978,179.9986,359.6338,357.5978,179.9986,359.6338
4.653,584.9193,-2.8825,254.0426,357.6642,179.9982,359.5829,357.6642,179.9982,359.5829
4.778,584.6840,-2.9200,253.7206,357.8031,179.9970,359.4900,357.8031,179.9970,359.4900
4.903,584.4589,-2.9521,253.2536,357.8031,179.9970,359.4900,357.8031,179.9970,359.4900
5.028,584.2404,-2.9799,252.6882,357.8031,179.9971,359.4900,357.8031,179.9971,359.4900
5.153,583.9906,-3.0084,251.9520,357.8031,179.9971,359.4900,357.8031,179.9971,359.4900
5.278,583.7785,-3.0301,251.2826,357.8031,179.9971,359.4900,357.8031,179.9971,359.4900
5.378,583.6028,-3.0465,250.7090,357.8031,179.9971,359.4900,357.8031,179.9971,359.4900
5.486,583.4279,-3.0615,250.1266,357.8031,179.9971,359.4900,357.8031,179.9971,359.4900
5.611,583.2187,-3.0777,249.4203,357.8031,179.9971,359.4900,357.8031,179.9971,359.4900
5.723,583.0101,-3.0918,248.7094,357.8031,179.9971,359.4900,357.8031,179.9971,359.4900
