time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.9048,4.8965,250.0026,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.9048,4.8965,250.0026,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.102,599.7103,4.7210,250.0067,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.215,599.4215,4.4699,250.0103,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.328,598.9633,4.0792,250.0143,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.439,598.4979,3.6866,250.0173,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.543,597.8506,3.1438,250.0260,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.647,597.2452,2.6379,250.0432,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.758,596.5862,2.0882,250.0721,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.870,595.7325,1.3767,250.1234,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.982,594.8176,0.6147,250.1926,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.093,594.0135,-0.0547,250.2635,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.204,593.0041,-0.8947,250.3631,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.316,592.2588,-1.5380,250.4435,359.7120,180.0000,0.0012,359.7120,180.0000,0.0012
1.427,591.6439,-2.0407,250.5215,357.7502,179.9998,0.0095,357.7502,179.9998,0.0095
1.538,591.2642,-2.2281,250.5833,356.5054,179.9996,0.0143,356.5054,179.9996,0.0143
1.650,590.8964,-2.2654,250.6586,355.7051,179.9993,0.0161,355.7051,179.9993,0.0161
1.761,590.5814,-2.2054,250.7337,355.6228,179.9993,0.0161,355.6228,179.9993,0.0161
1.872,590.3412,-2.1459,250.7939,355.6228,179.9993,0.0161,355.6228,179.9993,0.0161
1.983,590.0675,-2.1088,250.8612,355.6228,179.9993,0.0161,355.6228,179.9993,0.0161
2.095,589.8463,-2.1197,250.9127,355.6228,179.9993,0.0161,355.6228,179.9993,0.0161
