time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.108,598.6557,5.0566,250.4581,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.220,598.2777,4.7300,250.4630,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.333,597.7819,4.3091,250.4674,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.443,597.2886,3.8939,250.4686,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.555,596.6160,3.3270,250.4129,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.667,596.0004,2.8030,250.2603,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.778,595.2064,2.1191,249.9190,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.890,594.3605,1.3816,249.3982,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.999,593.6207,0.7305,248.8315,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.112,592.6966,-0.0900,248.0026,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.224,591.9724,-0.7380,247.2733,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.333,591.3744,-1.2430,246.6195,0.2510,3.8000,-0.4500,358.2436,180.0000,0.0028,0.0000,0.0000,0.0000
1.445,591.0127,-1.4316,246.1889,0.2510,3.8000,-0.4500,356.9536,179.9999,0.0046,0.0000,0.0000,0.0000
1.556,590.6689,-1.4544,245.7480,0.2510,3.8000,-0.4500,356.1045,179.9998,0.0055,0.0000,0.0000,0.0000
1.668,590.4254,-1.3795,245.4125,0.2510,3.8000,-0.4500,356.0169,179.9998,0.0055,0.0000,0.0000,0.0000
1.779,590.1619,-1.2640,245.0278,0.2510,3.8000,-0.4500,356.0169,179.9998,0.0055,0.0000,0.0000,0.0000
1.890,589.9158,-1.1778,244.6489,0.2510,3.8000,-0.4500,356.0169,179.9998,0.0055,0.0000,0.0000,0.0000
2.001,589.7181,-1.1467,244.3304,0.2510,3.8000,-0.4500,356.0169,179.9998,0.0055,0.0000,0.0000,0.0000
2.114,589.4862,-1.1575,243.9404,0.2510,3.8000,-0.4500,356.0169,179.9998,0.0055,0.0000,0.0000,0.0000
