time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.104,599.6597,4.6766,250.0081,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.208,599.3533,4.4113,250.0122,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.318,598.8761,4.0053,250.0167,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.431,598.3966,3.6013,250.0200,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.542,597.7335,3.0463,250.0213,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.653,597.1158,2.5313,250.0179,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.764,596.3052,1.8570,250.0074,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.876,595.4268,1.1280,249.9894,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.987,594.6489,0.4832,249.9688,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.099,593.6663,-0.3304,249.9380,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.211,592.8105,-1.0383,249.9083,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.321,591.7441,-1.9197,249.8691,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.432,590.8408,-2.6656,249.8347,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.543,590.0451,-3.4174,249.8084,356.8152,179.9998,0.0082,356.8152,179.9998,0.0082
1.655,589.5803,-3.7622,249.8070,353.8629,179.9992,0.0129,353.8629,179.9992,0.0129
1.764,589.1538,-3.9282,249.8271,351.8231,179.9987,0.0102,351.8231,179.9987,0.0102
1.877,588.8063,-3.9479,249.8589,350.8857,179.9987,-0.0003,350.8857,179.9987,-0.0003
1.989,588.5499,-3.9339,249.8851,350.7917,179.9987,-0.0027,350.7917,179.9987,-0.0027
2.098,588.2642,-3.9440,249.9087,350.7917,179.9987,-0.0027,350.7917,179.9987,-0.0027
2.209,588.0363,-3.9971,249.9191,350.7917,179.9987,-0.0027,350.7917,179.9987,-0.0027
2.321,587.7698,-4.1169,249.9206,350.7917,179.9987,-0.0027,350.7917,179.9987,-0.0027
2.432,587.5509,-4.2535,249.9149,350.7917,179.9987,-0.0027,350.7917,179.9987,-0.0027
2.541,587.2901,-4.4441,249.9062,350.7917,179.9987,-0.0027,350.7917,179.9987,-0.0027
2.655,587.0732,-4.6123,249.9016,350.7917,179.9987,-0.0027,350.7917,179.9987,-0.0027
2.765,586.8132,-4.8140,249.9008,350.7917,179.9987,-0.0027,350.7917,179.9987,-0.0027
2.876,586.5532,-5.0089,249.9053,350.7917,179.9987,-0.0027,350.7917,179.9987,-0.0027
2.986,586.3365,-5.1647,249.9123,350.7917,179.9986,-0.0027,350.7917,179.9986,-0.0027
3.098,586.0762,-5.3455,249.9235,350.7917,179.9986,-0.0027,350.7917,179.9986,-0.0027
3.210,585.8590,-5.4929,249.9335,350.7917,179.9986,-0.0027,350.7917,179.9986,-0.0027
3.311,585.6416,-5.6390,249.9420,350.7385,179.9987,359.8445,350.7385,179.9987,359.8445
3.418,585.3806,-5.8142,249.9485,350.7385,179.9987,359.8445,350.7385,179.9987,359.8445
3.529,585.1629,-5.9612,249.9513,350.7379,179.9987,359.5940,350.7379,179.9987,359.5940
3.641,584.9022,-6.1387,249.9505,350.7379,179.9987,359.5940,350.7379,179.9987,359.5940
3.752,584.6852,-6.2876,249.9468,350.7749,179.9984,359.4346,350.7749,179.9984,359.4346
3.862,584.4254,-6.4665,249.9381,350.8597,179.9974,359.2067,350.8597,179.9974,359.2067
3.974,584.2091,-6.6154,249.9284,350.9459,179.9961,359.0630,350.9459,179.9961,359.0630
4.085,583.9502,-6.7952,249.9317,351.0359,179.9945,358.9246,351.0359,179.9945,358.9246
4.197,583.6917,-6.9759,249.9501,351.1966,179.9911,358.7439,351.1966,179.9911,358.7439
4.307,583.4767,-7.1260,249.9734,351.3168,179.9883,358.6300,351.3168,179.9883,358.6300
4.419,583.2191,-7.3043,250.0084,351.5862,179.9814,358.4402,351.5862,179.9814,358.4402
4.541,582.9619,-7.4795,250.0499,351.7312,179.9773,358.3619,351.7312,179.9773,358.3619
4.653,582.7478,-7.6222,250.0883,352.1252,179.9653,358.2114,352.1252,179.9653,358.2114
4.766,582.4914,-7.7884,250.1385,352.2940,179.9600,358.1788,352.2940,179.9600,358.1788
4.880,582.2350,-7.9478,250.1923,352.7187,179.9461,358.1296,352.7187,179.9461,358.1296
4.983,582.0214,-8.0743,250.2394,353.0457,179.9353,358.1332,353.0457,179.9353,358.1332
5.086,581.8077,-8.1944,250.2878,353.3835,179.9244,358.1731,353.3835,179.9244,358.1731
5.195,581.5939,-8.3072,250.3370,353.7951,179.9114,358.2536,353.7951,179.9114,358.2536
5.308,581.3373,-8.4318,250.3956,354.1997,179.8994,358.3714,354.1997,179.8994,358.3714
5.418,581.0804,-8.5432,250.4530,354.6934,179.8861,358.5531,354.6934,179.8861,358.5531
