time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.108,598.6015,5.0092,250.4589,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.208,598.2777,4.7300,250.4630,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.320,597.8721,4.3853,250.4667,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.432,597.2884,3.8939,250.4707,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.543,596.7295,3.4263,250.4736,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.668,595.8488,2.6930,250.4773,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.779,595.1570,2.1191,250.4796,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.890,594.2662,1.3816,250.4821,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.002,593.4781,0.7305,250.4839,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.113,592.4838,-0.0899,250.4859,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.224,591.6188,-0.8029,250.4874,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.336,590.5417,-1.6897,250.4869,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.446,589.5162,-2.5847,250.4503,0.2510,3.8000,-0.4500,359.4231,180.0000,0.0017,0.0000,0.0000,0.0000
1.557,588.9255,-3.1555,250.3979,0.2510,3.8000,-0.4500,356.1332,179.9996,0.0100,0.0000,0.0000,0.0000
1.684,588.4214,-3.5105,250.2968,0.2510,3.8000,-0.4500,353.0057,179.9990,0.0133,0.0000,0.0000,0.0000
1.794,588.0419,-3.6093,250.1627,0.2510,3.8000,-0.4500,351.4185,179.9987,0.0076,0.0000,0.0000,0.0000
1.905,587.7290,-3.5863,250.0025,0.2510,3.8000,-0.4500,350.7144,179.9986,-0.0047,0.0000,0.0000,0.0000
2.031,587.4520,-3.5419,249.8151,0.2510,3.8000,-0.4500,350.7144,179.9986,-0.0047,0.0000,0.0000,0.0000
2.141,587.2364,-3.5356,249.6381,0.2510,3.8000,-0.4500,350.7144,179.9986,-0.0047,0.0000,0.0000,0.0000
