time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.106,598.6016,5.0092,250.4596,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.219,598.2778,4.7300,250.4642,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.331,597.7820,4.3091,250.4692,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.443,597.1819,3.8045,250.4736,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.555,596.6127,3.3270,250.4546,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.667,595.8652,2.6930,250.2977,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.777,595.1983,2.1191,250.0110,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.889,594.3537,1.3816,249.4625,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.000,593.4673,0.5966,248.6945,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.111,592.7009,-0.0899,247.8967,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.221,591.9811,-0.7303,247.0404,0.2510,3.8000,-0.4500,359.2636,180.0000,0.0013,0.0000,0.0000,0.0000
1.334,591.5655,-1.0140,246.4733,0.2510,3.8000,-0.4500,358.2706,180.0000,0.0028,0.0000,0.0000,0.0000
1.446,591.1885,-1.1035,245.8887,0.2510,3.8000,-0.4500,357.5556,179.9999,0.0037,0.0000,0.0000,0.0000
1.554,590.9321,-1.0430,245.4457,0.2510,3.8000,-0.4500,357.5556,179.9999,0.0037,0.0000,0.0000,0.0000
1.667,590.6627,-0.9084,244.9449,0.2510,3.8000,-0.4500,357.5556,179.9999,0.0037,0.0000,0.0000,0.0000
1.778,590.4562,-0.7993,244.5411,0.2510,3.8000,-0.4500,357.5556,179.9999,0.0037,0.0000,0.0000,0.0000
1.888,590.2203,-0.7097,244.0641,0.2510,3.8000,-0.4500,357.5556,179.9999,0.0037,0.0000,0.0000,0.0000
2.001,589.9918,-0.6766,243.5886,0.2510,3.8000,-0.4500,357.5556,179.9999,0.0037,0.0000,0.0000,0.0000
2.111,589.8072,-0.6838,243.1451,0.2510,3.8000,-0.4500,357.5556,179.9999,0.0037,0.0000,0.0000,0.0000
2.224,589.5933,-0.7157,242.5159,0.2510,3.8000,-0.4500,357.5556,179.9999,0.0037,0.0000,0.0000,0.0000
2.334,589.4186,-0.7502,241.9447,0.2510,3.8000,-0.4500,357.5556,179.9999,0.0037,0.0000,0.0000,0.0000
2.444,589.2111,-0.7903,241.2317,0.2510,3.8000,-0.4500,357.5556,179.9999,0.0037,0.0000,0.0000,0.0000
2.556,589.0393,-0.8178,240.6249,0.2510,3.8000,-0.4500,357.5556,179.9999,0.0037,0.0000,0.0000,0.0000
2.667,588.8326,-0.8429,239.9141,0.2510,3.8000,-0.4500,357.5556,179.9999,0.0037,0.0000,0.0000,0.0000
2.777,588.6589,-0.8591,239.3516,0.2510,3.8000,-0.4500,357.5556,179.9999,0.0037,0.0000,0.0000,0.0000
2.888,588.4473,-0.8763,238.7323,0.2510,3.8000,-0.4500,357.5556,179.9999,0.0037,0.0000,0.0000,0.0000
3.002,588.2318,-0.8947,238.1770,0.2510,3.8000,-0.4500,357.5556,179.9999,0.0037,0.0000,0.0000,0.0000
3.111,588.0496,-0.9125,237.7570,0.2510,3.8000,-0.4500,357.5556,179.9999,0.0037,0.0000,0.0000,0.0000
3.224,587.8262,-0.9390,237.3228,0.2510,3.8000,-0.4500,357.5556,179.9999,0.0037,0.0000,0.0000,0.0000
3.332,587.6353,-0.9664,237.0281,0.2510,3.8000,-0.4500,357.5556,179.9999,0.0037,0.0000,0.0000,0.0000
3.460,587.3613,-1.0131,236.7040,0.2510,3.8000,-0.4500,357.4730,179.9999,-0.0014,0.0000,0.0000,0.0000
3.569,587.1616,-1.0505,236.5243,0.2510,3.8000,-0.4500,357.4730,179.9999,-0.0014,0.0000,0.0000,0.0000
3.680,586.9177,-1.1005,236.3610,0.2510,3.8000,-0.4500,357.3894,179.9999,359.9911,0.0000,0.0000,0.0000
3.791,586.7116,-1.1444,236.2581,0.2510,3.8000,-0.4500,357.3894,179.9999,359.9911,0.0000,0.0000,0.0000
3.901,586.4612,-1.2008,236.1740,0.2510,3.8000,-0.4500,357.3088,180.0000,359.9824,0.0000,0.0000,0.0000
4.015,586.2507,-1.2504,236.1530,0.2510,3.8000,-0.4500,357.3088,180.0000,359.9824,0.0000,0.0000,0.0000
4.123,585.9993,-1.3143,236.1873,0.2510,3.8000,-0.4500,357.3088,180.0000,359.9824,0.0000,0.0000,0.0000
4.238,585.7910,-1.3718,236.2560,0.2510,3.8000,-0.4500,357.2260,180.0000,359.9684,0.0000,0.0000,0.0000
4.346,585.5429,-1.4436,236.3733,0.2510,3.8000,-0.4500,357.1442,180.0000,359.9543,0.0000,0.0000,0.0000
4.473,585.2964,-1.5174,236.5168,0.2510,3.8000,-0.4500,357.1442,180.0000,359.9543,0.0000,0.0000,0.0000
4.583,585.0508,-1.5931,236.6779,0.2510,3.8000,-0.4500,357.1442,180.0000,359.9543,0.0000,0.0000,0.0000
4.695,584.8469,-1.6573,236.8218,0.2510,3.8000,-0.4500,357.1442,180.0000,359.9543,0.0000,0.0000,0.0000
4.805,584.6025,-1.7352,237.0027,0.2510,3.8000,-0.4500,357.1442,180.0000,359.9543,0.0000,0.0000,0.0000
4.915,584.3993,-1.8003,237.1583,0.2510,3.8000,-0.4500,357.1442,180.0000,359.9543,0.0000,0.0000,0.0000
5.040,584.1147,-1.8914,237.3796,0.2510,3.8000,-0.4500,357.1442,180.0001,359.9543,0.0000,0.0000,0.0000
5.153,583.9115,-1.9558,237.5382,0.2510,3.8000,-0.4500,357.1442,180.0001,359.9543,0.0000,0.0000,0.0000
5.264,583.6676,-2.0321,237.7282,0.2510,3.8000,-0.4500,357.1442,180.0001,359.9543,0.0000,0.0000,0.0000
5.364,583.4644,-2.0944,237.8860,0.2510,3.8000,-0.4500,357.1442,180.0001,359.9543,0.0000,0.0000,0.0000
5.471,583.2611,-2.1554,238.0434,0.2510,3.8000,-0.4500,357.1442,180.0001,359.9543,0.0000,0.0000,0.0000
5.599,583.0172,-2.2263,238.2317,0.2510,3.8000,-0.4500,357.1442,180.0000,359.9543,0.0000,0.0000,0.0000
5.707,582.7733,-2.2945,238.4195,0.2510,3.8000,-0.4500,357.1442,180.0000,359.9543,0.0000,0.0000,0.0000
5.819,582.5701,-2.3487,238.5755,0.2510,3.8000,-0.4500,357.1442,180.0001,359.9543,0.0000,0.0000,0.0000
5.930,582.3264,-2.4102,238.7622,0.2510,3.8000,-0.4500,357.1442,180.0001,359.9542,0.0000,0.0000,0.0000
6.043,582.0828,-2.4675,238.9483,0.2510,3.8000,-0.4500,357.1442,180.0001,359.9542,0.0000,0.0000,0.0000
6.168,581.8392,-2.5199,239.1338,0.2510,3.8000,-0.4500,357.1442,180.0000,359.9542,0.0000,0.0000,0.0000
6.279,581.6364,-2.5597,239.2879,0.2510,3.8000,-0.4500,357.1442,180.0000,359.9542,0.0000,0.0000,0.0000
6.390,581.3934,-2.6021,239.4721,0.2510,3.8000,-0.4500,357.1442,180.0000,359.9542,0.0000,0.0000,0.0000
6.514,581.1509,-2.6384,239.6558,0.2510,3.8000,-0.4500,357.1442,180.0001,359.9542,0.0000,0.0000,0.0000
6.625,580.9099,-2.6617,239.8365,0.2510,3.8000,-0.4500,357.5413,180.0004,0.1366,0.0000,0.0000,0.0000
