time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.123,599.5479,4.5789,250.0105,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.236,599.1290,4.2196,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.347,598.5970,3.7697,250.0207,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.459,598.0773,3.3329,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.571,597.3758,2.7427,249.9601,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.682,596.7349,2.2014,249.8547,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.793,595.9068,1.4989,249.6502,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.904,595.1731,0.8739,249.4149,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.016,594.2464,0.0815,249.0582,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.127,593.2883,-0.7405,248.6329,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.238,592.6775,-1.2617,248.3329,359.2422,180.0000,0.0020,359.2422,180.0000,0.0020
1.349,592.1589,-1.5700,248.0557,358.0529,179.9999,0.0052,358.0529,179.9999,0.0052
1.461,591.8288,-1.6216,247.8671,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
1.571,591.4999,-1.5421,247.6696,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
1.683,591.2576,-1.4337,247.5184,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
1.794,590.9879,-1.3196,247.3447,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
1.905,590.7729,-1.2644,247.2026,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
2.017,590.5215,-1.2527,247.0330,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
2.128,590.2740,-1.2890,246.8645,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
2.239,590.0693,-1.3418,246.7249,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
2.350,589.8243,-1.4158,246.5608,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
2.461,589.6200,-1.4773,246.4319,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
2.573,589.3743,-1.5449,246.2878,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
2.684,589.1689,-1.5946,246.1775,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
2.795,588.9198,-1.6487,246.0759,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
2.907,588.6669,-1.7003,246.0150,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
3.017,588.4540,-1.7437,245.9913,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
3.128,588.1985,-1.7981,245.9972,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
3.238,587.9866,-1.8464,246.0300,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
3.349,587.7336,-1.9080,246.0961,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
3.463,587.5241,-1.9618,246.1707,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
3.572,587.2744,-2.0289,246.2832,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
3.683,587.0673,-2.0863,246.3929,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
3.794,586.8199,-2.1562,246.5382,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
3.906,586.5732,-2.2266,246.6935,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
4.016,586.3678,-2.2852,246.8279,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
4.127,586.1217,-2.3553,246.9929,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
4.240,585.9166,-2.4133,247.1331,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
4.350,585.6705,-2.4824,247.3037,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
4.461,585.4655,-2.5392,247.4472,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
4.572,585.2194,-2.6065,247.6205,357.4666,179.9999,0.0066,357.4666,179.9999,0.0066
4.684,585.0143,-2.6613,247.7651,357.4666,179.9999,0.0065,357.4666,179.9999,0.0065
4.794,584.7682,-2.7255,247.9387,357.4666,179.9999,0.0065,357.4666,179.9999,0.0065
4.906,584.5221,-2.7873,248.1121,357.4666,179.9999,0.0065,357.4666,179.9999,0.0065
5.016,584.3168,-2.8368,248.2561,357.4666,179.9999,0.0065,357.4666,179.9999,0.0065
5.128,584.0704,-2.8933,248.4279,357.4666,179.9999,0.0065,357.4666,179.9999,0.0065
5.239,583.8650,-2.9376,248.5701,357.4666,179.9999,0.0065,357.4666,179.9999,0.0065
5.351,583.6185,-2.9871,248.7399,357.5287,179.9998,359.9519,357.5287,179.9998,359.9519
5.475,583.3722,-3.0321,248.9088,357.5924,179.9998,359.8990,357.5924,179.9998,359.8990
5.585,583.1261,-3.0723,249.0769,357.7383,179.9994,359.8252,357.7383,179.9994,359.8252
