time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.121,598.6015,5.0092,250.4589,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.222,598.2777,4.7300,250.4630,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.334,597.8721,4.3853,250.4667,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.444,597.2885,3.8939,250.4693,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.556,596.7337,3.4263,250.4272,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.665,596.0035,2.8030,250.2216,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.777,595.3506,2.2370,249.8846,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.901,594.3792,1.3816,249.1471,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.027,593.5006,0.5966,248.2779,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.138,592.7404,-0.0899,247.3987,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.263,591.8080,-0.9334,246.1755,0.2510,3.8000,-0.4500,359.2338,180.0000,0.0010,0.0000,0.0000,0.0000
1.374,591.3671,-1.2628,245.5100,0.2510,3.8000,-0.4500,357.6945,180.0000,0.0028,0.0000,0.0000,0.0000
1.485,590.9752,-1.3901,244.8275,0.2510,3.8000,-0.4500,356.5125,179.9999,0.0038,0.0000,0.0000,0.0000
1.598,590.7142,-1.3469,244.3098,0.2510,3.8000,-0.4500,356.0946,179.9999,0.0039,0.0000,0.0000,0.0000
1.708,590.4445,-1.2158,243.7144,0.2510,3.8000,-0.4500,356.0946,179.9998,0.0039,0.0000,0.0000,0.0000
1.820,590.2016,-1.0829,243.1262,0.2510,3.8000,-0.4500,356.0946,179.9998,0.0040,0.0000,0.0000,0.0000
1.931,590.0105,-1.0058,242.6332,0.2510,3.8000,-0.4500,356.0946,179.9998,0.0040,0.0000,0.0000,0.0000
2.043,589.7883,-0.9663,242.0448,0.2510,3.8000,-0.4500,356.0946,179.9998,0.0040,0.0000,0.0000,0.0000
2.153,589.6027,-0.9762,241.6135,0.2510,3.8000,-0.4500,356.0946,179.9998,0.0040,0.0000,0.0000,0.0000
