time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.121,599.6055,4.6292,250.0089,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.222,599.2817,4.3500,250.0130,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.334,598.8761,4.0053,250.0167,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.444,598.2925,3.5139,250.0193,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.556,597.7377,3.0463,249.9772,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.665,597.0076,2.4230,249.7716,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.777,596.3546,1.8570,249.4346,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.901,595.3832,1.0016,248.6971,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.027,594.5046,0.2166,247.8279,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.138,593.7444,-0.4699,246.9487,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.263,592.8120,-1.3073,245.7204,359.2338,180.0000,0.0010,359.2338,180.0000,0.0010
1.374,592.3710,-1.6245,245.0451,357.6945,180.0000,0.0028,357.6945,180.0000,0.0028
1.485,591.9791,-1.7421,244.3552,356.5125,179.9999,0.0038,356.5125,179.9999,0.0038
1.598,591.7181,-1.6954,243.8349,356.0946,179.9999,0.0039,356.0946,179.9999,0.0039
1.708,591.4485,-1.5643,243.2395,356.0946,179.9998,0.0039,356.0946,179.9998,0.0039
1.820,591.2056,-1.4314,242.6513,356.0946,179.9998,0.0040,356.0946,179.9998,0.0040
1.931,591.0145,-1.3543,242.1583,356.0946,179.9998,0.0040,356.0946,179.9998,0.0040
2.043,590.7923,-1.3149,241.5699,356.0946,179.9998,0.0040,356.0946,179.9998,0.0040
2.153,590.6066,-1.3247,241.1387,356.0946,179.9998,0.0040,356.0946,179.9998,0.0040
2.266,590.3782,-1.3764,240.7321,356.0946,179.9998,0.0040,356.0946,179.9998,0.0040
2.376,590.1826,-1.4400,240.4805,356.0946,179.9998,0.0040,356.0946,179.9998,0.0040
2.488,589.9418,-1.5267,240.2659,356.0946,179.9998,0.0040,356.0946,179.9998,0.0040
2.599,589.7368,-1.6003,240.1448,356.0946,179.9998,0.0039,356.0946,179.9998,0.0039
2.710,589.4868,-1.6860,240.0497,356.0946,179.9998,0.0039,356.0946,179.9998,0.0039
2.834,589.2339,-1.7677,239.9913,356.0108,179.9998,0.0008,356.0108,179.9998,0.0008
2.946,588.9790,-1.8468,239.9558,355.9261,179.9998,-0.0037,355.9261,179.9998,-0.0037
3.071,588.7229,-1.9257,239.9341,355.8438,179.9999,359.9913,355.8438,179.9999,359.9913
3.195,588.4759,-1.9996,239.7987,355.8439,179.9999,359.9913,355.8439,179.9999,359.9913
3.307,588.2473,-2.0541,239.4074,355.6796,179.9999,359.9741,355.6796,179.9999,359.9741
3.432,588.0300,-2.0937,238.8459,355.6796,179.9999,359.9741,355.6796,179.9999,359.9741
3.544,587.8181,-2.1255,238.2070,355.6796,179.9999,359.9741,355.6796,179.9999,359.9741
3.655,587.6400,-2.1535,237.7090,355.6796,179.9999,359.9741,355.6796,179.9999,359.9741
3.766,587.4186,-2.1970,237.2328,355.5974,180.0000,359.9606,355.5974,180.0000,359.9606
3.877,587.2263,-2.2439,236.9446,355.5974,180.0000,359.9606,355.5974,180.0000,359.9606
3.989,586.9875,-2.3118,236.7057,355.5169,180.0000,359.9453,355.5169,180.0000,359.9453
4.113,586.7419,-2.3899,236.5516,355.5169,180.0000,359.9453,355.5169,180.0000,359.9453
4.213,586.5337,-2.4609,236.4670,355.4377,180.0001,359.9270,355.4377,180.0001,359.9270
4.323,586.2812,-2.5510,236.3970,355.3610,180.0002,359.9060,355.3610,180.0002,359.9060
4.433,586.0693,-2.6286,236.3543,355.3610,180.0002,359.9060,355.3610,180.0002,359.9060
4.544,585.8141,-2.7237,236.3140,355.3610,180.0002,359.9060,355.3610,180.0002,359.9060
4.655,585.6005,-2.8043,236.2896,355.3610,180.0002,359.9060,355.3610,180.0002,359.9060
4.768,585.3433,-2.9023,236.2718,355.2861,180.0004,359.8784,355.2861,180.0004,359.8784
4.877,585.1284,-2.9848,236.2650,355.2861,180.0004,359.8784,355.2861,180.0004,359.8784
4.988,584.8696,-3.0844,236.2634,355.2861,180.0004,359.8784,355.2861,180.0004,359.8784
5.099,584.6104,-3.1839,236.2663,355.2861,180.0004,359.8784,355.2861,180.0004,359.8784
5.211,584.3941,-3.2665,236.2706,355.2861,180.0004,359.8784,355.2861,180.0004,359.8784
5.321,584.1345,-3.3647,236.2788,355.2861,180.0004,359.8784,355.2861,180.0004,359.8784
5.436,583.9181,-3.4454,236.2885,355.2861,180.0004,359.8784,355.2861,180.0004,359.8784
5.544,583.6583,-3.5405,236.3025,355.2861,180.0004,359.8784,355.2861,180.0004,359.8784
