time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.9048,4.8965,250.0026,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.9048,4.8965,250.0026,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.107,599.6743,4.6766,249.8022,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.222,599.4048,4.4113,249.2893,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.334,598.9975,4.0053,248.3205,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.445,598.5080,3.5139,247.0223,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.557,598.0438,3.0463,245.7232,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.669,597.4262,2.4230,243.9366,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.779,596.8661,1.8570,242.2797,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.890,596.1454,1.1280,240.1131,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.001,595.5084,0.4832,238.1750,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.112,594.7373,-0.2979,235.8067,359.8622,180.0000,0.0000,359.8622,180.0000,0.0000
1.223,594.1880,-0.6902,234.1144,356.7448,180.0000,0.0012,356.7448,180.0000,0.0012
1.335,593.8560,-0.8269,233.1009,354.4714,179.9999,0.0022,354.4714,179.9999,0.0022
1.446,593.5406,-0.8155,232.1508,352.9995,179.9998,0.0030,352.9995,179.9998,0.0030
1.558,593.3171,-0.7252,231.4841,352.5191,179.9998,0.0031,352.5191,179.9998,0.0031
1.668,593.0749,-0.5956,230.7622,352.5191,179.9998,0.0031,352.5191,179.9998,0.0031
1.779,592.8854,-0.5100,230.1931,352.5191,179.9998,0.0031,352.5191,179.9998,0.0031
1.891,592.6661,-0.4571,229.5268,352.5191,179.9998,0.0031,352.5191,179.9998,0.0031
2.002,592.4874,-0.4553,228.9767,352.5191,179.9998,0.0031,352.5191,179.9998,0.0031
2.113,592.2755,-0.4920,228.3185,352.5191,179.9998,0.0031,352.5191,179.9998,0.0031
