time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.117,598.6052,5.0092,250.4187,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.231,598.2221,4.6661,250.2479,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.359,597.6439,4.1496,249.8907,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.469,597.1544,3.7129,249.5428,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.583,596.4924,3.1227,249.0342,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.707,595.7580,2.4682,248.4360,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.816,595.0965,1.8789,247.8760,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.928,594.2502,1.1249,247.1379,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.038,593.3521,0.3253,246.3419,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.152,592.5674,-0.3721,245.6494,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.263,591.6002,-1.2303,244.8067,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.374,590.9842,-1.7998,244.3003,0.2510,3.8000,-0.4500,357.7599,180.0000,0.0015,0.0000,0.0000,0.0000
1.484,590.4605,-2.1920,243.9240,0.2510,3.8000,-0.4500,354.4913,179.9998,0.0034,0.0000,0.0000,0.0000
1.596,590.1259,-2.3154,243.7258,0.2510,3.8000,-0.4500,352.8825,179.9997,0.0042,0.0000,0.0000,0.0000
1.704,589.7908,-2.3228,243.5708,0.2510,3.8000,-0.4500,351.9064,179.9997,0.0043,0.0000,0.0000,0.0000
1.816,589.5422,-2.2875,243.4884,0.2510,3.8000,-0.4500,351.7157,179.9996,0.0042,0.0000,0.0000,0.0000
1.926,589.2630,-2.2664,243.4268,0.2510,3.8000,-0.4500,351.7157,179.9996,0.0041,0.0000,0.0000,0.0000
2.037,588.9946,-2.3046,243.3888,0.2510,3.8000,-0.4500,351.7157,179.9996,0.0041,0.0000,0.0000,0.0000
2.152,588.7750,-2.3880,243.3674,0.2510,3.8000,-0.4500,351.4653,179.9996,0.0004,0.0000,0.0000,0.0000
2.261,588.5141,-2.5327,243.3467,0.2510,3.8000,-0.4500,351.4653,179.9996,0.0004,0.0000,0.0000,0.0000
2.372,588.2977,-2.6805,243.3347,0.2510,3.8000,-0.4500,351.2991,179.9996,-0.0050,0.0000,0.0000,0.0000
2.484,588.0386,-2.8716,243.3245,0.2510,3.8000,-0.4500,351.1385,179.9997,359.9865,0.0000,0.0000,0.0000
2.595,587.8228,-3.0316,243.3191,0.2510,3.8000,-0.4500,351.1385,179.9997,359.9865,0.0000,0.0000,0.0000
2.707,587.5638,-3.2209,243.3181,0.2510,3.8000,-0.4500,350.9749,179.9997,359.9729,0.0000,0.0000,0.0000
2.817,587.3477,-3.3740,243.3205,0.2510,3.8000,-0.4500,350.8152,179.9998,359.9524,0.0000,0.0000,0.0000
2.929,587.0884,-3.5505,243.3253,0.2510,3.8000,-0.4500,350.8152,179.9998,359.9524,0.0000,0.0000,0.0000
3.039,586.8296,-3.7259,243.3388,0.2510,3.8000,-0.4500,350.7366,179.9999,359.9365,0.0000,0.0000,0.0000
3.150,586.6146,-3.8735,243.3588,0.2510,3.8000,-0.4500,350.6598,180.0000,359.9184,0.0000,0.0000,0.0000
3.262,586.3578,-4.0532,243.3918,0.2510,3.8000,-0.4500,350.6598,180.0000,359.9184,0.0000,0.0000,0.0000
3.375,586.1437,-4.2088,243.4257,0.2510,3.8000,-0.4500,350.5072,180.0003,359.8629,0.0000,0.0000,0.0000
3.485,585.8873,-4.3973,243.4700,0.2510,3.8000,-0.4500,350.5072,180.0003,359.8629,0.0000,0.0000,0.0000
3.595,585.6741,-4.5577,243.5094,0.2510,3.8000,-0.4500,350.5072,180.0003,359.8629,0.0000,0.0000,0.0000
3.708,585.4177,-4.7545,243.5589,0.2510,3.8000,-0.4500,350.4407,180.0005,359.8139,0.0000,0.0000,0.0000
3.819,585.1617,-4.9525,243.6093,0.2510,3.8000,-0.4500,350.4407,180.0005,359.8139,0.0000,0.0000,0.0000
3.929,584.9474,-5.1218,243.6521,0.2510,3.8000,-0.4500,350.3300,180.0010,359.6929,0.0000,0.0000,0.0000
4.039,584.6912,-5.3238,243.7034,0.2510,3.8000,-0.4500,350.2786,180.0013,359.6332,0.0000,0.0000,0.0000
4.150,584.4776,-5.4916,243.7463,0.2510,3.8000,-0.4500,350.2786,180.0013,359.6332,0.0000,0.0000,0.0000
4.263,584.2211,-5.6933,243.7980,0.2510,3.8000,-0.4500,350.2786,180.0013,359.6332,0.0000,0.0000,0.0000
4.389,583.9645,-5.8949,243.8497,0.2510,3.8000,-0.4500,350.2786,180.0013,359.6332,0.0000,0.0000,0.0000
4.497,583.7495,-6.0654,243.8926,0.2510,3.8000,-0.4500,350.2612,180.0014,359.4692,0.0000,0.0000,0.0000
4.609,583.4930,-6.2653,243.9448,0.2510,3.8000,-0.4500,350.2612,180.0014,359.4692,0.0000,0.0000,0.0000
4.720,583.2353,-6.4654,243.9967,0.2510,3.8000,-0.4500,350.3124,180.0009,359.3103,0.0000,0.0000,0.0000
4.832,583.0217,-6.6283,244.0412,0.2510,3.8000,-0.4500,350.3124,180.0009,359.3103,0.0000,0.0000,0.0000
4.942,582.7642,-6.8220,244.0938,0.2510,3.8000,-0.4500,350.4617,179.9988,359.1131,0.0000,0.0000,0.0000
5.055,582.5505,-6.9782,244.1391,0.2510,3.8000,-0.4500,350.5294,179.9977,359.0668,0.0000,0.0000,0.0000
5.164,582.2941,-7.1600,244.1934,0.2510,3.8000,-0.4500,350.8207,179.9925,358.9205,0.0000,0.0000,0.0000
5.278,582.0380,-7.3336,244.2502,0.2510,3.8000,-0.4500,351.0605,179.9878,358.8716,0.0000,0.0000,0.0000
5.386,581.8253,-7.4703,244.2983,0.2510,3.8000,-0.4500,351.3937,179.9811,358.8581,0.0000,0.0000,0.0000
5.497,581.5703,-7.6255,244.3581,0.2510,3.8000,-0.4500,351.7196,179.9746,358.8928,0.0000,0.0000,0.0000
5.611,581.3586,-7.7442,244.4082,0.2510,3.8000,-0.4500,352.1293,179.9669,358.9932,0.0000,0.0000,0.0000
5.721,581.1044,-7.8763,244.4694,0.2510,3.8000,-0.4500,352.5257,179.9603,359.1277,0.0000,0.0000,0.0000
5.831,580.8932,-7.9746,244.5198,0.2510,3.8000,-0.4500,352.9286,179.9548,359.3009,0.0000,0.0000,0.0000
5.943,580.6398,-8.0786,244.5796,0.2510,3.8000,-0.4500,353.4223,179.9497,359.5414,0.0000,0.0000,0.0000
6.054,580.4290,-8.1529,244.6286,0.2510,3.8000,-0.4500,353.8371,179.9472,359.7625,0.0000,0.0000,0.0000
6.164,580.1765,-8.2264,244.6860,0.2510,3.8000,-0.4500,354.3478,179.9463,0.0536,0.0000,0.0000,0.0000
6.278,579.9246,-8.2816,244.7423,0.2510,3.8000,-0.4500,354.8788,179.9483,0.3732,0.0000,0.0000,0.0000
6.387,579.7159,-8.3131,244.7891,0.2510,3.8000,-0.4500,355.3385,179.9525,0.6611,0.0000,0.0000,0.0000
6.500,579.4670,-8.3329,244.8459,0.2510,3.8000,-0.4500,355.9106,179.9609,1.0311,0.0000,0.0000,0.0000
6.612,579.2610,-8.3338,244.8948,0.2510,3.8000,-0.4500,356.4034,179.9712,1.3583,0.0000,0.0000,0.0000
