time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.108,599.6057,4.6292,250.0096,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.222,599.2070,4.2861,250.0151,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.334,598.7861,3.9291,250.0192,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.445,598.1859,3.4245,250.0236,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.556,597.4933,2.8458,250.0275,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.668,596.8531,2.3130,250.0305,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.780,596.0173,1.6198,250.0336,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.890,595.2705,1.0016,250.0359,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.002,594.3204,0.2166,250.0385,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.113,593.4882,-0.4699,250.0403,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.224,592.6326,-1.1894,250.0425,359.6728,180.0000,0.0013,359.6728,180.0000,0.0013
1.335,592.1397,-1.5472,250.0475,358.5474,179.9999,0.0058,358.5474,179.9999,0.0058
1.447,591.6935,-1.7104,250.0603,357.5904,179.9998,0.0095,357.5904,179.9998,0.0095
1.558,591.3351,-1.6861,250.0789,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
1.669,591.0732,-1.6033,250.0962,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
1.780,590.7830,-1.5019,250.1159,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
1.892,590.5527,-1.4485,250.1301,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
2.003,590.2840,-1.4354,250.1440,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
2.114,590.0636,-1.4629,250.1532,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
2.224,589.8015,-1.5273,250.1624,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
2.336,589.5408,-1.6084,250.1706,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
2.447,589.3240,-1.6778,250.1773,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
2.558,589.0644,-1.7559,250.1857,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
2.669,588.8480,-1.8142,250.1930,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
2.780,588.5884,-1.8767,250.2021,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
2.891,588.3720,-1.9243,250.2098,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
3.003,588.1124,-1.9786,250.2192,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
3.114,587.8960,-2.0234,250.2270,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
3.224,587.6364,-2.0780,250.2361,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
3.336,587.4198,-2.1246,250.2436,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
3.446,587.1598,-2.1820,250.2524,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
3.559,586.8998,-2.2405,250.2610,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
3.669,586.6828,-2.2898,250.2679,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
3.781,586.4224,-2.3491,250.2760,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
3.891,586.2053,-2.3984,250.2827,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
4.004,585.9446,-2.4572,250.2905,357.3073,179.9997,0.0103,357.3073,179.9997,0.0103
4.114,585.7272,-2.5059,250.2967,357.3073,179.9998,0.0103,357.3073,179.9998,0.0103
4.224,585.4661,-2.5637,250.3041,357.3073,179.9998,0.0103,357.3073,179.9998,0.0103
4.336,585.2485,-2.6115,250.3101,357.3073,179.9998,0.0103,357.3073,179.9998,0.0103
4.461,584.9436,-2.6773,250.3181,357.3073,179.9998,0.0103,357.3073,179.9998,0.0103
4.572,584.7257,-2.7234,250.3237,357.3073,179.9998,0.0103,357.3073,179.9998,0.0103
4.696,584.4207,-2.7864,250.3311,357.3482,179.9997,359.9396,357.3482,179.9997,359.9396
4.808,584.2028,-2.8300,250.3359,357.3482,179.9997,359.9396,357.3482,179.9997,359.9396
4.919,583.9413,-2.8804,250.3407,357.4508,179.9995,359.8134,357.4508,179.9995,359.8134
5.030,583.7234,-2.9204,250.3433,357.4508,179.9995,359.8134,357.4508,179.9995,359.8134
5.142,583.4623,-2.9659,250.3450,357.5185,179.9993,359.7674,357.5185,179.9993,359.7674
5.252,583.2449,-3.0013,250.3454,357.5870,179.9990,359.7229,357.5870,179.9990,359.7229
5.364,582.9844,-3.0406,250.3443,357.5870,179.9990,359.7229,357.5870,179.9990,359.7229
5.475,582.7675,-3.0704,250.3426,357.7490,179.9981,359.6698,357.7490,179.9981,359.6698
5.586,582.5074,-3.1022,250.3392,358.0022,179.9966,359.6357,358.0022,179.9966,359.6357
