time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.121,598.5438,4.9589,250.4605,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.234,598.2030,4.6661,250.4651,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.345,597.6899,4.2305,250.4592,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.470,597.0778,3.7129,250.4188,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.570,596.5012,3.2257,250.3504,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.679,595.7387,2.5814,250.2248,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.791,595.0507,1.9997,250.0868,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.902,594.1685,1.2539,249.8856,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.014,593.3911,0.5966,249.6927,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.125,592.4115,-0.2305,249.4487,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.236,591.7415,-0.8098,249.2943,0.2510,3.8000,-0.4500,359.4646,180.0000,0.0016,0.0000,0.0000,0.0000
1.347,591.1768,-1.1965,249.1895,0.2510,3.8000,-0.4500,358.2014,179.9999,0.0054,0.0000,0.0000,0.0000
1.459,590.7559,-1.2995,249.1398,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
1.569,590.4650,-1.2517,249.1251,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
1.681,590.1558,-1.1376,249.1303,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
1.792,589.9172,-1.0499,249.1457,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
1.903,589.6440,-0.9904,249.1718,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
2.014,589.4224,-0.9863,249.1968,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
2.125,589.1606,-1.0272,249.2293,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
2.237,588.9015,-1.1000,249.2637,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
2.348,588.6867,-1.1712,249.2936,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
2.459,588.4296,-1.2569,249.3311,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
2.570,588.2157,-1.3231,249.3633,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
2.682,587.9592,-1.3940,249.4027,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
2.792,587.7455,-1.4468,249.4360,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
2.905,587.4891,-1.5052,249.4760,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
3.015,587.2752,-1.5519,249.5093,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
3.126,587.0185,-1.6078,249.5489,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
3.237,586.7618,-1.6649,249.5881,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
3.348,586.5477,-1.7137,249.6205,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
3.459,586.2906,-1.7738,249.6593,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
3.570,586.0764,-1.8248,249.6915,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
3.682,585.8192,-1.8864,249.7304,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
3.794,585.6046,-1.9379,249.7630,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
3.904,585.3472,-1.9996,249.8023,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
4.015,585.1324,-2.0506,249.8349,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
4.126,584.8746,-2.1115,249.8738,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
4.238,584.6167,-2.1717,249.9125,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
4.363,584.3585,-2.2313,249.9513,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
4.474,584.1434,-2.2804,249.9838,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
4.585,583.8852,-2.3382,250.0230,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
4.697,583.6270,-2.3947,250.0622,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
4.807,583.4116,-2.4405,250.0947,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
4.918,583.1530,-2.4935,250.1335,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
5.029,582.9376,-2.5359,250.1655,0.2510,3.8000,-0.4500,357.4436,179.9998,0.0076,0.0000,0.0000,0.0000
5.140,582.6786,-2.5848,250.2032,0.2510,3.8000,-0.4500,357.4939,179.9998,359.9421,0.0000,0.0000,0.0000
5.251,582.4626,-2.6234,250.2338,0.2510,3.8000,-0.4500,357.6198,179.9996,359.8338,0.0000,0.0000,0.0000
5.362,582.2042,-2.6657,250.2708,0.2510,3.8000,-0.4500,357.6827,179.9993,359.7837,0.0000,0.0000,0.0000
5.474,581.9890,-2.6977,250.3016,0.2510,3.8000,-0.4500,357.6827,179.9993,359.7837,0.0000,0.0000,0.0000
5.585,581.7307,-2.7315,250.3365,0.2510,3.8000,-0.4500,357.9200,179.9983,359.7150,0.0000,0.0000,0.0000
5.696,581.5158,-2.7566,250.3664,0.2510,3.8000,-0.4500,357.9200,179.9983,359.7150,0.0000,0.0000,0.0000
5.807,581.2583,-2.7805,250.3999,0.2510,3.8000,-0.4500,358.1624,179.9971,359.6985,0.0000,0.0000,0.0000
5.918,581.0012,-2.7991,250.4329,0.2510,3.8000,-0.4500,358.3268,179.9962,359.7184,0.0000,0.0000,0.0000
6.029,580.7873,-2.8088,250.4590,0.2510,3.8000,-0.4500,358.5727,179.9951,359.7729,0.0000,0.0000,0.0000
6.141,580.5306,-2.8185,250.4910,0.2510,3.8000,-0.4500,358.5727,179.9951,359.7729,0.0000,0.0000,0.0000
6.252,580.3181,-2.8159,250.5141,0.2510,3.8000,-0.4500,358.9813,179.9940,359.9303,0.0000,0.0000,0.0000
6.376,580.0626,-2.8117,250.5426,0.2510,3.8000,-0.4500,359.1278,179.9940,0.0031,0.0000,0.0000,0.0000
6.488,579.8080,-2.7994,250.5696,0.2510,3.8000,-0.4500,359.3511,179.9942,0.1290,0.0000,0.0000,0.0000
6.599,579.5536,-2.7818,250.5963,0.2510,3.8000,-0.4500,359.4927,179.9946,0.2127,0.0000,0.0000,0.0000
