time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.4827,4.9058,250.4641,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.4827,4.9058,250.4641,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.107,598.0445,4.5306,250.4742,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.232,597.4953,4.0666,250.4832,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.357,596.8480,3.5238,250.4898,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.483,596.1151,2.9113,250.4807,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.608,595.1664,2.1191,250.4353,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.733,594.2832,1.3816,250.3630,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.833,593.5037,0.7305,250.2798,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.943,592.6887,0.0496,250.1773,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.043,591.8418,-0.6583,250.0569,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.154,591.0420,-1.3636,249.9426,0.2510,3.8000,-0.4500,358.8381,180.0000,0.0040,0.0000,0.0000,0.0000
1.263,590.5766,-1.6953,249.8865,0.2510,3.8000,-0.4500,357.2597,179.9998,0.0093,0.0000,0.0000,0.0000
1.388,590.0889,-1.8346,249.8418,0.2510,3.8000,-0.4500,355.9841,179.9995,0.0128,0.0000,0.0000,0.0000
1.502,589.8049,-1.7970,249.8229,0.2510,3.8000,-0.4500,355.6984,179.9995,0.0130,0.0000,0.0000,0.0000
1.610,589.5016,-1.7046,249.8031,0.2510,3.8000,-0.4500,355.6984,179.9995,0.0129,0.0000,0.0000,0.0000
1.710,589.2670,-1.6413,249.7851,0.2510,3.8000,-0.4500,355.6984,179.9995,0.0129,0.0000,0.0000,0.0000
1.818,589.0416,-1.6144,249.7633,0.2510,3.8000,-0.4500,355.6984,179.9995,0.0129,0.0000,0.0000,0.0000
1.918,588.8229,-1.6281,249.7225,0.2510,3.8000,-0.4500,355.6984,179.9995,0.0129,0.0000,0.0000,0.0000
2.027,588.5718,-1.6847,249.5869,0.2510,3.8000,-0.4500,355.6984,179.9995,0.0129,0.0000,0.0000,0.0000
2.152,588.3311,-1.7651,249.3502,0.2510,3.8000,-0.4500,355.6984,179.9995,0.0129,0.0000,0.0000,0.0000
2.277,588.0975,-1.8515,249.0372,0.2510,3.8000,-0.4500,355.6984,179.9995,0.0129,0.0000,0.0000,0.0000
2.402,587.8672,-1.9334,248.6922,0.2510,3.8000,-0.4500,355.6984,179.9995,0.0129,0.0000,0.0000,0.0000
2.527,587.5997,-2.0177,248.2825,0.2510,3.8000,-0.4500,355.6984,179.9995,0.0129,0.0000,0.0000,0.0000
2.639,587.4091,-2.0702,247.9843,0.2510,3.8000,-0.4500,355.6984,179.9995,0.0129,0.0000,0.0000,0.0000
2.763,587.1841,-2.1233,247.5717,0.2510,3.8000,-0.4500,355.6984,179.9995,0.0129,0.0000,0.0000,0.0000
2.875,586.9641,-2.1666,247.0850,0.2510,3.8000,-0.4500,355.6984,179.9995,0.0129,0.0000,0.0000,0.0000
2.999,586.7478,-2.2038,246.5390,0.2510,3.8000,-0.4500,355.6984,179.9995,0.0129,0.0000,0.0000,0.0000
3.125,586.5344,-2.2378,245.9455,0.2510,3.8000,-0.4500,355.6984,179.9995,0.0129,0.0000,0.0000,0.0000
3.236,586.3229,-2.2705,245.3178,0.2510,3.8000,-0.4500,355.6984,179.9995,0.0129,0.0000,0.0000,0.0000
3.361,586.1126,-2.3031,244.6686,0.2510,3.8000,-0.4500,355.6984,179.9995,0.0129,0.0000,0.0000,0.0000
3.474,585.9024,-2.3367,244.0153,0.2510,3.8000,-0.4500,355.6984,179.9995,0.0129,0.0000,0.0000,0.0000
3.583,585.7267,-2.3672,243.4763,0.2510,3.8000,-0.4500,355.6218,179.9995,359.9788,0.0000,0.0000,0.0000
3.695,585.5156,-2.4050,242.8374,0.2510,3.8000,-0.4500,355.5462,179.9995,359.9448,0.0000,0.0000,0.0000
3.819,585.3032,-2.4436,242.2208,0.2510,3.8000,-0.4500,355.5462,179.9996,359.9448,0.0000,0.0000,0.0000
3.945,585.0826,-2.4915,241.7254,0.2510,3.8000,-0.4500,355.5462,179.9996,359.9448,0.0000,0.0000,0.0000
4.057,584.8497,-2.5546,241.3964,0.2510,3.8000,-0.4500,355.5462,179.9996,359.9448,0.0000,0.0000,0.0000
4.168,584.6051,-2.6336,241.2133,0.2510,3.8000,-0.4500,355.4755,179.9996,359.9048,0.0000,0.0000,0.0000
4.278,584.3969,-2.7074,241.1470,0.2510,3.8000,-0.4500,355.4755,179.9996,359.9048,0.0000,0.0000,0.0000
4.403,584.1456,-2.8042,241.1438,0.2510,3.8000,-0.4500,355.4755,179.9996,359.9048,0.0000,0.0000,0.0000
4.528,583.8527,-2.9244,241.2108,0.2510,3.8000,-0.4500,355.4755,179.9997,359.9048,0.0000,0.0000,0.0000
4.641,583.6440,-3.0126,241.2876,0.2510,3.8000,-0.4500,355.4755,179.9997,359.9048,0.0000,0.0000,0.0000
4.751,583.3940,-3.1193,241.3991,0.2510,3.8000,-0.4500,355.4755,179.9997,359.9048,0.0000,0.0000,0.0000
4.876,583.1443,-3.2252,241.5235,0.2510,3.8000,-0.4500,355.4755,179.9997,359.9048,0.0000,0.0000,0.0000
4.988,582.8949,-3.3292,241.6561,0.2510,3.8000,-0.4500,355.4755,179.9997,359.9048,0.0000,0.0000,0.0000
5.112,582.6459,-3.4305,241.7941,0.2510,3.8000,-0.4500,355.4755,179.9997,359.9048,0.0000,0.0000,0.0000
5.238,582.3971,-3.5281,241.9355,0.2510,3.8000,-0.4500,355.4755,179.9997,359.9048,0.0000,0.0000,0.0000
5.363,582.1484,-3.6213,242.0775,0.2510,3.8000,-0.4500,355.4755,179.9997,359.9048,0.0000,0.0000,0.0000
5.476,581.8998,-3.7092,242.2182,0.2510,3.8000,-0.4500,355.4755,179.9997,359.9048,0.0000,0.0000,0.0000
5.585,581.6926,-3.7779,242.3341,0.2510,3.8000,-0.4500,355.4755,179.9997,359.9048,0.0000,0.0000,0.0000
5.697,581.4442,-3.8544,242.4722,0.2510,3.8000,-0.4500,355.4755,179.9997,359.9048,0.0000,0.0000,0.0000
5.821,581.1960,-3.9207,242.6076,0.2510,3.8000,-0.4500,355.8936,179.9988,359.8820,0.0000,0.0000,0.0000
5.946,580.9484,-3.9816,242.7453,0.2510,3.8000,-0.4500,355.9745,179.9987,359.8851,0.0000,0.0000,0.0000
6.059,580.7019,-4.0285,242.8804,0.2510,3.8000,-0.4500,356.4838,179.9982,0.0064,0.0000,0.0000,0.0000
6.168,580.4557,-4.0690,243.0143,0.2510,3.8000,-0.4500,356.7256,179.9984,0.0966,0.0000,0.0000,0.0000
6.293,580.2099,-4.0984,243.1436,0.2510,3.8000,-0.4500,357.0356,179.9992,0.2271,0.0000,0.0000,0.0000
6.418,579.9650,-4.1160,243.2686,0.2510,3.8000,-0.4500,357.4188,180.0014,0.4226,0.0000,0.0000,0.0000
6.543,579.7203,-4.1242,243.3911,0.2510,3.8000,-0.4500,357.7123,180.0040,0.5855,0.0000,0.0000,0.0000
6.668,579.4358,-4.1195,243.5313,0.2510,3.8000,-0.4500,358.0759,180.0084,0.8006,0.0000,0.0000,0.0000
6.796,579.1934,-4.1008,243.6491,0.2510,3.8000,-0.4500,358.5135,180.0155,1.0752,0.0000,0.0000,0.0000
6.904,578.9916,-4.0794,243.7467,0.2510,3.8000,-0.4500,358.7232,180.0197,1.2104,0.0000,0.0000,0.0000
7.015,578.7515,-4.0396,243.8605,0.2510,3.8000,-0.4500,359.1519,180.0298,1.4950,0.0000,0.0000,0.0000
7.141,578.5123,-3.9900,243.9733,0.2510,3.8000,-0.4500,359.4976,180.0396,1.7296,0.0000,0.0000,0.0000
7.252,578.2748,-3.9289,244.0855,0.2510,3.8000,-0.4500,359.8400,180.0506,1.9659,0.0000,0.0000,0.0000
7.362,578.0780,-3.8695,244.1793,0.2510,3.8000,-0.4500,0.1107,180.0603,2.1550,0.0000,0.0000,0.0000
7.487,577.8046,-3.7726,244.3110,0.2510,3.8000,-0.4500,0.5303,180.0772,2.4516,0.0000,0.0000,0.0000
7.599,577.6100,-3.6961,244.4025,0.2510,3.8000,-0.4500,0.7322,180.0861,2.5954,0.0000,0.0000,0.0000
7.709,577.3783,-3.5929,244.5037,0.2510,3.8000,-0.4500,1.0750,180.1024,2.8413,0.0000,0.0000,0.0000
7.834,577.1475,-3.4812,244.5985,0.2510,3.8000,-0.4500,1.3462,180.1163,3.0371,0.0000,0.0000,0.0000
