time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.4868,4.5258,250.0141,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.4868,4.5258,250.0141,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.107,599.0485,4.1506,250.0242,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.232,598.4993,3.6866,250.0332,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.357,597.8521,3.1438,250.0398,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.483,597.1191,2.5313,250.0307,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.608,596.1704,1.7391,249.9853,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.733,595.2872,1.0016,249.9130,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.833,594.5077,0.3505,249.8298,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.943,593.6927,-0.3304,249.7273,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.043,592.8458,-1.0383,249.6069,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.154,592.0460,-1.7345,249.4850,358.8381,180.0000,0.0040,358.8381,180.0000,0.0040
1.263,591.5806,-2.0535,249.4188,357.2597,179.9998,0.0093,357.2597,179.9998,0.0093
1.388,591.0928,-2.1823,249.3663,355.9841,179.9995,0.0128,355.9841,179.9995,0.0128
1.502,590.8088,-2.1424,249.3456,355.6984,179.9995,0.0130,355.6984,179.9995,0.0130
1.610,590.5056,-2.0500,249.3259,355.6984,179.9995,0.0129,355.6984,179.9995,0.0129
1.710,590.2709,-1.9867,249.3079,355.6984,179.9995,0.0129,355.6984,179.9995,0.0129
1.818,590.0455,-1.9598,249.2860,355.6984,179.9995,0.0129,355.6984,179.9995,0.0129
1.918,589.8268,-1.9735,249.2452,355.6984,179.9995,0.0129,355.6984,179.9995,0.0129
2.027,589.5757,-2.0301,249.1097,355.6984,179.9995,0.0129,355.6984,179.9995,0.0129
2.152,589.3350,-2.1105,248.8730,355.6984,179.9995,0.0129,355.6984,179.9995,0.0129
2.277,589.1014,-2.1969,248.5600,355.6984,179.9995,0.0129,355.6984,179.9995,0.0129
2.402,588.8712,-2.2788,248.2149,355.6984,179.9995,0.0129,355.6984,179.9995,0.0129
2.527,588.6036,-2.3631,247.8053,355.6984,179.9995,0.0129,355.6984,179.9995,0.0129
2.639,588.4130,-2.4156,247.5070,355.6984,179.9995,0.0129,355.6984,179.9995,0.0129
2.763,588.1880,-2.4687,247.0945,355.6984,179.9995,0.0129,355.6984,179.9995,0.0129
