time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.107,599.6057,4.6292,250.0096,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.234,599.2070,4.2861,250.0151,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.347,598.6929,3.8505,250.0200,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.457,598.1859,3.4245,250.0236,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.569,597.4933,2.8458,250.0275,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.680,596.7205,2.2014,250.0124,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.806,595.8834,1.4989,249.9046,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.917,595.1454,0.8739,249.7129,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.028,594.2182,0.0815,249.3513,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.139,593.2515,-0.7521,248.8481,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.250,592.4196,-1.4749,248.3266,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.361,591.4341,-2.3365,247.6185,359.8432,180.0000,0.0003,359.8432,180.0000,0.0003
1.486,590.7498,-2.9361,247.0439,356.2886,179.9998,0.0069,356.2886,179.9998,0.0069
1.597,590.3519,-3.1749,246.6010,353.6813,179.9994,0.0101,353.6813,179.9994,0.0101
1.711,589.9910,-3.2277,246.0544,351.9680,179.9991,0.0096,351.9680,179.9991,0.0096
1.820,589.7018,-3.1427,245.4757,351.2038,179.9990,0.0058,351.2038,179.9990,0.0058
1.945,589.4512,-3.0235,244.8632,351.2038,179.9990,0.0058,351.2038,179.9990,0.0058
2.057,589.2588,-2.9463,244.3291,351.2038,179.9989,0.0058,351.2038,179.9989,0.0058
2.167,589.0360,-2.9079,243.7103,351.2038,179.9989,0.0058,351.2038,179.9989,0.0058
2.279,588.8101,-2.9450,243.2219,351.2038,179.9989,0.0058,351.2038,179.9989,0.0058
2.392,588.6147,-3.0286,242.9412,351.2038,179.9989,0.0058,351.2038,179.9989,0.0058
2.501,588.3708,-3.1750,242.7394,351.2038,179.9989,0.0058,351.2038,179.9989,0.0058
2.625,588.1213,-3.3503,242.6491,351.0387,179.9989,359.9902,351.0387,179.9989,359.9902
2.738,587.8704,-3.5387,242.6362,350.8757,179.9990,359.9691,350.8757,179.9990,359.9691
2.849,587.6614,-3.6991,242.6673,350.8757,179.9990,359.9691,350.8757,179.9990,359.9691
2.960,587.4114,-3.8921,242.7399,350.7121,179.9991,359.9374,350.7121,179.9991,359.9374
3.071,587.2037,-4.0535,242.8199,350.6328,179.9992,359.9211,350.6328,179.9992,359.9211
3.183,586.9551,-4.2485,242.9310,350.6328,179.9992,359.9211,350.6328,179.9992,359.9211
3.294,586.7481,-4.4133,243.0316,350.6328,179.9992,359.9211,350.6328,179.9992,359.9211
3.404,586.4998,-4.6140,243.1565,350.4048,179.9997,359.8246,350.4048,179.9997,359.8246
3.516,586.2930,-4.7840,243.2595,350.4048,179.9997,359.8246,350.4048,179.9997,359.8246
3.627,586.0440,-4.9902,243.3801,350.4048,179.9997,359.8246,350.4048,179.9997,359.8246
3.738,585.7947,-5.1990,243.4974,350.4048,179.9997,359.8246,350.4048,179.9997,359.8246
3.849,585.5867,-5.3743,243.5930,350.4048,179.9997,359.8246,350.4048,179.9997,359.8246
3.960,585.3361,-5.5853,243.7055,350.3527,179.9999,359.7623,350.3527,179.9999,359.7623
4.073,585.1264,-5.7612,243.7914,350.2790,180.0003,359.6177,350.2790,180.0003,359.6177
4.182,584.8730,-5.9689,243.8741,350.2790,180.0003,359.6177,350.2790,180.0003,359.6177
4.311,584.6174,-6.1732,243.9355,350.2790,180.0003,359.6177,350.2790,180.0003,359.6177
4.419,584.3597,-6.3733,243.9808,350.2786,180.0003,359.3674,350.2786,180.0003,359.3674
4.530,584.1447,-6.5379,244.0108,350.2786,180.0003,359.3674,350.2786,180.0003,359.3674
4.641,583.8870,-6.7304,244.0208,350.2786,180.0003,359.3674,350.2786,180.0003,359.3674
4.754,583.6785,-6.8770,243.9387,350.3206,179.9998,359.2942,350.3206,179.9998,359.2942
4.863,583.4381,-7.0289,243.7050,350.3644,179.9993,359.2224,350.3644,179.9993,359.2224
4.974,583.2445,-7.1377,243.4166,350.3644,179.9993,359.2224,350.3644,179.9993,359.2224
5.100,582.9805,-7.2681,242.9122,350.4314,179.9983,359.1768,350.4314,179.9983,359.1768
5.211,582.7950,-7.3499,242.5041,350.4314,179.9983,359.1768,350.4314,179.9983,359.1768
5.322,582.5718,-7.4432,242.0317,350.5092,179.9971,359.1587,350.5092,179.9971,359.1587
5.447,582.3406,-7.5471,241.6780,350.5874,179.9960,359.1433,350.5874,179.9960,359.1433
5.558,582.0992,-7.6660,241.4597,350.8351,179.9923,359.1642,350.8351,179.9923,359.1642
5.683,581.8511,-7.7958,241.3575,351.2394,179.9866,359.2757,351.2394,179.9866,359.2757
