time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.9008,5.2765,250.4526,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.9008,5.2765,250.4526,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.109,598.6557,5.0566,250.4574,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.210,598.3492,4.7913,250.4610,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.318,597.9593,4.4592,250.4643,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.444,597.2883,3.8939,250.4683,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.569,596.6107,3.3270,250.4661,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.694,595.8519,2.6930,250.4389,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.820,595.0223,1.9997,250.3763,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.945,593.9767,1.1249,250.2549,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.070,593.0221,0.3253,250.1108,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.195,592.0201,-0.5147,249.9329,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.320,590.9762,-1.3906,249.7263,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.431,589.9380,-2.2811,249.5056,0.2510,3.8000,-0.4500,359.8393,180.0000,0.0004,0.0000,0.0000,0.0000
1.557,589.2123,-2.9723,249.3706,0.2510,3.8000,-0.4500,356.1872,179.9997,0.0089,0.0000,0.0000,0.0000
1.681,588.6381,-3.3477,249.2820,0.2510,3.8000,-0.4500,352.7478,179.9990,0.0126,0.0000,0.0000,0.0000
1.794,588.3229,-3.4201,249.2426,0.2510,3.8000,-0.4500,351.5228,179.9988,0.0092,0.0000,0.0000,0.0000
1.905,588.0002,-3.4114,249.2039,0.2510,3.8000,-0.4500,350.8099,179.9987,0.0001,0.0000,0.0000,0.0000
2.015,587.7577,-3.3905,249.1677,0.2510,3.8000,-0.4500,350.8099,179.9987,0.0001,0.0000,0.0000,0.0000
2.128,587.4843,-3.4052,249.1154,0.2510,3.8000,-0.4500,350.8099,179.9987,0.0001,0.0000,0.0000,0.0000
2.237,587.2651,-3.4646,249.0623,0.2510,3.8000,-0.4500,350.8099,179.9987,0.0001,0.0000,0.0000,0.0000
2.348,587.0074,-3.5885,248.9883,0.2510,3.8000,-0.4500,350.8099,179.9987,0.0001,0.0000,0.0000,0.0000
2.473,586.7574,-3.7473,248.8502,0.2510,3.8000,-0.4500,350.8099,179.9987,0.0001,0.0000,0.0000,0.0000
2.598,586.5235,-3.8968,248.5185,0.2510,3.8000,-0.4500,350.8099,179.9987,0.0001,0.0000,0.0000,0.0000
2.723,586.2662,-4.0365,247.9213,0.2510,3.8000,-0.4500,350.8099,179.9987,0.0001,0.0000,0.0000,0.0000
2.848,586.0533,-4.1265,247.2989,0.2510,3.8000,-0.4500,350.8099,179.9987,0.0001,0.0000,0.0000,0.0000
2.973,585.8437,-4.1973,246.6208,0.2510,3.8000,-0.4500,350.6583,179.9988,359.9393,0.0000,0.0000,0.0000
3.098,585.6365,-4.2510,245.9110,0.2510,3.8000,-0.4500,350.6583,179.9988,359.9393,0.0000,0.0000,0.0000
3.212,585.4302,-4.2970,245.1852,0.2510,3.8000,-0.4500,350.6583,179.9988,359.9393,0.0000,0.0000,0.0000
3.320,585.2233,-4.3448,244.4536,0.2510,3.8000,-0.4500,350.4390,179.9993,359.8296,0.0000,0.0000,0.0000
3.432,585.0513,-4.3825,243.8416,0.2510,3.8000,-0.4500,350.4390,179.9993,359.8296,0.0000,0.0000,0.0000
3.557,584.8450,-4.4303,243.1070,0.2510,3.8000,-0.4500,350.4390,179.9993,359.8296,0.0000,0.0000,0.0000
3.681,584.6041,-4.4914,242.2523,0.2510,3.8000,-0.4500,350.3667,179.9995,359.7907,0.0000,0.0000,0.0000
3.793,584.4296,-4.5425,241.6847,0.2510,3.8000,-0.4500,350.2953,179.9998,359.7523,0.0000,0.0000,0.0000
3.918,584.2108,-4.6285,241.1524,0.2510,3.8000,-0.4500,350.2257,180.0001,359.7145,0.0000,0.0000,0.0000
4.043,583.9384,-4.7728,240.7697,0.2510,3.8000,-0.4500,350.2257,180.0001,359.7145,0.0000,0.0000,0.0000
4.154,583.7340,-4.9041,240.6249,0.2510,3.8000,-0.4500,350.1564,180.0005,359.6728,0.0000,0.0000,0.0000
4.279,583.4847,-5.0831,240.5546,0.2510,3.8000,-0.4500,350.1564,180.0005,359.6728,0.0000,0.0000,0.0000
4.391,583.2338,-5.2814,240.5598,0.2510,3.8000,-0.4500,350.0911,180.0009,359.6228,0.0000,0.0000,0.0000
4.516,582.9826,-5.4888,240.6086,0.2510,3.8000,-0.4500,350.0911,180.0009,359.6228,0.0000,0.0000,0.0000
4.641,582.6893,-5.7374,240.6969,0.2510,3.8000,-0.4500,350.0911,180.0009,359.6228,0.0000,0.0000,0.0000
4.766,582.4377,-5.9519,240.7876,0.2510,3.8000,-0.4500,350.0911,180.0009,359.6228,0.0000,0.0000,0.0000
4.891,582.1860,-6.1653,240.8861,0.2510,3.8000,-0.4500,350.0911,180.0009,359.6228,0.0000,0.0000,0.0000
5.015,581.9345,-6.3759,240.9899,0.2510,3.8000,-0.4500,350.0911,180.0009,359.6228,0.0000,0.0000,0.0000
5.141,581.6415,-6.6164,241.1178,0.2510,3.8000,-0.4500,350.0911,180.0009,359.6228,0.0000,0.0000,0.0000
5.265,581.3909,-6.8167,241.2322,0.2510,3.8000,-0.4500,350.0911,180.0009,359.6228,0.0000,0.0000,0.0000
5.390,581.1406,-7.0102,241.3499,0.2510,3.8000,-0.4500,350.0911,180.0009,359.6228,0.0000,0.0000,0.0000
5.516,580.8897,-7.1948,241.4679,0.2510,3.8000,-0.4500,350.4829,179.9977,359.4624,0.0000,0.0000,0.0000
5.627,580.6406,-7.3695,241.5909,0.2510,3.8000,-0.4500,350.6501,179.9961,359.4472,0.0000,0.0000,0.0000
5.737,580.4338,-7.5031,241.6953,0.2510,3.8000,-0.4500,351.1112,179.9917,359.4895,0.0000,0.0000,0.0000
5.862,580.1454,-7.6747,241.8475,0.2510,3.8000,-0.4500,351.7113,179.9870,359.6469,0.0000,0.0000,0.0000
5.987,579.8992,-7.8059,241.9822,0.2510,3.8000,-0.4500,352.1971,179.9848,359.8437,0.0000,0.0000,0.0000
6.112,579.6537,-7.9207,242.1197,0.2510,3.8000,-0.4500,352.6903,179.9845,0.0821,0.0000,0.0000,0.0000
6.237,579.4092,-8.0177,242.2593,0.2510,3.8000,-0.4500,353.2080,179.9865,0.3557,0.0000,0.0000,0.0000
6.349,579.1656,-8.0954,242.4008,0.2510,3.8000,-0.4500,353.7563,179.9913,0.6610,0.0000,0.0000,0.0000
6.473,578.9236,-8.1529,242.5443,0.2510,3.8000,-0.4500,354.3362,179.9998,0.9960,0.0000,0.0000,0.0000
6.598,578.6833,-8.1890,242.6895,0.2510,3.8000,-0.4500,354.9463,180.0123,1.3585,0.0000,0.0000,0.0000
6.723,578.4055,-8.2031,242.8614,0.2510,3.8000,-0.4500,355.6926,180.0331,1.8131,0.0000,0.0000,0.0000
6.848,578.1703,-8.1905,243.0110,0.2510,3.8000,-0.4500,356.3579,180.0566,2.2270,0.0000,0.0000,0.0000
6.964,577.9383,-8.1544,243.1624,0.2510,3.8000,-0.4500,357.0428,180.0858,2.6601,0.0000,0.0000,0.0000
7.074,577.7476,-8.1062,243.2900,0.2510,3.8000,-0.4500,357.6254,180.1148,3.0332,0.0000,0.0000,0.0000
7.185,577.5225,-8.0266,243.4453,0.2510,3.8000,-0.4500,358.3345,180.1553,3.4924,0.0000,0.0000,0.0000
7.296,577.3382,-7.9420,243.5770,0.2510,3.8000,-0.4500,358.9306,180.1937,3.8823,0.0000,0.0000,0.0000
7.407,577.1216,-7.8190,243.7380,0.2510,3.8000,-0.4500,359.6478,180.2454,4.3552,0.0000,0.0000,0.0000
7.519,576.9449,-7.6987,243.8747,0.2510,3.8000,-0.4500,0.2437,180.2928,4.7508,0.0000,0.0000,0.0000
7.630,576.7382,-7.5335,244.0412,0.2510,3.8000,-0.4500,0.9521,180.3546,5.2238,0.0000,0.0000,0.0000
7.751,576.5372,-7.3462,244.2104,0.2510,3.8000,-0.4500,1.6481,180.4211,5.6910,0.0000,0.0000,0.0000
7.864,576.3422,-7.1377,244.3827,0.2510,3.8000,-0.4500,2.3264,180.4915,6.1482,0.0000,0.0000,0.0000
7.973,576.1843,-6.9485,244.5287,0.2510,3.8000,-0.4500,2.8745,180.5524,6.5187,0.0000,0.0000,0.0000
8.084,576.0006,-6.7039,244.7072,0.2510,3.8000,-0.4500,3.5077,180.6273,6.9473,0.0000,0.0000,0.0000
8.210,575.8231,-6.4413,244.8885,0.2510,3.8000,-0.4500,4.1098,180.7030,7.3550,0.0000,0.0000,0.0000
8.334,575.6516,-6.1624,245.0721,0.2510,3.8000,-0.4500,4.6764,180.7783,7.7382,0.0000,0.0000,0.0000
8.459,575.4857,-5.8685,245.2578,0.2510,3.8000,-0.4500,5.2037,180.8519,8.0936,0.0000,0.0000,0.0000
8.570,575.3250,-5.5612,245.4458,0.2510,3.8000,-0.4500,5.6881,180.9225,8.4183,0.0000,0.0000,0.0000
8.695,575.1693,-5.2423,245.6364,0.2510,3.8000,-0.4500,6.1267,180.9889,8.7095,0.0000,0.0000,0.0000
8.821,574.9912,-4.8744,245.6796,0.2510,3.8000,-0.4500,6.4789,181.0439,8.9399,0.0000,0.0000,0.0000
8.932,574.8676,-4.6367,245.4694,0.2510,3.8000,-0.4500,6.6134,181.0653,9.0286,0.0000,0.0000,0.0000
9.056,574.7241,-4.3777,245.0075,0.2510,3.8000,-0.4500,6.7464,181.0867,9.1174,0.0000,0.0000,0.0000
9.182,574.5612,-4.1040,244.2800,0.2510,3.8000,-0.4500,6.8141,181.0977,9.1619,0.0000,0.0000,0.0000
9.307,574.4236,-3.8842,243.5621,0.2510,3.8000,-0.4500,6.8817,181.1086,9.2061,0.0000,0.0000,0.0000
9.432,574.2865,-3.6744,242.7952,0.2510,3.8000,-0.4500,6.8817,181.1086,9.2061,0.0000,0.0000,0.0000
9.532,574.1724,-3.5037,242.1360,0.2510,3.8000,-0.4500,6.8817,181.1086,9.2061,0.0000,0.0000,0.0000
9.640,574.0582,-3.3335,241.4740,0.2510,3.8000,-0.4500,6.9575,181.1210,9.2348,0.0000,0.0000,0.0000
9.740,573.9434,-3.1645,240.8184,0.2510,3.8000,-0.4500,6.9575,181.1210,9.2348,0.0000,0.0000,0.0000
9.862,573.7814,-2.9277,239.9142,0.2510,3.8000,-0.4500,6.9575,181.1210,9.2348,0.0000,0.0000,0.0000
9.975,573.6649,-2.7581,239.2764,0.2510,3.8000,-0.4500,7.1153,181.1469,9.2244,0.0000,0.0000,0.0000
10.087,573.5248,-2.5591,238.4994,0.2510,3.8000,-0.4500,7.1153,181.1469,9.2244,0.0000,0.0000,0.0000
10.196,573.4050,-2.3936,237.8866,0.2510,3.8000,-0.4500,7.1857,181.1584,9.1854,0.0000,0.0000,0.0000
10.321,573.2275,-2.1470,237.1885,0.2510,3.8000,-0.4500,7.3752,181.1890,9.0320,0.0000,0.0000,0.0000
10.445,573.0661,-1.9212,236.7269,0.2510,3.8000,-0.4500,7.5215,181.2122,8.8379,0.0000,0.0000,0.0000
10.570,572.8998,-1.6799,236.4435,0.2510,3.8000,-0.4500,7.6252,181.2283,8.6198,0.0000,0.0000,0.0000
10.696,572.7314,-1.4158,236.3726,0.2510,3.8000,-0.4500,7.7091,181.2409,8.2932,0.0000,0.0000,0.0000
10.821,572.5310,-1.0956,236.4340,0.2510,3.8000,-0.4500,7.7450,181.2461,7.8802,0.0000,0.0000,0.0000
10.945,572.3536,-0.8241,236.5539,0.2510,3.8000,-0.4500,7.6859,181.2382,7.3655,0.0000,0.0000,0.0000
11.071,572.1714,-0.5598,236.7056,0.2510,3.8000,-0.4500,7.5589,181.2223,6.8664,0.0000,0.0000,0.0000
11.182,571.9836,-0.3078,236.8737,0.2510,3.8000,-0.4500,7.3755,181.2008,6.3709,0.0000,0.0000,0.0000
11.307,571.7894,-0.0719,237.0493,0.2510,3.8000,-0.4500,7.1430,181.1757,5.8582,0.0000,0.0000,0.0000
11.432,571.5886,0.1451,237.2275,0.2510,3.8000,-0.4500,6.8664,181.1485,5.3177,0.0000,0.0000,0.0000
11.557,571.3810,0.3414,237.4051,0.2510,3.8000,-0.4500,6.5506,181.1205,4.7469,0.0000,0.0000,0.0000
11.670,571.1666,0.5158,237.5806,0.2510,3.8000,-0.4500,6.2004,181.0931,4.1466,0.0000,0.0000,0.0000
11.779,570.9828,0.6437,237.7245,0.2510,3.8000,-0.4500,5.8858,181.0717,3.6260,0.0000,0.0000,0.0000
11.904,570.7181,0.7954,237.9219,0.2510,3.8000,-0.4500,5.4166,181.0449,2.8703,0.0000,0.0000,0.0000
12.029,570.4849,0.8995,238.0864,0.2510,3.8000,-0.4500,4.9936,181.0261,2.2020,0.0000,0.0000,0.0000
12.154,570.2466,0.9795,238.2458,0.2510,3.8000,-0.4500,4.5575,181.0119,1.5197,0.0000,0.0000,0.0000
12.279,570.0034,1.0352,238.4008,0.2510,3.8000,-0.4500,4.1141,181.0028,0.8282,0.0000,0.0000,0.0000
12.404,569.7147,1.0702,238.5781,0.2510,3.8000,-0.4500,3.5953,180.9989,0.0164,0.0000,0.0000,0.0000
12.529,569.4639,1.0749,238.7291,0.2510,3.8000,-0.4500,3.1558,181.0015,359.3221,0.0000,0.0000,0.0000
12.654,569.2108,1.0572,238.8822,0.2510,3.8000,-0.4500,2.7269,181.0091,358.6346,0.0000,0.0000,0.0000
12.779,568.9564,1.0180,239.0402,0.2510,3.8000,-0.4500,2.3137,181.0214,357.9590,0.0000,0.0000,0.0000
12.892,568.7013,0.9586,239.2045,0.2510,3.8000,-0.4500,1.9214,181.0376,357.3002,0.0000,0.0000,0.0000
13.001,568.4463,0.8801,239.3760,0.2510,3.8000,-0.4500,1.5555,181.0569,356.6633,0.0000,0.0000,0.0000
13.126,568.1918,0.7841,239.5557,0.2510,3.8000,-0.4500,1.2215,181.0782,356.0530,0.0000,0.0000,0.0000
13.251,567.9379,0.6724,239.7437,0.2510,3.8000,-0.4500,0.9254,181.1001,355.4737,0.0000,0.0000,0.0000
13.376,567.6854,0.5469,239.9395,0.2510,3.8000,-0.4500,0.6732,181.1212,354.9297,0.0000,0.0000,0.0000
13.501,567.3922,0.3859,240.1782,0.2510,3.8000,-0.4500,0.4429,181.1428,354.3445,0.0000,0.0000,0.0000
13.612,567.1843,0.2662,240.3549,0.2510,3.8000,-0.4500,0.3694,181.1503,354.1089,0.0000,0.0000,0.0000
13.725,566.9351,0.1125,240.5738,0.2510,3.8000,-0.4500,0.2779,181.1600,353.7099,0.0000,0.0000,0.0000
13.834,566.7284,-0.0198,240.7611,0.2510,3.8000,-0.4500,0.2302,181.1654,353.4636,0.0000,0.0000,0.0000
13.959,566.4818,-0.1833,240.9901,0.2510,3.8000,-0.4500,0.1968,181.1693,353.3031,0.0000,0.0000,0.0000
14.084,566.1944,-0.3868,241.2622,0.2510,3.8000,-0.4500,0.0971,181.1812,352.9864,0.0000,0.0000,0.0000
14.209,565.9492,-0.5704,241.4997,0.2510,3.8000,-0.4500,359.9306,181.2022,352.6892,0.0000,0.0000,0.0000
14.321,565.7060,-0.7560,241.7403,0.2510,3.8000,-0.4500,359.8736,181.2095,352.6266,0.0000,0.0000,0.0000
14.431,565.5039,-0.9203,241.9447,0.2510,3.8000,-0.4500,359.6288,181.2417,352.3971,0.0000,0.0000,0.0000
14.560,565.2630,-1.1168,242.1919,0.2510,3.8000,-0.4500,359.5506,181.2522,352.3617,0.0000,0.0000,0.0000
14.669,565.0234,-1.3227,242.4434,0.2510,3.8000,-0.4500,359.1425,181.3075,352.2260,0.0000,0.0000,0.0000
