time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.107,598.6016,5.0092,250.4596,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.222,598.2030,4.6661,250.4651,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.347,597.6889,4.2305,250.4700,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.458,597.0726,3.7129,250.4743,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.570,596.4893,3.2258,250.4766,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.681,595.7158,2.5814,250.4686,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.792,595.0169,1.9998,250.4469,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.904,594.1204,1.2539,250.4007,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.028,593.1664,0.4615,250.3507,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.154,592.0305,-0.4811,250.3211,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.264,591.4394,-0.9868,250.3340,0.2510,3.8000,-0.4500,358.9934,180.0000,0.0038,0.0000,0.0000,0.0000
1.390,590.9280,-1.2924,250.3508,0.2510,3.8000,-0.4500,357.8553,179.9998,0.0082,0.0000,0.0000,0.0000
1.501,590.5380,-1.3464,250.3384,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
1.613,590.2139,-1.2657,250.2927,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
1.723,589.9743,-1.1699,250.2052,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
1.836,589.7122,-1.0740,249.9994,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
1.947,589.5079,-1.0295,249.7492,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
2.057,589.2734,-1.0217,249.3750,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
2.169,589.0839,-1.0447,249.0158,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
2.279,588.8608,-1.0921,248.5449,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
2.392,588.6774,-1.1371,248.1276,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
2.502,588.4606,-1.1869,247.5850,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
2.614,588.2468,-1.2262,246.9973,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
2.724,588.0701,-1.2509,246.4845,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
2.836,587.8550,-1.2757,245.9214,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
2.947,587.6681,-1.2988,245.5610,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
3.058,587.4335,-1.3336,245.2690,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
3.169,587.2300,-1.3696,245.1280,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
3.279,586.9813,-1.4210,245.0597,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
3.391,586.7732,-1.4696,245.0658,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
3.504,586.5240,-1.5333,245.1259,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
3.614,586.2755,-1.6008,245.2244,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
3.724,586.0690,-1.6589,245.3255,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
3.837,585.8217,-1.7296,245.4612,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
3.962,585.5745,-1.8007,245.6063,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
4.072,585.3687,-1.8600,245.7314,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
4.183,585.1218,-1.9309,245.8844,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
4.309,584.8746,-2.0015,246.0389,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
4.419,584.6274,-2.0715,246.1938,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
4.544,584.3801,-2.1408,246.3487,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
4.655,584.1325,-2.2090,246.5042,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
4.767,583.9262,-2.2648,246.6346,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
4.877,583.6786,-2.3302,246.7916,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
4.988,583.4724,-2.3831,246.9219,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
5.100,583.2248,-2.4441,247.0767,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
5.224,582.9770,-2.5020,247.2295,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
5.335,582.7291,-2.5564,247.3798,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
5.446,582.5224,-2.5986,247.5023,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
5.557,582.2742,-2.6453,247.6462,0.2510,3.8000,-0.4500,357.4012,179.9998,0.0098,0.0000,0.0000,0.0000
5.669,582.0670,-2.6806,247.7639,0.2510,3.8000,-0.4500,357.4788,179.9998,359.9733,0.0000,0.0000,0.0000
5.793,581.7772,-2.7237,247.9281,0.2510,3.8000,-0.4500,357.7122,179.9995,359.8783,0.0000,0.0000,0.0000
5.904,581.5708,-2.7496,248.0465,0.2510,3.8000,-0.4500,357.7950,179.9993,359.8705,0.0000,0.0000,0.0000
6.029,581.3234,-2.7742,248.1858,0.2510,3.8000,-0.4500,358.0443,179.9987,359.8583,0.0000,0.0000,0.0000
6.153,581.0327,-2.7930,248.3174,0.2510,3.8000,-0.4500,358.3763,179.9980,359.9124,0.0000,0.0000,0.0000
6.278,580.7812,-2.8027,248.3984,0.2510,3.8000,-0.4500,358.5336,179.9978,359.9587,0.0000,0.0000,0.0000
6.403,580.5284,-2.8053,248.4415,0.2510,3.8000,-0.4500,358.6892,179.9978,0.0147,0.0000,0.0000,0.0000
6.514,580.2784,-2.7985,248.4151,0.2510,3.8000,-0.4500,358.9928,179.9982,0.1470,0.0000,0.0000,0.0000
6.639,580.0325,-2.7873,248.3227,0.2510,3.8000,-0.4500,359.1391,179.9987,0.2305,0.0000,0.0000,0.0000
6.751,579.8297,-2.7729,248.2146,0.2510,3.8000,-0.4500,359.2832,179.9994,0.3164,0.0000,0.0000,0.0000
