time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8000,4.8007,250.0055,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8000,4.8007,250.0055,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.102,599.5479,4.5789,250.0112,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.210,599.2072,4.2861,250.0163,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.322,598.6932,3.8505,250.0214,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.432,598.1873,3.4245,250.0138,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.543,597.4998,2.8458,249.9639,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.654,596.8679,2.3130,249.8780,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.765,596.0476,1.6198,249.7176,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.890,595.1671,0.8739,249.4965,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.002,594.2337,0.0815,249.2190,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.128,593.2693,-0.7405,248.8669,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.238,592.5612,-1.3377,248.4851,359.0117,180.0000,0.0028,359.0117,180.0000,0.0028
1.350,592.1498,-1.5705,248.1519,358.0461,179.9999,0.0055,358.0461,179.9999,0.0055
1.475,591.7228,-1.5995,247.6346,357.4605,179.9998,0.0068,357.4605,179.9998,0.0068
1.585,591.4800,-1.5016,247.1837,357.4605,179.9998,0.0068,357.4605,179.9998,0.0068
1.687,591.2668,-1.3742,246.6673,357.4605,179.9998,0.0068,357.4605,179.9998,0.0068
1.808,591.0338,-1.2399,245.9881,357.4605,179.9998,0.0068,357.4605,179.9998,0.0068
1.919,590.8145,-1.1574,245.2699,357.4605,179.9998,0.0068,357.4605,179.9998,0.0068
2.032,590.6376,-1.1312,244.6546,357.4605,179.9998,0.0068,357.4605,179.9998,0.0068
2.142,590.4288,-1.1392,243.9083,357.4605,179.9998,0.0068,357.4605,179.9998,0.0068
2.253,590.2538,-1.1673,243.3324,357.4605,179.9998,0.0068,357.4605,179.9998,0.0068
2.365,590.0347,-1.2166,242.7990,357.4605,179.9998,0.0068,357.4605,179.9998,0.0068
2.474,589.8417,-1.2645,242.5063,357.4605,179.9998,0.0068,357.4605,179.9998,0.0068
2.587,589.5991,-1.3240,242.3099,357.4605,179.9998,0.0068,357.4605,179.9998,0.0068
2.696,589.3508,-1.3824,242.2308,357.4605,179.9998,0.0068,357.4605,179.9998,0.0068
2.809,589.1423,-1.4297,242.2238,357.4605,179.9998,0.0068,357.4605,179.9998,0.0068
2.920,588.8916,-1.4863,242.2591,357.4605,179.9998,0.0068,357.4605,179.9998,0.0068
3.031,588.6821,-1.5339,242.3076,357.4605,179.9998,0.0068,357.4605,179.9998,0.0068
3.142,588.4303,-1.5927,242.3765,357.4605,179.9998,0.0068,357.4605,179.9998,0.0068
3.253,588.2201,-1.6435,242.4381,357.2990,179.9998,359.9862,357.2990,179.9998,359.9862
3.364,587.9676,-1.7064,242.5142,357.2990,179.9998,359.9862,357.2990,179.9998,359.9862
3.490,587.7149,-1.7714,242.5918,357.2990,179.9998,359.9863,357.2990,179.9998,359.9863
3.601,587.4622,-1.8377,242.6705,357.2990,179.9998,359.9863,357.2990,179.9998,359.9863
3.711,587.2512,-1.8936,242.7341,357.2990,179.9998,359.9863,357.2990,179.9998,359.9863
3.836,586.9540,-1.9717,242.8064,357.2990,179.9998,359.9863,357.2990,179.9998,359.9863
3.948,586.7404,-2.0270,242.8447,357.2990,179.9998,359.9863,357.2990,179.9998,359.9863
4.060,586.4828,-2.0927,242.8785,357.2990,179.9998,359.9863,357.2990,179.9998,359.9863
4.170,586.2692,-2.1465,242.8773,357.2990,179.9999,359.9863,357.2990,179.9999,359.9863
4.281,586.0212,-2.2053,242.7631,357.2990,179.9998,359.9863,357.2990,179.9998,359.9863
4.406,585.7828,-2.2569,242.5203,357.2990,179.9999,359.9863,357.2990,179.9999,359.9863
4.517,585.5516,-2.3022,242.1790,357.2990,179.9998,359.9863,357.2990,179.9998,359.9863
4.628,585.3622,-2.3369,241.8478,357.2990,179.9998,359.9863,357.2990,179.9998,359.9863
4.741,585.1371,-2.3762,241.4194,357.2990,179.9998,359.9863,357.2990,179.9998,359.9863
4.851,584.9500,-2.4080,241.0582,357.2990,179.9998,359.9863,357.2990,179.9998,359.9863
4.962,584.7189,-2.4496,240.7109,357.2991,179.9998,359.9863,357.2991,179.9998,359.9863
5.086,584.4769,-2.4982,240.5037,357.2990,179.9998,359.9863,357.2990,179.9998,359.9863
5.211,584.2287,-2.5537,240.4232,357.2991,179.9998,359.9863,357.2991,179.9998,359.9863
5.338,583.9382,-2.6236,240.4450,357.2991,179.9998,359.9863,357.2991,179.9998,359.9863
5.447,583.7313,-2.6752,240.5115,357.2991,179.9998,359.9863,357.2991,179.9998,359.9863
5.558,583.4839,-2.7366,240.6270,357.2991,179.9998,359.9863,357.2991,179.9998,359.9863
5.683,583.2374,-2.7962,240.7667,357.2991,179.9998,359.9863,357.2991,179.9998,359.9863
5.798,582.9916,-2.8524,240.9208,357.2991,179.9998,359.9863,357.2991,179.9998,359.9863
5.905,582.7872,-2.8962,241.0557,357.2991,179.9998,359.9863,357.2991,179.9998,359.9863
6.018,582.5424,-2.9442,241.2238,357.2991,179.9999,359.9863,357.2991,179.9999,359.9863
6.127,582.3389,-2.9803,241.3681,357.2991,179.9999,359.9863,357.2991,179.9999,359.9863
6.254,582.0953,-3.0183,241.5452,357.2991,179.9999,359.9863,357.2991,179.9999,359.9863
6.366,581.8522,-3.0500,241.7239,357.4619,179.9999,0.0325,357.4619,179.9999,0.0325
6.475,581.6499,-3.0714,241.8724,357.6242,180.0000,0.0821,357.6242,180.0000,0.0821
6.586,581.4074,-3.0907,242.0489,357.9511,180.0009,0.2111,357.9511,180.0009,0.2111
6.696,581.1653,-3.1027,242.2229,358.0289,180.0012,0.2436,358.0289,180.0012,0.2436
6.821,580.9233,-3.1070,242.3924,358.4213,180.0035,0.4351,358.4213,180.0035,0.4351
6.933,580.7217,-3.1047,242.5301,358.6414,180.0054,0.5536,358.6414,180.0054,0.5536
7.044,580.4801,-3.0947,242.6912,358.7833,180.0069,0.6320,358.7833,180.0069,0.6320
7.156,580.2386,-3.0767,242.8466,359.1385,180.0114,0.8431,359.1385,180.0114,0.8431
7.266,580.0378,-3.0555,242.9723,359.2814,180.0136,0.9324,359.2814,180.0136,0.9324
7.378,579.7971,-3.0229,243.1189,359.4943,180.0173,1.0672,359.4943,180.0173,1.0672
7.502,579.5569,-2.9823,243.2602,359.8486,180.0247,1.3000,359.8486,180.0247,1.3000
7.626,579.3173,-2.9340,243.3965,359.9893,180.0280,1.3949,359.9893,180.0280,1.3949
7.752,579.0786,-2.8782,243.5292,0.1981,180.0333,1.5368,0.1981,180.0333,1.5368
7.864,578.8408,-2.8151,243.6613,0.4838,180.0415,1.7350,0.4838,180.0415,1.7350
7.976,578.6043,-2.7448,243.7942,0.6202,180.0457,1.8305,0.6202,180.0457,1.8305
8.086,578.4079,-2.6812,243.9060,0.7576,180.0502,1.9272,0.7576,180.0502,1.9272
8.196,578.1733,-2.5987,244.0422,1.0367,180.0601,2.1251,1.0367,180.0601,2.1251
8.322,577.9400,-2.5102,244.1810,1.1076,180.0628,2.1755,1.1076,180.0628,2.1755
8.434,577.7465,-2.4320,244.2981,1.3200,180.0711,2.3268,1.3200,180.0711,2.3268
8.544,577.5153,-2.3335,244.4403,1.4522,180.0766,2.4208,1.4522,180.0766,2.4208
8.654,577.3235,-2.2477,244.5600,1.5174,180.0794,2.4671,1.5174,180.0794,2.4671
8.766,577.0940,-2.1408,244.7045,1.6512,180.0853,2.5618,1.6512,180.0853,2.5618
8.891,576.8652,-2.0305,244.8487,1.7871,180.0915,2.6569,1.7871,180.0915,2.6569
9.003,576.6370,-1.9171,244.9913,1.8554,180.0947,2.7041,1.8554,180.0947,2.7041
9.113,576.4471,-1.8210,245.1087,1.9237,180.0979,2.7511,1.9237,180.0979,2.7511
9.226,576.2194,-1.7040,245.2474,1.9237,180.0979,2.7511,1.9237,180.0979,2.7511
9.335,575.9917,-1.5863,245.3822,1.9918,180.1012,2.7958,1.9918,180.1012,2.7958
9.447,575.8018,-1.4879,245.4919,1.9918,180.1012,2.7958,1.9918,180.1012,2.7958
9.558,575.5734,-1.3703,245.6197,1.9918,180.1012,2.7958,1.9918,180.1012,2.7958
9.669,575.3826,-1.2730,245.7205,1.9918,180.1012,2.7958,1.9918,180.1012,2.7958
9.780,575.1528,-1.1580,245.8349,1.9918,180.1012,2.7958,1.9918,180.1012,2.7958
9.891,574.9606,-1.0639,245.9235,1.9918,180.1012,2.7958,1.9918,180.1012,2.7958
10.002,574.7281,-0.9554,245.9658,1.9918,180.1012,2.7958,1.9918,180.1012,2.7958
10.114,574.5336,-0.8700,245.9426,1.9918,180.1012,2.7958,1.9918,180.1012,2.7958
10.238,574.2626,-0.7573,245.8459,1.9918,180.1012,2.7958,1.9918,180.1012,2.7958
10.350,574.0699,-0.6816,245.7415,1.9918,180.1012,2.7958,1.9918,180.1012,2.7958
10.461,573.8394,-0.5955,245.5865,1.9918,180.1012,2.7958,1.9918,180.1012,2.7958
10.572,573.6479,-0.5280,245.4402,1.9918,180.1012,2.7958,1.9918,180.1012,2.7958
10.684,573.4161,-0.4507,245.2766,1.9918,180.1012,2.7958,1.9918,180.1012,2.7958
10.793,573.2202,-0.3890,245.1678,1.9918,180.1012,2.7958,1.9918,180.1012,2.7958
10.905,572.9827,-0.3173,245.1121,1.9918,180.1012,2.7958,1.9918,180.1012,2.7958
11.015,572.7438,-0.2491,245.1238,1.9359,180.0986,2.5467,1.9359,180.0986,2.5467
11.141,572.5050,-0.1853,245.1862,1.8907,180.0967,2.3855,1.8907,180.0967,2.3855
11.252,572.3062,-0.1364,245.2672,1.7588,180.0915,2.0698,1.7588,180.0915,2.0698
11.362,572.0678,-0.0837,245.3892,1.6871,180.0891,1.9243,1.6871,180.0891,1.9243
11.487,571.8293,-0.0379,245.5307,1.5285,180.0841,1.6367,1.5285,180.0841,1.6367
11.600,571.5904,0.0005,245.6850,1.4448,180.0818,1.4959,1.4448,180.0818,1.4959
11.709,571.3908,0.0268,245.8199,1.2245,180.0768,1.1420,1.2245,180.0768,1.1420
11.834,571.1505,0.0514,245.9863,1.1797,180.0759,1.0716,1.1797,180.0759,1.0716
11.960,570.8692,0.0707,246.1843,0.9989,180.0730,0.7868,0.9989,180.0730,0.7868
12.071,570.6674,0.0783,246.3267,0.8634,180.0714,0.5665,0.8634,180.0714,0.5665
12.197,570.3836,0.0810,246.5244,0.7766,180.0706,0.4231,0.7766,180.0706,0.4231
12.321,570.1393,0.0761,246.6917,0.6109,180.0698,0.1279,0.6109,180.0698,0.1279
12.433,569.9349,0.0674,246.8290,0.5355,180.0697,359.9803,0.5355,180.0697,359.9803
12.556,569.6470,0.0486,247.0143,0.3953,180.0702,359.6754,0.3953,180.0702,359.6754
12.683,569.3989,0.0270,247.1668,0.3667,180.0703,359.5977,0.3667,180.0703,359.5977
12.807,569.1500,0.0008,247.3145,0.3110,180.0708,359.4402,0.3110,180.0708,359.4402
12.932,568.8998,-0.0300,247.4583,0.2633,180.0713,359.2836,0.2633,180.0713,359.2836
13.045,568.6487,-0.0654,247.5995,0.1944,180.0724,359.0432,0.1944,180.0724,359.0432
13.167,568.3959,-0.1055,247.7220,0.1470,180.0732,358.8844,0.1470,180.0732,358.8844
13.293,568.1392,-0.1501,247.7890,0.0979,180.0742,358.7271,0.0979,180.0742,358.7271
13.404,567.8814,-0.1989,247.7956,0.0119,180.0763,358.4919,0.0119,180.0763,358.4919
13.516,567.6240,-0.2515,247.7537,0.0119,180.0763,358.4919,0.0119,180.0763,358.4919
13.627,567.4113,-0.2979,247.6844,359.9141,180.0791,358.2654,359.9141,180.0791,358.2654
13.738,567.1577,-0.3562,247.5669,359.9141,180.0791,358.2654,359.9141,180.0791,358.2654
13.863,566.9058,-0.4169,247.4213,359.7973,180.0829,358.0472,359.7973,180.0829,358.0472
13.987,566.6553,-0.4798,247.2530,359.7973,180.0829,358.0472,359.7973,180.0829,358.0472
14.112,566.4056,-0.5444,247.0686,359.7973,180.0828,358.0472,359.7973,180.0828,358.0472
14.239,566.1140,-0.6219,246.8618,359.7519,180.0844,357.9814,359.7519,180.0844,357.9814
14.349,565.9022,-0.6787,246.7575,359.6454,180.0883,357.8582,359.6454,180.0883,357.8582
14.461,565.6454,-0.7491,246.7113,359.6454,180.0883,357.8582,359.6454,180.0883,357.8582
14.572,565.4311,-0.8092,246.7211,359.6454,180.0883,357.8582,359.6454,180.0883,357.8582
14.681,565.1741,-0.8827,246.7715,359.6454,180.0883,357.8582,359.6454,180.0883,357.8582
14.807,564.9175,-0.9571,246.8495,359.5740,180.0910,357.8187,359.5740,180.0910,357.8187
14.918,564.6620,-1.0320,246.9465,359.5740,180.0910,357.8187,359.5740,180.0910,357.8187
