time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.9008,5.2765,250.4526,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.9008,5.2765,250.4526,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.120,598.6557,5.0566,250.4574,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.234,598.2776,4.7300,250.4617,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.343,597.7817,4.3091,250.4655,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.455,597.2883,3.8939,250.4683,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.580,596.6104,3.3270,250.4693,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.692,595.8510,2.6930,250.4483,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.806,595.0212,1.9998,250.3883,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.914,594.2826,1.3816,250.3035,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.026,593.3460,0.5966,250.1606,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.137,592.5281,-0.0899,250.0097,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.248,591.5474,-0.9230,249.8032,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.359,590.9533,-1.4414,249.6755,0.2510,3.8000,-0.4500,358.4954,179.9999,0.0050,0.0000,0.0000,0.0000
1.473,590.4427,-1.7505,249.5642,0.2510,3.8000,-0.4500,356.7974,179.9997,0.0102,0.0000,0.0000,0.0000
1.597,590.0541,-1.8067,249.4788,0.2510,3.8000,-0.4500,355.8920,179.9995,0.0121,0.0000,0.0000,0.0000
1.721,589.7302,-1.7329,249.4054,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0122,0.0000,0.0000,0.0000
1.832,589.4404,-1.6352,249.3400,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
1.957,589.1682,-1.5756,249.2802,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
2.069,588.9051,-1.5760,249.2232,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
2.180,588.6892,-1.6188,249.1812,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
2.291,588.4312,-1.7063,249.1450,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
2.392,588.2162,-1.7958,249.1270,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
2.500,588.0009,-1.8898,249.1190,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
2.614,587.7425,-1.9997,249.1227,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
2.736,587.4845,-2.1021,249.1386,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
2.850,587.2269,-2.1966,249.1643,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
2.958,587.0128,-2.2714,249.1952,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
3.069,586.7568,-2.3592,249.2437,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
3.181,586.5439,-2.4326,249.2915,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
3.292,586.2877,-2.5214,249.3423,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
3.403,586.0300,-2.6107,249.3737,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
3.514,585.8148,-2.6851,249.3848,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
3.626,585.5566,-2.7746,249.3860,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
3.751,585.2980,-2.8644,249.3820,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
3.876,585.0389,-2.9542,249.3764,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
4.000,584.7793,-3.0442,249.3765,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
4.112,584.5198,-3.1351,249.3947,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
4.225,584.2614,-3.2267,249.4307,0.2510,3.8000,-0.4500,355.7153,179.9995,0.0121,0.0000,0.0000,0.0000
4.336,584.0452,-3.3074,249.4712,0.2510,3.8000,-0.4500,355.7460,179.9994,359.7634,0.0000,0.0000,0.0000
4.459,583.7885,-3.3990,249.5304,0.2510,3.8000,-0.4500,355.7460,179.9994,359.7634,0.0000,0.0000,0.0000
4.570,583.5322,-3.4896,249.5972,0.2510,3.8000,-0.4500,355.7460,179.9994,359.7634,0.0000,0.0000,0.0000
4.682,583.3179,-3.5656,249.6561,0.2510,3.8000,-0.4500,355.8291,179.9990,359.6193,0.0000,0.0000,0.0000
4.793,583.0630,-3.6504,249.6756,0.2510,3.8000,-0.4500,355.8291,179.9990,359.6193,0.0000,0.0000,0.0000
4.919,582.8150,-3.7263,249.5564,0.2510,3.8000,-0.4500,356.0104,179.9975,359.4426,0.0000,0.0000,0.0000
5.029,582.5771,-3.7898,249.3027,0.2510,3.8000,-0.4500,356.0104,179.9975,359.4427,0.0000,0.0000,0.0000
5.140,582.3853,-3.8350,248.9889,0.2510,3.8000,-0.4500,356.0104,179.9975,359.4427,0.0000,0.0000,0.0000
5.251,582.1646,-3.8780,248.4574,0.2510,3.8000,-0.4500,356.0862,179.9967,359.4126,0.0000,0.0000,0.0000
5.376,581.9506,-3.9117,247.8196,0.2510,3.8000,-0.4500,356.0862,179.9967,359.4126,0.0000,0.0000,0.0000
5.490,581.7397,-3.9397,247.1379,0.2510,3.8000,-0.4500,356.0862,179.9967,359.4126,0.0000,0.0000,0.0000
5.597,581.5649,-3.9604,246.5610,0.2510,3.8000,-0.4500,356.0862,179.9967,359.4126,0.0000,0.0000,0.0000
5.709,581.3556,-3.9817,245.8704,0.2510,3.8000,-0.4500,356.1682,179.9959,359.4249,0.0000,0.0000,0.0000
5.810,581.1815,-3.9964,245.2990,0.2510,3.8000,-0.4500,356.3242,179.9944,359.4700,0.0000,0.0000,0.0000
5.931,580.9720,-4.0142,244.6202,0.2510,3.8000,-0.4500,356.3242,179.9944,359.4700,0.0000,0.0000,0.0000
6.057,580.7635,-4.0266,243.9457,0.2510,3.8000,-0.4500,356.4654,179.9932,359.5510,0.0000,0.0000,0.0000
6.181,580.5560,-4.0342,243.2726,0.2510,3.8000,-0.4500,356.6578,179.9919,359.7016,0.0000,0.0000,0.0000
6.306,580.3152,-4.0408,242.4538,0.2510,3.8000,-0.4500,356.7154,179.9917,359.7614,0.0000,0.0000,0.0000
6.419,580.1456,-4.0392,241.8440,0.2510,3.8000,-0.4500,356.8290,179.9913,359.8836,0.0000,0.0000,0.0000
6.529,579.9432,-4.0337,241.0995,0.2510,3.8000,-0.4500,356.9323,179.9912,0.0180,0.0000,0.0000,0.0000
6.656,579.7382,-4.0258,240.4123,0.2510,3.8000,-0.4500,357.0321,179.9914,0.1535,0.0000,0.0000,0.0000
6.765,579.5240,-4.0181,239.8863,0.2510,3.8000,-0.4500,357.1724,179.9920,0.3589,0.0000,0.0000,0.0000
6.889,579.2978,-4.0107,239.5435,0.2510,3.8000,-0.4500,357.3745,179.9937,0.6341,0.0000,0.0000,0.0000
7.014,579.0604,-4.0048,239.3553,0.2510,3.8000,-0.4500,357.5278,179.9957,0.8208,0.0000,0.0000,0.0000
7.128,578.8192,-3.9920,239.2807,0.2510,3.8000,-0.4500,357.8239,180.0008,1.1241,0.0000,0.0000,0.0000
7.237,578.6172,-3.9783,239.2786,0.2510,3.8000,-0.4500,358.0085,180.0047,1.2900,0.0000,0.0000,0.0000
7.347,578.3757,-3.9533,239.3232,0.2510,3.8000,-0.4500,358.2677,180.0110,1.5038,0.0000,0.0000,0.0000
7.459,578.1763,-3.9224,239.3858,0.2510,3.8000,-0.4500,358.6148,180.0209,1.7626,0.0000,0.0000,0.0000
7.569,577.9389,-3.8756,239.4815,0.2510,3.8000,-0.4500,359.0223,180.0345,2.0496,0.0000,0.0000,0.0000
7.695,577.7027,-3.8203,239.5923,0.2510,3.8000,-0.4500,359.2979,180.0448,2.2341,0.0000,0.0000,0.0000
7.806,577.4691,-3.7506,239.7112,0.2510,3.8000,-0.4500,359.7188,180.0622,2.5099,0.0000,0.0000,0.0000
7.931,577.2369,-3.6722,239.8372,0.2510,3.8000,-0.4500,0.0014,180.0750,2.6914,0.0000,0.0000,0.0000
8.042,577.0456,-3.5960,239.9447,0.2510,3.8000,-0.4500,0.3577,180.0925,2.9179,0.0000,0.0000,0.0000
8.155,576.8173,-3.4974,240.0791,0.2510,3.8000,-0.4500,0.6382,180.1072,3.0939,0.0000,0.0000,0.0000
8.279,576.5911,-3.3881,240.2177,0.2510,3.8000,-0.4500,0.9210,180.1230,3.2698,0.0000,0.0000,0.0000
8.390,576.3672,-3.2672,240.3568,0.2510,3.8000,-0.4500,1.2956,180.1451,3.4991,0.0000,0.0000,0.0000
8.500,576.1814,-3.1611,240.4696,0.2510,3.8000,-0.4500,1.5094,180.1584,3.6288,0.0000,0.0000,0.0000
8.600,575.9965,-3.0488,240.5778,0.2510,3.8000,-0.4500,1.7342,180.1730,3.7623,0.0000,0.0000,0.0000
8.708,575.7757,-2.9065,240.7010,0.2510,3.8000,-0.4500,2.0254,180.1926,3.9329,0.0000,0.0000,0.0000
8.820,575.5916,-2.7853,240.7598,0.2510,3.8000,-0.4500,2.1661,180.2023,4.0140,0.0000,0.0000,0.0000
8.931,575.3727,-2.6374,240.7265,0.2510,3.8000,-0.4500,2.4563,180.2231,4.1764,0.0000,0.0000,0.0000
9.045,575.1559,-2.4922,240.6068,0.2510,3.8000,-0.4500,2.6007,180.2338,4.2541,0.0000,0.0000,0.0000
9.168,574.9495,-2.3538,240.3143,0.2510,3.8000,-0.4500,2.6726,180.2392,4.2917,0.0000,0.0000,0.0000
9.279,574.7874,-2.2463,239.9067,0.2510,3.8000,-0.4500,2.8172,180.2501,4.3640,0.0000,0.0000,0.0000
9.403,574.5691,-2.1091,239.1726,0.2510,3.8000,-0.4500,2.8887,180.2556,4.3966,0.0000,0.0000,0.0000
9.515,574.4164,-2.0170,238.5860,0.2510,3.8000,-0.4500,2.8887,180.2556,4.3966,0.0000,0.0000,0.0000
9.628,574.2345,-1.9092,237.8581,0.2510,3.8000,-0.4500,2.8887,180.2556,4.3966,0.0000,0.0000,0.0000
9.736,574.0834,-1.8194,237.2483,0.2510,3.8000,-0.4500,2.9669,180.2617,4.4220,0.0000,0.0000,0.0000
9.862,573.9017,-1.7124,236.5223,0.2510,3.8000,-0.4500,3.0457,180.2678,4.4379,0.0000,0.0000,0.0000
9.973,573.7194,-1.6066,235.8047,0.2510,3.8000,-0.4500,3.0456,180.2678,4.4379,0.0000,0.0000,0.0000
10.098,573.5365,-1.5009,235.0932,0.2510,3.8000,-0.4500,3.1245,180.2739,4.4404,0.0000,0.0000,0.0000
10.212,573.3536,-1.3975,234.3729,0.2510,3.8000,-0.4500,3.1245,180.2739,4.4404,0.0000,0.0000,0.0000
10.320,573.2018,-1.3144,233.7465,0.2510,3.8000,-0.4500,3.2040,180.2801,4.4206,0.0000,0.0000,0.0000
10.431,573.0198,-1.2182,232.9819,0.2510,3.8000,-0.4500,3.2826,180.2862,4.3991,0.0000,0.0000,0.0000
10.556,572.8361,-1.1249,232.2326,0.2510,3.8000,-0.4500,3.3522,180.2915,4.3613,0.0000,0.0000,0.0000
10.682,572.6451,-1.0291,231.5898,0.2510,3.8000,-0.4500,3.4792,180.3011,4.2653,0.0000,0.0000,0.0000
10.807,572.4083,-0.9085,231.0364,0.2510,3.8000,-0.4500,3.6438,180.3132,4.0819,0.0000,0.0000,0.0000
10.917,572.2320,-0.8154,230.7528,0.2510,3.8000,-0.4500,3.6438,180.3132,4.0819,0.0000,0.0000,0.0000
11.029,572.0116,-0.7012,230.5334,0.2510,3.8000,-0.4500,3.7661,180.3217,3.8673,0.0000,0.0000,0.0000
11.140,571.8245,-0.6007,230.4648,0.2510,3.8000,-0.4500,3.8256,180.3256,3.7147,0.0000,0.0000,0.0000
11.250,571.5972,-0.4790,230.4687,0.2510,3.8000,-0.4500,3.8872,180.3295,3.4706,0.0000,0.0000,0.0000
11.353,571.4067,-0.3781,230.5171,0.2510,3.8000,-0.4500,3.9136,180.3311,3.3069,0.0000,0.0000,0.0000
11.462,571.2146,-0.2814,230.5914,0.2510,3.8000,-0.4500,3.9248,180.3317,3.0578,0.0000,0.0000,0.0000
11.572,570.9826,-0.1703,230.7015,0.2510,3.8000,-0.4500,3.9159,180.3313,2.8064,0.0000,0.0000,0.0000
11.681,570.7869,-0.0860,230.8037,0.2510,3.8000,-0.4500,3.8673,180.3290,2.4694,0.0000,0.0000,0.0000
11.792,570.5508,0.0078,230.9326,0.2510,3.8000,-0.4500,3.7819,180.3256,2.1245,0.0000,0.0000,0.0000
11.917,570.3124,0.0923,231.0643,0.2510,3.8000,-0.4500,3.6849,180.3223,1.7996,0.0000,0.0000,0.0000
12.029,570.0718,0.1659,231.1970,0.2510,3.8000,-0.4500,3.5526,180.3185,1.4608,0.0000,0.0000,0.0000
12.141,569.8690,0.2164,231.3077,0.2510,3.8000,-0.4500,3.3798,180.3147,1.0568,0.0000,0.0000,0.0000
12.253,569.6247,0.2703,231.4388,0.2510,3.8000,-0.4500,3.2316,180.3124,0.7486,0.0000,0.0000,0.0000
12.362,569.4197,0.3073,231.5475,0.2510,3.8000,-0.4500,3.1160,180.3111,0.5209,0.0000,0.0000,0.0000
12.488,569.1292,0.3410,231.7004,0.2510,3.8000,-0.4500,2.8268,180.3098,359.9869,0.0000,0.0000,0.0000
12.600,568.9220,0.3607,231.8087,0.2510,3.8000,-0.4500,2.7466,180.3100,359.8454,0.0000,0.0000,0.0000
12.709,568.6705,0.3676,231.9410,0.2510,3.8000,-0.4500,2.4751,180.3118,359.3875,0.0000,0.0000,0.0000
12.833,568.4186,0.3670,232.0735,0.2510,3.8000,-0.4500,2.2990,180.3141,359.0997,0.0000,0.0000,0.0000
12.944,568.1650,0.3522,232.2083,0.2510,3.8000,-0.4500,2.0284,180.3194,358.6730,0.0000,0.0000,0.0000
13.057,567.9540,0.3350,232.3214,0.2510,3.8000,-0.4500,1.8922,180.3228,358.4648,0.0000,0.0000,0.0000
13.161,567.7419,0.3091,232.4366,0.2510,3.8000,-0.4500,1.7060,180.3282,358.1854,0.0000,0.0000,0.0000
13.261,567.5304,0.2795,232.5531,0.2510,3.8000,-0.4500,1.6128,180.3313,358.0486,0.0000,0.0000,0.0000
13.373,567.2755,0.2327,232.6963,0.2510,3.8000,-0.4500,1.4188,180.3384,357.7679,0.0000,0.0000,0.0000
13.484,567.0208,0.1774,232.8427,0.2510,3.8000,-0.4500,1.2250,180.3464,357.4945,0.0000,0.0000,0.0000
13.609,566.7666,0.1173,232.9917,0.2510,3.8000,-0.4500,1.1275,180.3508,357.3592,0.0000,0.0000,0.0000
13.735,566.5115,0.0469,233.1444,0.2510,3.8000,-0.4500,0.9282,180.3605,357.0895,0.0000,0.0000,0.0000
13.848,566.2571,-0.0265,233.2995,0.2510,3.8000,-0.4500,0.8306,180.3655,356.9597,0.0000,0.0000,0.0000
13.957,566.0451,-0.0922,233.4309,0.2510,3.8000,-0.4500,0.7257,180.3712,356.8246,0.0000,0.0000,0.0000
14.082,565.7906,-0.1744,233.5906,0.2510,3.8000,-0.4500,0.6233,180.3770,356.6937,0.0000,0.0000,0.0000
