time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.9048,4.8965,250.0026,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.9048,4.8965,250.0026,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.120,599.6597,4.6766,250.0074,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.234,599.2817,4.3500,250.0117,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.343,598.7858,3.9291,250.0155,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.455,598.2923,3.5139,250.0183,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.580,597.6144,2.9470,250.0193,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.692,596.8550,2.3130,249.9983,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.806,596.0253,1.6198,249.9383,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.914,595.2866,1.0016,249.8535,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.026,594.3500,0.2166,249.7106,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.137,593.5321,-0.4699,249.5597,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.248,592.5514,-1.3030,249.3532,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.359,591.9573,-1.8096,249.2157,358.4954,179.9999,0.0050,358.4954,179.9999,0.0050
1.473,591.4466,-2.1050,249.0937,356.7974,179.9997,0.0102,356.7974,179.9997,0.0102
1.597,591.0580,-2.1537,249.0027,355.8920,179.9995,0.0121,355.8920,179.9995,0.0121
1.721,590.7341,-2.0785,248.9283,355.7153,179.9995,0.0122,355.7153,179.9995,0.0122
1.832,590.4443,-1.9807,248.8629,355.7153,179.9995,0.0121,355.7153,179.9995,0.0121
1.957,590.1721,-1.9212,248.8031,355.7153,179.9995,0.0121,355.7153,179.9995,0.0121
2.069,589.9090,-1.9215,248.7461,355.7153,179.9995,0.0121,355.7153,179.9995,0.0121
2.180,589.6931,-1.9643,248.7040,355.7153,179.9995,0.0121,355.7153,179.9995,0.0121
