time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.122,598.6015,5.0092,250.4589,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.236,598.2029,4.6661,250.4638,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.347,597.7819,4.3091,250.4674,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.459,597.1816,3.8045,250.4717,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.570,596.6110,3.3270,250.4803,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.682,595.8513,2.6930,250.5039,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.806,595.0193,1.9998,250.5455,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.917,594.1236,1.2539,250.6061,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.029,593.3339,0.5966,250.6711,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.140,592.3401,-0.2305,250.7657,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.251,591.4774,-0.9484,250.8582,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.362,590.4057,-1.8406,250.9876,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.471,589.5294,-2.5991,251.1064,0.2510,3.8000,-0.4500,359.8356,180.0000,0.0005,0.0000,0.0000,0.0000
1.583,588.7917,-3.3438,251.2468,0.2510,3.8000,-0.4500,356.0978,179.9996,0.0107,0.0000,0.0000,0.0000
1.695,588.2809,-3.7287,251.3764,0.2510,3.8000,-0.4500,352.9402,179.9989,0.0136,0.0000,0.0000,0.0000
1.807,587.9503,-3.8524,251.4803,0.2510,3.8000,-0.4500,351.5255,179.9986,0.0076,0.0000,0.0000,0.0000
1.917,587.6160,-3.8828,251.6006,0.2510,3.8000,-0.4500,350.7131,179.9986,359.9923,0.0000,0.0000,0.0000
2.029,587.3673,-3.8829,251.6930,0.2510,3.8000,-0.4500,350.6334,179.9986,359.9890,0.0000,0.0000,0.0000
2.140,587.0884,-3.9153,251.7933,0.2510,3.8000,-0.4500,350.6334,179.9986,359.9890,0.0000,0.0000,0.0000
