time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.122,599.6055,4.6292,250.0089,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.236,599.2069,4.2861,250.0138,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.347,598.7859,3.9291,250.0174,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.459,598.1857,3.4245,250.0217,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.570,597.6150,2.9470,250.0303,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.682,596.8553,2.3130,250.0539,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.806,596.0233,1.6198,250.0955,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.917,595.1276,0.8739,250.1561,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.029,594.3380,0.2166,250.2211,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.140,593.3441,-0.6105,250.3158,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.251,592.4814,-1.3284,250.4082,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.362,591.4097,-2.2206,250.5376,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.471,590.5334,-2.9778,250.6553,359.8356,180.0000,0.0005,359.8356,180.0000,0.0005
1.583,589.7956,-3.6925,250.7720,356.0978,179.9996,0.0107,356.0978,179.9996,0.0107
1.695,589.2849,-4.0508,250.8831,352.9402,179.9989,0.0136,352.9402,179.9989,0.0136
1.807,588.9543,-4.1621,250.9792,351.5255,179.9986,0.0076,351.5255,179.9986,0.0076
1.917,588.6201,-4.1851,251.0952,350.7131,179.9986,359.9923,350.7131,179.9986,359.9923
2.029,588.3714,-4.1844,251.1872,350.6334,179.9986,359.9890,350.6334,179.9986,359.9890
2.140,588.0925,-4.2168,251.2876,350.6334,179.9986,359.9890,350.6334,179.9986,359.9890
2.251,587.8695,-4.2899,251.3612,350.6334,179.9986,359.9890,350.6334,179.9986,359.9890
2.362,587.6080,-4.4320,251.4392,350.6334,179.9986,359.9890,350.6334,179.9986,359.9890
2.473,587.3502,-4.6176,251.5097,350.6334,179.9986,359.9889,350.6334,179.9986,359.9889
2.584,587.1370,-4.7903,251.5656,350.6334,179.9986,359.9889,350.6334,179.9986,359.9889
2.695,586.8820,-5.0038,251.6324,350.6334,179.9986,359.9889,350.6334,179.9986,359.9889
2.807,586.6700,-5.1790,251.6900,350.6334,179.9986,359.9889,350.6334,179.9986,359.9889
2.918,586.4158,-5.3811,251.7623,350.6333,179.9986,359.9889,350.6333,179.9986,359.9889
3.029,586.2040,-5.5423,251.8249,350.6333,179.9986,359.9889,350.6333,179.9986,359.9889
3.140,585.9495,-5.7291,251.9023,350.6333,179.9986,359.9889,350.6333,179.9986,359.9889
3.252,585.7375,-5.8814,251.9686,350.7006,179.9984,359.7437,350.7006,179.9984,359.7437
3.362,585.4835,-6.0626,252.0499,350.7644,179.9980,359.5932,350.7644,179.9980,359.5932
3.473,585.2296,-6.2440,252.1319,350.8408,179.9974,359.4508,350.8408,179.9974,359.4508
3.584,585.0180,-6.3955,252.1978,351.0906,179.9942,359.1114,351.0906,179.9942,359.1114
3.695,584.7638,-6.5778,252.2730,351.1490,179.9933,359.0499,351.1490,179.9933,359.0499
3.807,584.5518,-6.7292,252.3267,351.3930,179.9886,358.8081,351.3930,179.9886,358.8081
3.919,584.3018,-6.8999,252.2852,351.5181,179.9859,358.7003,351.5181,179.9859,358.7003
4.030,584.1017,-7.0241,252.1150,351.6480,179.9828,358.5953,351.6480,179.9828,358.5953
4.140,583.8701,-7.1531,251.7676,351.8447,179.9777,358.4457,351.8447,179.9777,358.4457
4.251,583.6836,-7.2448,251.3643,351.8447,179.9777,358.4457,351.8447,179.9777,358.4457
4.362,583.4660,-7.3372,250.7639,351.9084,179.9759,358.3995,351.9084,179.9759,358.3995
4.488,583.2520,-7.4176,250.0976,351.9084,179.9759,358.3995,351.9084,179.9759,358.3995
4.599,583.0391,-7.4926,249.4111,351.9084,179.9759,358.3995,351.9084,179.9759,358.3995
4.709,582.8618,-7.5534,248.8387,351.9084,179.9759,358.3995,351.9084,179.9759,358.3995
4.821,582.6491,-7.6255,248.1576,351.9084,179.9759,358.3995,351.9084,179.9759,358.3995
4.932,582.4718,-7.6850,247.5958,351.9084,179.9758,358.3995,351.9084,179.9758,358.3995
5.043,582.2596,-7.7550,246.9275,351.9084,179.9758,358.3995,351.9084,179.9758,358.3995
5.154,582.0474,-7.8228,246.2641,351.9083,179.9758,358.3995,351.9083,179.9758,358.3995
5.266,581.8707,-7.8768,245.7109,351.9083,179.9758,358.3995,351.9083,179.9758,358.3995
5.377,581.6606,-7.9346,245.0167,352.0410,179.9722,358.5022,352.0410,179.9722,358.5022
5.488,581.4860,-7.9782,244.4388,352.1656,179.9690,358.6095,352.1656,179.9690,358.6095
