time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.107,598.6557,5.0566,250.4581,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.207,598.3493,4.7913,250.4622,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.319,597.8721,4.3853,250.4667,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.431,597.2884,3.8939,250.4707,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.541,596.7295,3.4263,250.4736,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.653,595.9811,2.8030,250.4768,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.764,595.2993,2.2370,250.4792,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.876,594.4189,1.5080,250.4817,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.987,593.6389,0.8632,250.4836,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.098,592.6531,0.0496,250.4847,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.209,591.7484,-0.7103,250.4701,0.2510,3.8000,-0.4500,359.8627,180.0000,0.0005,0.0000,0.0000,0.0000
1.322,591.2280,-1.1213,250.4468,0.2510,3.8000,-0.4500,358.7627,180.0000,0.0049,0.0000,0.0000,0.0000
1.432,590.7669,-1.3320,250.4013,0.2510,3.8000,-0.4500,357.7122,179.9998,0.0089,0.0000,0.0000,0.0000
1.543,590.4609,-1.3397,250.3505,0.2510,3.8000,-0.4500,357.3100,179.9998,0.0102,0.0000,0.0000,0.0000
1.654,590.1455,-1.2480,250.2768,0.2510,3.8000,-0.4500,357.3100,179.9998,0.0102,0.0000,0.0000,0.0000
1.766,589.9073,-1.1541,250.2081,0.2510,3.8000,-0.4500,357.3100,179.9998,0.0102,0.0000,0.0000,0.0000
1.877,589.6379,-1.0713,250.1175,0.2510,3.8000,-0.4500,357.3100,179.9998,0.0102,0.0000,0.0000,0.0000
1.988,589.4213,-1.0433,250.0364,0.2510,3.8000,-0.4500,357.3100,179.9998,0.0102,0.0000,0.0000,0.0000
2.099,589.1664,-1.0580,249.9338,0.2510,3.8000,-0.4500,357.3100,179.9998,0.0102,0.0000,0.0000,0.0000
