time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.107,599.6597,4.6766,250.0081,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.207,599.3533,4.4113,250.0122,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.319,598.8761,4.0053,250.0167,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.431,598.2924,3.5139,250.0207,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.541,597.7335,3.0463,250.0236,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.653,596.9851,2.4230,250.0268,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.764,596.3033,1.8570,250.0292,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.876,595.4230,1.1280,250.0317,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.987,594.6429,0.4832,250.0336,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.098,593.6571,-0.3304,250.0347,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.209,592.7523,-1.0892,250.0191,359.8627,180.0000,0.0005,359.8627,180.0000,0.0005
1.322,592.2319,-1.4915,249.9887,358.7627,180.0000,0.0049,358.7627,180.0000,0.0049
1.432,591.7709,-1.6939,249.9365,357.7122,179.9998,0.0089,357.7122,179.9998,0.0089
1.543,591.4648,-1.6984,249.8831,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
1.654,591.1494,-1.6066,249.8095,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
1.766,590.9113,-1.5127,249.7407,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
1.877,590.6418,-1.4299,249.6502,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
1.988,590.4252,-1.4020,249.5691,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
2.099,590.1703,-1.4166,249.4665,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
2.211,589.9185,-1.4697,249.3601,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
2.322,589.7100,-1.5296,249.2697,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
2.432,589.4607,-1.6064,249.1606,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
2.545,589.2533,-1.6674,249.0695,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
2.655,589.0046,-1.7332,248.9605,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
2.766,588.7974,-1.7813,248.8698,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
2.876,588.5488,-1.8334,248.7613,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
2.989,588.3001,-1.8818,248.6530,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
3.099,588.0929,-1.9216,248.5627,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
3.211,587.8442,-1.9702,248.4546,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
3.323,587.6365,-2.0121,248.3687,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
3.432,587.3864,-2.0646,248.2738,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
3.545,587.1772,-2.1098,248.2014,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
3.655,586.9256,-2.1655,248.1206,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
3.767,586.7155,-2.2125,248.0570,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
3.876,586.4629,-2.2694,247.9836,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
4.003,586.2100,-2.3264,247.9122,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
4.112,585.9568,-2.3834,247.8420,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
4.224,585.7457,-2.4308,247.7840,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
4.335,585.4922,-2.4873,247.7147,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
4.460,585.2384,-2.5436,247.6455,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
4.572,584.9846,-2.5993,247.5763,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
4.683,584.7731,-2.6452,247.5186,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
4.794,584.5190,-2.6992,247.4504,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
4.905,584.3065,-2.7436,247.4016,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
5.016,584.0503,-2.7958,247.3562,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
5.127,583.8358,-2.8382,247.3280,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
5.238,583.5777,-2.8872,247.3031,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
5.349,583.3190,-2.9338,247.2848,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
5.461,583.1032,-2.9703,247.2728,357.3100,179.9998,0.0102,357.3100,179.9998,0.0102
