time_sec,world_x,world_y,world_z,local_x,local_y,local_z,rot_x,rot_y,rot_z
0.093,598.9746,5.3238,250.4547,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.205,598.8924,5.1424,250.5865,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.313,598.7844,4.9058,250.8648,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.422,598.6088,4.5306,251.3886,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.529,598.4257,4.1496,251.9614,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.633,598.2109,3.7129,252.6396,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.752,597.9145,3.1227,253.5731,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.868,597.5795,2.4681,254.6192,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000
0.986,597.2986,1.8050,255.5034,0.2510,3.8000,-0.4500,357.5237,180.0005,359.9813
1.102,597.0947,1.3573,256.1555,0.2510,3.8000,-0.4500,354.0146,180.0013,0.0048
1.223,596.9314,1.1521,256.6822,0.2510,3.8000,-0.4500,352.1690,180.0005,0.0487
1.343,596.7897,1.0904,257.1461,0.2510,3.8000,-0.4500,351.2802,179.9995,0.0771
1.460,596.6807,1.0805,257.5061,0.2510,3.8000,-0.4500,350.7286,179.9987,0.0853
1.582,596.5348,1.0565,257.9837,0.2510,3.8000,-0.4500,349.9322,179.9976,0.0691
1.698,596.4330,1.0086,258.3098,0.2510,3.8000,-0.4500,349.3652,179.9970,0.0290
1.820,596.2919,0.8940,258.7491,0.2510,3.8000,-0.4500,348.7908,179.9971,359.9348
1.935,596.1921,0.7901,259.0535,0.2510,3.8000,-0.4500,348.7908,179.9971,359.9348
2.051,596.0722,0.6500,259.4144,0.2510,3.8000,-0.4500,348.7908,179.9971,359.9348
2.232,595.8870,0.4290,259.9489,0.2510,3.8000,-0.4500,349.0582,179.9942,359.1992
2.339,595.7832,0.3203,260.2438,0.2510,3.8000,-0.4500,349.6310,179.9835,358.7281
2.468,595.6362,0.1939,260.6555,0.2510,3.8000,-0.4500,350.9064,179.9467,358.0558
2.569,595.5297,0.1234,260.9483,0.2510,3.8000,-0.4500,352.1103,179.8999,357.5599
2.669,595.4215,0.0695,261.2392,0.2510,3.8000,-0.4500,353.5174,179.8332,357.0592
2.771,595.3116,0.0318,261.5276,0.2510,3.8000,-0.4500,355.0858,179.7453,356.5691
2.885,595.1772,0.0070,261.8693,0.2510,3.8000,-0.4500,357.1136,179.6134,356.0193
2.996,595.0634,0.0022,262.1496,0.2510,3.8000,-0.4500,358.8644,179.4850,355.6111
3.096,594.9480,0.0107,262.4254,0.2510,3.8000,-0.4500,0.6138,179.3452,355.2607
3.209,594.8080,0.0365,262.7498,0.2510,3.8000,-0.4500,2.6390,179.1711,354.9289
3.309,594.6902,0.0694,263.0150,0.2510,3.8000,-0.4500,4.2105,179.0285,354.7336
3.422,594.5482,0.1205,263.3273,0.2510,3.8000,-0.4500,5.9004,178.8699,354.6014
3.526,594.4297,0.1712,263.5832,0.2510,3.8000,-0.4500,7.1131,178.7542,354.5773
3.626,594.3113,0.2279,263.8360,0.2510,3.8000,-0.4500,8.1304,178.6572,354.6306
3.740,594.1704,0.3023,264.1361,0.2510,3.8000,-0.4500,9.0855,178.5675,354.7950
3.843,594.0543,0.3686,264.3846,0.2510,3.8000,-0.4500,9.6651,178.5150,355.0140
3.958,593.9393,0.4380,264.6320,0.2510,3.8000,-0.4500,10.0617,178.4808,355.3065
4.064,593.8042,0.5250,264.9286,0.2510,3.8000,-0.4500,10.3254,178.4597,355.7538
4.177,593.6941,0.6004,265.1759,0.2510,3.8000,-0.4500,10.4001,178.4543,356.2056
4.287,593.5652,0.6944,265.4732,0.2510,3.8000,-0.4500,10.3636,178.4565,356.8404
4.398,593.4609,0.7762,265.7212,0.2510,3.8000,-0.4500,10.2700,178.4612,357.4421
4.506,593.3399,0.8792,266.0190,0.2510,3.8000,-0.4500,10.1376,178.4663,358.2403
4.618,593.2430,0.9698,266.2666,0.2510,3.8000,-0.4500,10.0551,178.4684,358.9532
4.727,593.1313,1.0853,266.5622,0.2510,3.8000,-0.4500,10.0551,178.4686,359.8348
4.845,593.0248,1.2084,266.8548,0.2510,3.8000,-0.4500,10.2184,178.4696,0.7023
4.953,592.9395,1.3159,267.0960,0.2510,3.8000,-0.4500,10.4651,178.4742,1.3773
5.066,592.8406,1.4481,267.3827,0.2510,3.8000,-0.4500,10.8086,178.4848,2.0863
5.172,592.7604,1.5583,267.6206,0.2510,3.8000,-0.4500,11.0526,178.4949,2.5630
5.280,592.6635,1.6821,267.9079,0.2510,3.8000,-0.4500,11.1238,178.4983,2.7194
5.388,592.5822,1.7804,268.1487,0.2510,3.8000,-0.4500,11.1238,178.4983,2.7194
5.500,592.4850,1.8925,268.4403,0.2510,3.8000,-0.4500,11.0442,178.4944,2.7496
5.607,592.4030,1.9756,268.6906,0.2510,3.8000,-0.4500,10.4954,178.4673,2.7829
5.716,592.3177,2.0445,268.9475,0.2510,3.8000,-0.4500,9.7563,178.4318,2.5905
5.825,592.2101,2.1062,269.2655,0.2510,3.8000,-0.4500,8.6507,178.3858,2.0918
5.938,592.1161,2.1383,269.5389,0.2510,3.8000,-0.4500,7.5623,178.3513,1.4929
6.041,591.9979,2.1521,269.8768,0.2510,3.8000,-0.4500,6.0928,178.3241,0.5982
6.142,591.8957,2.1426,270.1657,0.2510,3.8000,-0.4500,4.7771,178.3201,359.7376
6.243,591.7903,2.1143,270.4601,0.2510,3.8000,-0.4500,3.4303,178.3372,358.8021
6.351,591.6825,2.0688,270.7584,0.2510,3.8000,-0.4500,2.1078,178.3761,357.8211
6.465,591.5510,1.9947,271.1195,0.2510,3.8000,-0.4500,0.6339,178.4473,356.6272
6.577,591.4400,1.9206,271.4215,0.2510,3.8000,-0.4500,359.5643,178.5193,355.6539
6.684,591.3060,1.8222,271.7835,0.2510,3.8000,-0.4500,358.5421,178.6065,354.5531
6.784,591.1935,1.7370,272.0840,0.2510,3.8000,-0.4500,357.9515,178.6670,353.7179
6.892,591.0803,1.6528,272.3826,0.2510,3.8000,-0.4500,357.6246,178.7049,352.9747
7.000,590.9429,1.5578,272.7381,0.2510,3.8000,-0.4500,357.5968,178.7081,352.2163
7.109,590.8271,1.4871,273.0316,0.2510,3.8000,-0.4500,357.8770,178.6682,351.6971
7.221,590.6859,1.4157,273.3803,0.2510,3.8000,-0.4500,358.5583,178.5654,351.2009
7.329,590.5661,1.3693,273.6676,0.2510,3.8000,-0.4500,359.3857,178.4347,350.8797
7.440,590.4441,1.3356,273.9515,0.2510,3.8000,-0.4500,0.4129,178.2673,350.6261
7.549,590.2947,1.3121,274.2870,0.2510,3.8000,-0.4500,1.8476,178.0271,350.3872
7.660,590.1680,1.3063,274.5622,0.2510,3.8000,-0.4500,3.1504,177.8044,350.2261
7.769,590.0139,1.3141,274.8868,0.2510,3.8000,-0.4500,4.7510,177.5256,350.0672
7.874,589.8837,1.3311,275.1530,0.2510,3.8000,-0.4500,6.0345,177.2986,349.9613
7.987,589.7265,1.3602,275.4686,0.2510,3.8000,-0.4500,7.4020,177.0536,349.8672
