time_sec,world_x,world_y,world_z,rot_x,rot_y,rot_z
0.000,599.9401,4.8678,250.0018,0.0000,180.0000,0.0000
0.000,599.9401,4.8678,250.0018,0.0000,180.0000,0.0000
0.101,599.8383,4.6766,250.0041,0.0000,180.0000,0.0000
0.204,599.6584,4.3500,250.0067,0.0000,180.0000,0.0000
0.306,599.4655,4.0053,250.0085,0.0000,180.0000,0.0000
0.411,599.2379,3.6013,250.0062,0.0000,180.0000,0.0000
0.512,598.9825,3.1438,249.9700,0.0000,180.0000,0.0000
0.619,598.7050,2.6379,249.8750,0.0000,180.0000,0.0000
0.723,598.4088,2.0882,249.7107,0.0000,180.0000,0.0000
0.827,598.0323,1.3767,249.4188,0.0000,180.0000,0.0000
0.930,597.7033,0.7449,249.0986,0.0000,180.0000,0.0000
1.037,597.3619,0.0815,248.7127,0.0000,180.0000,0.0000
1.138,597.0096,-0.6105,248.2657,0.0000,180.0000,0.0000
1.240,596.6647,-1.2847,247.7870,359.9899,180.0000,0.3617
1.343,596.3798,-1.7681,247.3445,359.9581,179.9994,2.4457
1.446,596.2206,-1.9242,247.0534,-0.0033,180.0014,3.1501
1.547,596.1011,-1.9116,246.8011,-0.0033,180.0013,3.1501
1.649,596.0021,-1.7999,246.5709,0.2269,180.0130,2.6212
1.750,595.9122,-1.6530,246.3537,0.4781,180.0229,1.8873
1.852,595.8252,-1.5169,246.1444,0.7250,180.0294,1.0931
1.952,595.7389,-1.4176,245.9401,0.9657,180.0323,0.2927
2.056,595.6519,-1.3634,245.7392,1.2015,180.0319,359.5049
2.159,595.5644,-1.3502,245.5403,1.4329,180.0283,358.7367
2.260,595.4760,-1.3677,245.3425,1.6589,180.0219,357.9924
2.363,595.3868,-1.4040,245.1448,1.8785,180.0128,357.2759
2.466,595.2781,-1.4578,244.9069,2.1317,179.9989,356.4582
2.568,595.1857,-1.5032,244.7072,2.3328,179.9854,355.8160
2.669,595.0914,-1.5452,244.5060,2.5241,179.9703,355.2134
2.773,594.9957,-1.5833,244.3029,2.7048,179.9543,354.6535
2.876,594.8984,-1.6182,244.0979,2.8745,179.9376,354.1397
2.983,594.7798,-1.6582,243.8495,3.0634,179.9173,353.5883
3.088,594.6800,-1.6919,243.6405,3.1804,179.9038,353.2619
3.191,594.5795,-1.7271,243.4299,3.2993,179.8894,352.9534
3.295,594.4785,-1.7644,243.2179,3.3291,179.8857,352.8788
3.398,594.3771,-1.8036,243.0049,3.4300,179.8728,352.6532
3.500,594.2753,-1.8440,242.7908,3.4684,179.8678,352.5819
3.601,594.1732,-1.8849,242.5760,3.4684,179.8679,352.5819
3.703,594.0710,-1.9254,242.3605,3.4684,179.8679,352.5819
3.805,593.9482,-1.9725,242.1012,3.4684,179.8679,352.5819
3.906,593.8461,-2.0097,241.8846,3.4684,179.8679,352.5819
4.010,593.7443,-2.0446,241.6676,3.4684,179.8679,352.5819
4.115,593.6434,-2.0769,241.4503,3.6604,179.8431,352.7639
4.218,593.5432,-2.1063,241.2330,3.9115,179.8120,353.1909
4.322,593.4440,-2.1324,241.0160,4.0617,179.7947,353.7272
4.423,593.3266,-2.1591,240.7563,4.1542,179.7850,354.4882
4.525,593.2304,-2.1772,240.5392,4.1911,179.7816,355.2050
4.626,593.1361,-2.1914,240.3205,4.2074,179.7804,355.9833
4.727,593.0438,-2.2015,240.1005,4.2094,179.7802,356.8088
4.829,592.9539,-2.2077,239.8795,4.2003,179.7806,357.6677
4.931,592.8664,-2.2098,239.6580,4.1822,179.7812,358.5464
5.036,592.7814,-2.2079,239.4371,4.1568,179.7817,359.4324
5.137,592.6991,-2.2020,239.2187,4.1263,179.7817,0.3140
5.247,592.6038,-2.1900,238.9598,4.0869,179.7812,1.3518
5.353,592.5273,-2.1761,238.7462,4.0535,179.7801,2.1891
