time_sec,world_x,world_y,world_z,local_x,local_y,local_z,rot_x,rot_y,rot_z
0.088,598.9744,5.3763,250.4768,0.2510,3.8000,-0.4500,358.1149,180.0043,359.7200
0.190,598.9204,5.3791,250.5885,0.2510,3.8000,-0.4500,355.4865,180.0298,359.1306
0.292,598.8503,5.3638,250.7954,0.2510,3.8000,-0.4500,353.3587,180.0745,358.4464
0.400,598.7537,5.2940,251.1193,0.2510,3.8000,-0.4500,351.2507,180.1464,357.6907
0.513,598.6675,5.1878,251.4174,0.2510,3.8000,-0.4500,349.6408,180.2193,357.2158
0.617,598.5786,5.0447,251.7221,0.2510,3.8000,-0.4500,348.1139,180.2993,356.9250
0.722,598.4701,4.8401,252.0854,0.2510,3.8000,-0.4500,346.4369,180.3939,356.8233
0.835,598.3786,4.6552,252.3836,0.2510,3.8000,-0.4500,345.2196,180.4628,356.9216
0.936,598.2861,4.4668,252.6779,0.2510,3.8000,-0.4500,344.1961,180.5179,357.1525
1.037,598.1927,4.2810,252.9696,0.2510,3.8000,-0.4500,343.3757,180.5581,357.4795
1.143,598.0796,4.0656,253.3181,0.2510,3.8000,-0.4500,342.6525,180.5886,357.9466
1.247,597.9846,3.8937,253.6080,0.2510,3.8000,-0.4500,342.2514,180.6022,358.3569
1.350,597.8890,3.7280,253.8978,0.2510,3.8000,-0.4500,342.0128,180.6086,358.7528
1.457,597.7908,3.5636,254.1861,0.2510,3.8000,-0.4500,341.9826,180.6093,358.8279
1.561,597.6751,3.3750,254.5341,0.2510,3.8000,-0.4500,341.9757,180.6094,359.1566
1.684,597.5573,3.1845,254.8808,0.2510,3.8000,-0.4500,341.9756,180.6094,359.1566
1.790,597.4602,3.0299,255.1702,0.2510,3.8000,-0.4500,342.0316,180.6087,359.3096
1.893,597.3622,2.8708,255.4584,0.2510,3.8000,-0.4500,342.0316,180.6086,359.3096
1.997,597.2642,2.7077,255.7456,0.2510,3.8000,-0.4500,342.0317,180.6087,359.3096
2.105,597.1485,2.5029,256.0909,0.2510,3.8000,-0.4500,341.6721,180.6123,359.5457
2.214,597.0515,2.3178,256.3774,0.2510,3.8000,-0.4500,340.9411,180.6170,359.7249
2.319,596.9530,2.1197,256.6606,0.2510,3.8000,-0.4500,340.0277,180.6211,359.7676
2.425,596.8336,1.8686,256.9950,0.2510,3.8000,-0.4500,338.8895,180.6268,359.6733
