time_sec,world_x,world_y,world_z,rot_x,rot_y,rot_z
0.106,600.0000,4.9219,250.0000,0.0000,180.0000,0.0000
0.210,600.0000,4.7624,250.0000,0.0000,180.0000,0.0000
0.324,600.0000,4.4699,250.0000,0.0000,180.0000,0.0000
0.425,600.0000,4.1506,250.0000,0.0000,180.0000,0.0000
0.532,600.0161,3.8084,250.0338,0.8204,179.9972,359.6092
0.643,600.0723,3.5349,250.1494,3.6292,179.9447,358.2418
0.774,600.1097,3.4070,250.2220,5.4034,179.8759,357.3186
0.892,600.1295,3.3949,250.2541,6.1971,179.8353,356.8196
1.005,600.1316,3.4494,250.2564,6.2703,179.8311,356.7608
1.113,600.1313,3.5136,250.2560,6.2703,179.8311,356.7608
1.242,600.1378,3.5954,250.2573,6.3106,179.8288,356.5935
1.357,600.1412,3.6354,250.2577,6.3274,179.8278,356.5097
1.472,600.1557,3.6601,250.2573,6.3211,179.8282,356.1589
1.580,600.1591,3.6644,250.2570,6.3148,179.8286,356.0768
1.709,600.1721,3.6555,250.2532,6.2283,179.8348,355.7588
1.824,600.1784,3.6420,250.2511,6.1746,179.8389,355.6050
1.929,600.1912,3.6307,250.2452,6.0250,179.8508,355.3032
2.037,600.1974,3.6207,250.2425,5.9489,179.8572,355.1633
2.170,600.2097,3.6094,250.2352,5.7545,179.8742,354.8801
2.285,600.2185,3.6014,250.2301,5.6124,179.8873,354.6859
2.400,600.2274,3.5933,250.2242,5.4452,179.9032,354.4917
2.506,600.2334,3.5859,250.2204,5.3336,179.9141,354.3663
2.624,600.2441,3.5752,250.2117,5.1030,179.9374,354.1301
2.731,600.2498,3.5646,250.2076,4.9851,179.9497,354.0181
2.836,600.2577,3.5526,250.2006,4.7994,179.9695,353.8499
2.936,600.2654,3.5391,250.1934,4.6044,179.9909,353.6880
3.043,600.2734,3.5212,250.1866,4.4102,180.0127,353.5364
3.146,600.2790,3.5051,250.1823,4.2811,180.0275,353.4401
3.248,600.2866,3.4881,250.1747,4.0728,180.0518,353.3001
3.356,600.2903,3.4702,250.1730,4.0041,180.0599,353.2550
3.458,600.2994,3.4515,250.1621,3.7130,180.0948,353.0845
3.560,600.3031,3.4320,250.1603,3.6434,180.1033,353.0453
3.673,600.3102,3.4076,250.1521,3.4131,180.1317,352.9358
3.778,600.3153,3.3866,250.1471,3.2664,180.1500,352.8707
3.880,600.3206,3.3604,250.1420,3.1116,180.1695,352.8146
3.989,600.3241,3.3380,250.1399,3.0350,180.1792,352.7888
4.094,600.3295,3.3149,250.1309,2.7925,180.2100,352.7242
4.194,600.3330,3.2914,250.1286,2.7148,180.2199,352.7051
4.300,600.3372,3.2626,250.1231,2.5532,180.2407,352.6835
4.402,600.3399,3.2382,250.1241,2.5532,180.2407,352.6835
4.515,600.3429,3.2133,250.1146,2.3023,180.2729,352.6746
4.621,600.3462,3.1834,250.1157,2.3023,180.2729,352.6746
