time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.107,598.6016,5.0092,250.4596,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.212,598.2030,4.6661,250.4651,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.320,597.7820,4.3091,250.4692,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.420,597.2886,3.8939,250.4729,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.528,596.7300,3.4263,250.4794,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.633,595.9836,2.8030,250.5022,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.745,595.3049,2.2370,250.5390,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.851,594.4308,1.5080,250.6067,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.958,593.6580,0.8632,250.6831,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.064,592.8486,0.1880,250.7767,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.168,592.0065,-0.5147,250.8866,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.279,590.9572,-1.3906,251.0382,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.382,590.0539,-2.1448,251.1795,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.483,589.2640,-2.8656,251.3185,0.2510,3.8000,-0.4500,358.8414,180.0000,0.0037,0.0000,0.0000,0.0000
1.591,588.6196,-3.5010,251.4668,0.2510,3.8000,-0.4500,354.8419,179.9993,0.0134,0.0000,0.0000,0.0000
1.698,588.2268,-3.7736,251.5766,0.2510,3.8000,-0.4500,352.5706,179.9988,0.0135,0.0000,0.0000,0.0000
1.805,587.9084,-3.8862,251.6807,0.2510,3.8000,-0.4500,351.3279,179.9985,0.0061,0.0000,0.0000,0.0000
1.908,587.6338,-3.9154,251.7801,0.2510,3.8000,-0.4500,350.7043,179.9985,359.9923,0.0000,0.0000,0.0000
2.011,587.3373,-3.9227,251.8887,0.2510,3.8000,-0.4500,350.7043,179.9985,359.9923,0.0000,0.0000,0.0000
2.117,587.1061,-3.9542,251.9703,0.2510,3.8000,-0.4500,350.7043,179.9985,359.9923,0.0000,0.0000,0.0000
2.226,586.8829,-4.0259,252.0427,0.2510,3.8000,-0.4500,350.7043,179.9985,359.9923,0.0000,0.0000,0.0000
2.337,586.6211,-4.1648,252.1189,0.2510,3.8000,-0.4500,350.7043,179.9985,359.9923,0.0000,0.0000,0.0000
2.445,586.4059,-4.3144,252.1756,0.2510,3.8000,-0.4500,350.7043,179.9985,359.9923,0.0000,0.0000,0.0000
2.552,586.1495,-4.5172,252.2393,0.2510,3.8000,-0.4500,350.7043,179.9985,359.9923,0.0000,0.0000,0.0000
2.657,585.9366,-4.6931,252.2908,0.2510,3.8000,-0.4500,350.7043,179.9985,359.9923,0.0000,0.0000,0.0000
2.764,585.7239,-4.8676,252.3424,0.2510,3.8000,-0.4500,350.7043,179.9985,359.9923,0.0000,0.0000,0.0000
2.870,585.4686,-5.0696,252.4052,0.2510,3.8000,-0.4500,350.7043,179.9985,359.9924,0.0000,0.0000,0.0000
2.977,585.2559,-5.2307,252.4584,0.2510,3.8000,-0.4500,350.7043,179.9985,359.9924,0.0000,0.0000,0.0000
3.084,585.0429,-5.3861,252.5124,0.2510,3.8000,-0.4500,350.7043,179.9985,359.9923,0.0000,0.0000,0.0000
3.191,584.7855,-5.5714,252.5766,0.2510,3.8000,-0.4500,350.7608,179.9984,359.7436,0.0000,0.0000,0.0000
3.298,584.5722,-5.7216,252.6308,0.2510,3.8000,-0.4500,350.7830,179.9983,359.6643,0.0000,0.0000,0.0000
3.399,584.3578,-5.8732,252.6841,0.2510,3.8000,-0.4500,350.8992,179.9973,359.4379,0.0000,0.0000,0.0000
3.511,584.1018,-6.0539,252.7490,0.2510,3.8000,-0.4500,350.9818,179.9964,359.2987,0.0000,0.0000,0.0000
3.620,583.8877,-6.2060,252.8025,0.2510,3.8000,-0.4500,351.1468,179.9941,359.0958,0.0000,0.0000,0.0000
3.725,583.6743,-6.3578,252.8573,0.2510,3.8000,-0.4500,351.2588,179.9922,358.9675,0.0000,0.0000,0.0000
3.833,583.4175,-6.5411,252.9229,0.2510,3.8000,-0.4500,351.5693,179.9857,358.6774,0.0000,0.0000,0.0000
3.937,583.2050,-6.6921,252.9803,0.2510,3.8000,-0.4500,351.6988,179.9825,358.5742,0.0000,0.0000,0.0000
4.038,582.9919,-6.8423,253.0388,0.2510,3.8000,-0.4500,351.8988,179.9772,358.4269,0.0000,0.0000,0.0000
4.138,582.7792,-6.9907,253.0992,0.2510,3.8000,-0.4500,352.1039,179.9713,358.2899,0.0000,0.0000,0.0000
4.240,582.5667,-7.1366,253.1611,0.2510,3.8000,-0.4500,352.3334,179.9641,358.1638,0.0000,0.0000,0.0000
4.344,582.3541,-7.2795,253.2245,0.2510,3.8000,-0.4500,352.6380,179.9539,358.0142,0.0000,0.0000,0.0000
4.449,582.1420,-7.4186,253.2904,0.2510,3.8000,-0.4500,352.8734,179.9455,357.9282,0.0000,0.0000,0.0000
4.551,581.8876,-7.5798,253.3720,0.2510,3.8000,-0.4500,353.1877,179.9337,357.8333,0.0000,0.0000,0.0000
4.652,581.6757,-7.7080,253.4413,0.2510,3.8000,-0.4500,353.5235,179.9208,357.7772,0.0000,0.0000,0.0000
4.753,581.4637,-7.8303,253.5124,0.2510,3.8000,-0.4500,353.8576,179.9076,357.7443,0.0000,0.0000,0.0000
4.948,581.0823,-8.0324,253.6426,0.2510,3.8000,-0.4500,354.4942,179.8825,357.7741,0.0000,0.0000,0.0000
5.053,580.8279,-8.1519,253.7298,0.2510,3.8000,-0.4500,355.0123,179.8626,357.8511,0.0000,0.0000,0.0000
5.156,580.6161,-8.2417,253.8023,0.2510,3.8000,-0.4500,355.4228,179.8475,357.9490,0.0000,0.0000,0.0000
5.266,580.4042,-8.3218,253.8739,0.2510,3.8000,-0.4500,355.8293,179.8333,358.0761,0.0000,0.0000,0.0000
5.368,580.1923,-8.3912,253.9439,0.2510,3.8000,-0.4500,356.2411,179.8200,358.2318,0.0000,0.0000,0.0000
5.474,579.9381,-8.4596,254.0249,0.2510,3.8000,-0.4500,356.7479,179.8053,358.4552,0.0000,0.0000,0.0000
5.575,579.7262,-8.5034,254.0895,0.2510,3.8000,-0.4500,357.1821,179.7944,358.6714,0.0000,0.0000,0.0000
5.680,579.5148,-8.5347,254.1508,0.2510,3.8000,-0.4500,357.6269,179.7850,358.9140,0.0000,0.0000,0.0000
5.784,579.3036,-8.5529,254.2086,0.2510,3.8000,-0.4500,358.0814,179.7774,359.1819,0.0000,0.0000,0.0000
5.888,579.0929,-8.5577,254.2627,0.2510,3.8000,-0.4500,358.5441,179.7720,359.4741,0.0000,0.0000,0.0000
5.993,578.8411,-8.5453,254.3228,0.2510,3.8000,-0.4500,359.1081,179.7687,359.8545,0.0000,0.0000,0.0000
6.098,578.6323,-8.5197,254.3691,0.2510,3.8000,-0.4500,359.5835,179.7688,0.1944,0.0000,0.0000,0.0000
6.203,578.4249,-8.4798,254.4128,0.2510,3.8000,-0.4500,0.0622,179.7719,0.5532,0.0000,0.0000,0.0000
6.306,578.2194,-8.4257,254.4547,0.2510,3.8000,-0.4500,0.5424,179.7782,0.9288,0.0000,0.0000,0.0000
